question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Albert (2001), cited in the course material, the four broad categories of parties' responses to conflict are avoidance, confrontation, joint problem-solving, and:",Third-party decision-making,Complete silence with no response at all,Immediate unconditional surrender,Permanent relocation of all parties,A,"Albert (2001:6) identifies four broad categories of parties' responses to conflict: avoidance, confrontation, third-party decision-making, and joint problem-solving.",2
"According to the course material, the conflict handling style known as ""analytical problem solving"", developed by Herbert Kelman and John Burton, is based on which theory of conflict?",The human needs theory,The purely economic theory of scarcity,The theory of astrological alignment,The theory of random chance,A,"Analytical problem solving, developed by Herbert Kelman and John Burton, is based on the human needs theory of conflict, which links conflict causes to the inability of a person or group to meet fundamental needs like identity, security, and recognition.",2
"According to the course material, workshops held between Israelis and Palestinians using the analytical problem solving approach laid the foundation for which historic agreement?",The Oslo Accords,The Treaty of Versailles,The Camp David Accords of 1978 exclusively,The Dayton Agreement,A,"Workshops between Israelis and Palestinians, using the analytical problem solving approach, laid the foundation for the Oslo Accords and continued afterward to facilitate the implementation of agreements.",2
"According to Burgess (1997), cited in the course material, the concept of ""constructive confrontation"" is based on the assumption that while conflicts are inevitable in all societies, the destructive nature of most conflicts is:",Avoidable,Completely unavoidable under any circumstances,"A permanent, unchangeable feature of human society","Only found in developed, wealthy nations",A,"Burgess (1997), the protagonist of constructive confrontation, proposes that while conflicts are inevitable, the destructive nature of most conflicts is avoidable, supporting conflict transformation by promoting relationships among conflicting parties.",2
"According to Albert (2001), cited in the course material, ""position"" in conflict analysis is defined as what each side to the conflict:",Openly professes,Secretly conceals from all other parties,Never discusses under any circumstances,Delegates entirely to a neutral third party to decide,A,"Albert (2001) defines ""position"" as what each side to the conflict openly professes, distinguished from the deeper, often unstated interests and needs that a skilled conflict analyst must uncover.",2
"According to Nye (2004), cited in the course material, ""soft power"" thrives on the ability to shape what others want by making one's culture and values attractive, depending mainly on three pillars: culture, political values, and:",Foreign policies (when seen as legitimate and having moral authority),Military strength exclusively,Currency reserves exclusively,Population size exclusively,A,"Nye (2004) identifies three pillars of soft power: culture (where attractive to others), political values (when a country lives up to them at home and abroad), and foreign policies (when seen as legitimate and having moral authority).",2
"According to the course material, the five tools of conflict analysis presented, sourced from Fisher et al. (2000), are the Pyramid, the Conflict Tree, Conflict Mapping, the Onion, and:",The ABC Triangle,The Square of Certainty,The Hexagon of Doubt,The Circle of Silence,A,"The five tools of conflict analysis presented, per Fisher et al. (2000), are the Pyramid, the Conflict Tree, Conflict Mapping, the Onion (also known as the Doughnut), and the ABC Triangle.",2
"According to the course material's discussion of conflict mapping conventions, zig-zag lines resembling lightning indicate:",Discord or conflict,"A strong, harmonious alliance","A completely neutral, unrelated party",A permanently severed relationship with no history at all,A,"In conflict mapping conventions, zig-zag lines like lightning indicate discord or conflict between parties, while straight lines indicate direct relationships and double lines indicate alliances.",2
"According to Dag Hammarskjold, the late UN Secretary-General, cited in the course material, peace-keeping is located in ""Chapter Six and a half"" of the UN Charter, situating it between orthodox peaceful dispute resolution methods (Chapter VI) and more forceful actions like embargoes and military intervention under:",Chapter VII,Chapter I,Chapter XII,Chapter III,A,"Dag Hammarskjold described peace-keeping as located in ""Chapter Six and a half"" of the UN Charter, situating it between Chapter VI (orthodox peaceful dispute resolution) and Chapter VII (more forceful actions like embargoes and military intervention).",2
"According to Galadima (2006), cited in the course material, the third generation of peace-keeping operations, exemplified by interventions in Somalia and Bosnia, are primarily peace-enforcement operations conducted under the auspices of which chapter of the UN Charter, often without the consent of the parties?",Chapter VII,Chapter I,Chapter III,Chapter V,A,"The third generation of peace-keeping operations are primarily peace-enforcement operations conducted under Chapter VII of the UN Charter, often without the consent of the parties involved, as seen in Somalia and Bosnia.",2
