question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to George Herbert Mead's 1918 essay ""The Psychology of Punitive Justice"", cited in the course material, the two most frequent justifications for punishment of offenders are retribution and:",Deterrence,Restitution exclusively,Amnesty exclusively,"Total silence, with no justification given at all",A,"Mead's 1918 essay discusses that the two most frequent justifications for punishment of offenders are retribution and deterrence, with the penal process serving to arouse inhibitions and stigmatize offenders.",3
"According to the course material's discussion of retribution, the Mosaic laws (about 1200 B.C.) exemplify the principle that punishment should be comparable to the harm inflicted, no more, no less, an idea captured in the phrase:","""An eye for an eye""","""Innocent until proven guilty""","""The end justifies the means""","""Silence implies consent""",A,"The Mosaic laws (about 1200 B.C.) exemplify the principle that punishment should be comparable to the harm inflicted, no more, no less, captured in the phrase ""an eye for an eye"", called the ""law of retaliation"".",3
"According to the course material, the ""just deserts"" model of retribution, promoted by scholars such as Andrew von Hirsch, holds that punishment must be based on the gravity of the offense and:",The culpability or blameworthiness of the perpetrator,The offender's future potential for rehabilitation exclusively,The offender's financial ability to pay a fine,The number of years since the offender's last conviction only,A,"Underlying the ""just deserts"" model, promoted by scholars like Andrew von Hirsch, is the proposition that punishment must be based on the gravity of the offense and the culpability or blameworthiness of the perpetrator.",3
"According to the course material, contemporary notions of the deterrent effect of criminal law grew out of the philosophies of Cesare Beccaria in Italy and:",Jeremy Bentham in England,Immanuel Kant in Germany exclusively,Karl Marx in Germany exclusively,Thomas Hobbes in England exclusively (for this specific point),A,"Contemporary notions of the deterrent effect of the criminal law grew out of the philosophies of Cesare Beccaria in Italy and Jeremy Bentham in England, who emphasized certain, swift, and sufficiently severe punishment.",3
"According to the course material, ""general deterrence"" refers to the effect that criminal law and its punishments have on people in general, while ""special"" or ""specific"" deterrence reflects punishment that deters an offender from:",Engaging in additional criminal behavior because of a disagreeable past experience,Ever being convicted of any crime for the first time,Voting in any future political election,Working in any profession after release,A,"General deterrence is the effect criminal law has on people in general considering crime, while special/specific deterrence reflects punishment deterring an offender from additional crime due to a disagreeable past punishment experience.",3
"According to the course material's discussion of a famous 1990 sentencing by Judge Kimba M. Wood of junk-bond trader Michael R. Milken, the judge explicitly combined multiple sentencing goals, including special deterrence (barring Milken from the securities industry), general deterrence (a long prison term), retribution (prison plus fine), and rehabilitation, achieved through:",Requiring community service,Sentencing him to death,Granting him complete and immediate amnesty,Requiring exile to a foreign country,A,"Judge Kimba M. Wood's 1990 sentence of Michael Milken combined special deterrence, general deterrence, and retribution, with rehabilitation achieved by requiring community service, illustrating a well-crafted mixed-goals sentence.",3
"According to the course material, George Scott (1950), cited in the discussion of capital punishment's effects, argued that the question of capital punishment falls between two stools: if it proves deterrent, it risks executing the innocent; if it protects the innocent perfectly, it:",Is used so seldom that it fails to deter,Guarantees a complete and total elimination of murder nationwide,Becomes entirely cost-free to administer,Requires no legal process of any kind,A,"George Scott (1950) argued that capital punishment falls between two stools: if it proves deterrent, it risks executing the innocent; if it protects the innocent perfectly, it is used so seldom that it fails to deter.",3
"According to the course material, economist Isaac Ehrlich's controversial study found what appeared to be a deterrent effect of capital punishment, specifically claiming that each execution prevents between:",Eight and twenty murders,Zero and one murders,Eight thousand and twenty thousand murders,"A number that cannot be estimated in any way, according to Ehrlich himself",A,"Isaac Ehrlich, an economist, found what appeared to be a deterrent effect of capital punishment, specifically that each execution prevents between eight and twenty murders, though his study has been criticised on methodological grounds.",3
"According to the course material, the introduction of the death penalty into Nigerian statute books is described as a direct imitation of British laws, resulting from Nigeria's status as a former:",Colony of Britain,Independent nation with no colonial history at all,Colony of France exclusively,Territory that never had any contact with Britain,A,"The introduction of the death penalty into Nigerian statute books is described as a direct imitation of British laws because of colonial interests, since Nigeria was a colony of Britain.",3
"According to the course material, presently there are three major, coexisting legal systems in Nigeria bearing on criminal offences and punishment: the Criminal Code (with the Criminal Procedure Act), the Penal Code (with the Criminal Procedure Code), and:",The Sharia Penal Legislations,"The purely oral, unwritten customary law of every single ethnic group",A single unified code with no regional variation whatsoever,"Exclusively international human rights treaties, with no domestic law at all",A,"There are three major coexisting legal systems in Nigeria: the Criminal Code and accompanying Criminal Procedure Act, the Penal Code Act and accompanying Criminal Procedure Code, and the Sharia Penal Legislations.",3
"According to the course material, under the various Sharia penal laws applicable to 12 states in Northern Nigeria, offences carrying the death penalty include Zina (adultery), rape, sodomy, incest, and:",Witchcraft and juju offences,Minor traffic violations,Late payment of taxes,Unauthorized parking,A,"Under the Sharia penal laws applicable to 12 states in Northern Nigeria, offences carrying the death penalty include Zina (adultery), rape, sodomy, incest, and witchcraft and juju offences.",3
