question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material's safety tips for robbery prevention, it is unfortunate that most banks in Nigeria often design their doors and windows with tinted materials, which:",Make it impossible for passers-by to notice if a robbery is taking place,Allow for maximum natural lighting to reduce energy costs,Are required by international banking regulation for security purposes,Have no bearing whatsoever on robbery prevention,A,"The course material criticizes the common practice among Nigerian banks of tinting doors and windows, which makes it impossible for passers-by to notice if a robbery is taking place, undermining structural security design.",3
"According to the course material's safety measures during an armed robbery, a victim should avoid looking at the robber's face directly, primarily to avoid:",The threat of being targeted for personal recognition by the robber,Losing valuable time that could be used to negotiate a lower ransom,Violating any explicit legal statute against eye contact,Appearing rude or disrespectful to the robber,A,"The course material advises avoiding direct eye contact with a robber to avoid the threat of personal recognition, since the robber may fear the victim could later assist police in identifying and arresting him.",3
"According to Shalamanov et al. (2005), cited in the course material's discussion of civil security, one perspective on civil security involves active civil society participation in the provision of security, since nowadays security cannot be provided by:","The state itself, alone",Any non-governmental organization under any circumstances,International bodies of any kind whatsoever,The private business sector under any circumstances,A,"Shalamanov et al. (2005) argue that nowadays, security cannot be provided by the state itself alone; the engagement of civil society, NGOs, voluntary local formations, and business organizations has become indispensable.",3
"According to President John F. Kennedy (1961), cited in the course material's discussion of civil security, failing to recognize the possibilities of nuclear war without citizens knowing what they should do would constitute:",A failure of responsibility,A matter of no concern to any government,An issue reserved exclusively for military generals,A purely academic debate with no practical consequence,A,"Kennedy (1961) argued that failing to recognize the possibilities of nuclear war without citizens knowing what they should do and where they should go if bombs begin to fall would be ""a failure of responsibility"".",3
"According to the course material, the four basic approaches to civil security are risk education, preparedness, (public) warning, and:",Protective actions,Complete national isolation,Permanent military conscription,Total media censorship,A,"The four basic approaches to civil security identified in the course material are risk education, preparedness, (public) warning, and protective actions.",3
"According to the course material's safety measures during a kidnapping, a victim is warned against developing excessive sympathy for the kidnappers and their objectives, a phenomenon known as:",Stockholm syndrome,Post-traumatic stress disorder,Cognitive dissonance,Confirmation bias,A,"The course material warns that a kidnap victim should remain calm but never believe most of what kidnappers say, and should avoid developing Stockholm syndrome, which involves developing sympathy for the kidnappers and their objectives.",3
"According to the course material's safety measures during a rescue attempt for a kidnap victim, a victim is advised to avoid sharing clothes with the kidnappers so that, in the event of a gun battle between kidnappers and a rescue team, the victim will not be:",Mistaken for one of the kidnappers,Given a reduced ransom amount by the kidnappers,Required to pay for the clothing afterward,Denied post-trauma counselling after release,A,"The course material advises kidnap victims to avoid sharing clothes with kidnappers, since a rescue team may have information about what the victim was wearing at the time of the kidnapping, and sharing clothes risks the victim being mistaken for a kidnapper during a rescue gun battle.",3
"According to the course material, one safety measure recommended for earthquake preparedness is to keep a backup copy of one's phone contact list in a separate place, most preferably a book, primarily so that if the phone is lost, stolen, or destroyed, the person can:",Still access the contact list to alert relatives or friends,Immediately purchase an identical replacement phone,Avoid ever needing to contact anyone during the emergency,Have grounds to file an insurance claim for the phone,A,"The course material recommends keeping a backup copy of phone contacts in a separate place (such as a book) so that if the phone is lost, stolen, or destroyed during an earthquake, the person can still access the list to alert relatives or friends and enable them to check on their safety.",3
"According to the course material's safety measures during an earthquake, a person in a tall building should avoid using the lift to evacuate and should instead use:",The stairs,A ground-floor window,"An emergency helicopter, if available",The building's central elevator shaft exclusively,A,"The course material advises that if a person is in a tall building during an earthquake, they should avoid using the lift to escape, and should instead negotiate their escape through the stairs, since the emergency does not usually allow much time for evacuation.",3
"According to the course material's safety measures during a terrorist attack, before opening any door while attempting to escape, a person is advised to feel the lower, middle, and upper parts of the door with their palm or forearm to check whether the door is:","Hot, in which case an alternative escape route should be sought","Locked, in which case they should force it open immediately","Painted a particular colour, which indicates the safest route","Made of a specific material, which has no bearing on safety",A,"The course material advises that before opening a door while escaping a terrorist attack, a person should feel the door with their palm or forearm to check if it is hot; if it is hot, an alternative escape route should be sought due to the danger of opening it.",3
"According to the course material's safety measures during a terrorist attack where shooting is widespread and multiple victims have already been shot, a person is advised, as a last resort, to place a dead body over themselves and pretend to be dead, while quietly studying the terrorists' movements and:","Conversations and dress, if possible","Exact number and names, for later legal testimony","Weapons, in order to seize them at the first opportunity","Nationality, in order to negotiate for release",A,"As a last-resort safety measure during a terrorist shooting, the course material advises placing a dead body over oneself and pretending to be dead, maintaining this position while quietly studying the terrorists' movements, conversations, and dress if possible.",3
