"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"In Alfred de Grazia's view, 'politics' or the 'political' includes which of the following?","Only the activities of registered political parties","All forms of economic competition in a society","The events that happen around the decision-making centres of government","The private moral choices of individual citizens","C","The source states that in Alfred de Grazia's view, 'politics' or the 'political' includes the events that happen around the decision-making centres of government.","1"
"Charles Hyneman held that the subject matter of Political Science is best understood as which of the following?","Class struggle","Human psychology","Legal government","Religious authority","C","The source records that Charles Hyneman said most Political Scientists have assumed that legal government is the subject matter of their discipline -- a definition described as more specific than de Grazia's.","1"
"According to the source, 'government' in the context of Hyneman's definition refers to which of the following?","Any group of people who share a common political opinion","The legally based institutions of a society which may make legally binding decisions","The traditional rulers and elders of an ethnic community","The international organisations to which a state belongs","B","The source defines government in this context as the legally based institutions of a society, which may make legally binding decisions.","1"
"Why does the source describe the definition that equates politics simply with government as inadequate and restrictive?","Because governments change too frequently to be studied","Because pre-colonial African societies made political decisions without elaborate governmental and legal institutions","Because governments are not interested in academic research","Because it was rejected by the United Nations","B","The source argues the definition is narrow because a Political Scientist studying pre-colonial African society would examine ethnic societies with no governmental institutions, where traditional rulers and elders still made political decisions outside parliaments, congresses and courts.","1"
"William Bluhm defined politics as a social process characterised by activity involving which of the following?","The peaceful transfer of religious authority between generations","Rivalry and co-operation in the exercise of power, culminating in the making of decisions for a group","The accumulation of private wealth by elected officials","The drafting and ratification of written constitutions","B","The source quotes William Bluhm's definition of politics as a social process characterised by activity involving rivalry and co-operation in the exercise of power, culminating in the making of decisions for a group.","1"
"David Easton defined politics as which of the following?","The authoritative allocation of values for a society","The art of governing mankind by deceiving them","The study of who gets what, when and how","The unending dialogue between the present and the past","A","The source attributes to David Easton the definition of politics as the authoritative allocation of values for a society within the political system.","1"
"According to Easton, a policy is 'authoritative' when which of the following is true?","Those to whom it applies or who are affected by it consider that they must or ought to obey it","It has been published in an official government gazette","It has been approved by a two-thirds majority of the legislature","It applies equally to every single member of the society without exception","A","The source quotes Easton as saying a policy is authoritative if the persons to whom it is intended to apply, or who are affected by it, consider that they must or ought to obey it -- that is, it is considered binding.","1"
"Harold Lasswell (1936) summarised politics as the study of which of the following?","The rule of God among men","The greatest good for the greatest number","Who gets what, when and how","The struggle between the bourgeoisie and the proletariat","C","The source cites Harold Lasswell's classic 1936 phraseology defining politics as the study of who gets what, when, and how.","1"
"What is the main difference between Easton's and Lasswell's approaches to politics, according to the source?","Easton studies only democracies, while Lasswell studies only dictatorships","Easton focuses on the entire political system, while Lasswell concentrates on the individuals with power in the distribution process","Easton rejects the idea of scarce values, while Lasswell accepts it","Easton is concerned with international politics, while Lasswell is concerned with local government","B","The source explains that both assume a world of scarce values and insatiable appetites, and the difference is mainly one of emphasis: Easton focuses on the entire political system, while Lasswell concentrates on those individuals with power who have the greatest impact in the distribution process.","1"
"Aristotle described politics as the 'master science' in the sense that it does which of the following?","Gives the other sciences some priority by allowing the right institutions to develop","Includes and explains all the other sciences within itself","Replaces the need for the natural sciences entirely","Proves that all other sciences are inferior in method","A","The source is explicit that politics is the master science not in the sense that it includes or explains all other sciences, but in that it gives them some priority -- by allowing the right institutions to develop through which the various sciences can demonstrate their importance in the common task of survival.","1"
"The first basic assumption in Political Science identified in the source is which of the following?","That all human societies are faced with the problem of scarce resources, where demand always exceeds supply","That every society will eventually become a democracy","That government policies are always equal in their effects on citizens","That religion is the true foundation of all political authority","A","The source lists as the first assumption that all human societies are faced with the problem of scarce resources -- whether wealth, status or power, demand always exceeds supply.","1"
