question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
The concept of peace building was significantly expanded upon in former UN Secretary-General Boutros Boutros-Ghali's:,"""An Agenda for Peace""","""The Clash of Civilizations""","""The Prince""","""The End of History""",A,"Boutros Boutros-Ghali's 1992 and 1995 editions of ""An Agenda for Peace"" significantly expanded the concept of peace building in relation to post-conflict situations.",4
"According to Miller and King (2004), peace building aims to create conditions for both ""negative peace"" and:","""Absolute peace""","""Positive peace""","""Temporary peace""","""Structural peace""",B,Peace building aims to ensure conditions for negative peace (absence of violent conflict) and positive peace (the institutionalization of justice and freedom).,4
"Which of the following is one of the four categories in the ""map of peace building activities"" discussed in the course material?",Waging Conflict Nonviolently,Maximizing Military Spending,Encouraging Ethnic Division,Reducing Diplomatic Contact,A,"The four categories of peace building activities are Waging Conflict Nonviolently, Reducing Direct Violence, Transforming Relationships, and Capacity Building.",4
"""Peace enforcement"", as a form of ""military"" peace building, is generally understood in terms of:",Purely economic sanctions with no military involvement,Military interventions to end violent exchanges and create conditions for peace,Voluntary negotiations only,Cultural exchange programs,B,"Peace enforcement involves military operations, undertaken with or without consent of parties, to end violent exchanges and create a permanent, viable environment for peace.",4
"According to the UN Charter's Chapter VI, ""peacekeeping"" involves:",Combat operations to defeat an aggressor,Maintenance of public security and cease-fire agreements with the consent of the host nation-state,Economic sanctions imposed unilaterally,Arms sales to conflict zones,B,"Under Chapter VI of the UN Charter, peacekeeping involves maintaining public security, civil services, and cease-fire agreements with the consent of the nation-state where forces are deployed.",4
"UN Security Council Resolution 1325, adopted on 31st October 2000, specifically addresses:",Nuclear disarmament,"Women, peace, and security",Climate change and conflict,International trade disputes,B,"UN Security Council Resolution 1325 (31 October 2000) addresses women, peace, and security, emphasizing gender perspectives in conflict prevention, peace building, and reconstruction.",4
"In the course material's terminology, the biological differences between males and females are referred to as:",Gender,Sex,Gender roles,Patriarchy,B,"""Sex"" refers to biological differences between males and females, while ""gender"" refers to socially constructed expectations and roles assigned to each.",4
"""Patriarchy"", as defined in the course material, refers to a system in which:",Descent and inheritance are traced through the female line,"Male authority oppresses women through political, social, cultural, religious, and economic institutions",Men and women have exactly equal decision-making power,Only women can inherit property,B,Patriarchy is a system of male authority that oppresses women by denying them positions of decision-making and power across multiple institutions.,4
"According to the course material, human rights are described as being derived from:",Government legislation alone,"God/nature, not government",International trade agreements,Popular opinion polls,B,"The course material states human rights are not government-given but God/nature-given, and must be respected and protected as inherent to being human.",4
"The Magna Carta, cited as an early influence on the development of human rights, was issued in England in:",1215,1689,1776,1799,A,"The Magna Carta was issued in England in 1215, cited alongside the 1689 Bill of Rights, the 1776 American Bill of Rights, and the 1799 French Declaration as key influences on human rights development.",4
"The UN General Assembly's Resolution 34/180, adopted on 18th December 1979, concerns:",Elimination of All Forms of Discrimination Against Women,The Right to Development,Nuclear non-proliferation,Refugee status determination,A,"Resolution 34/180 (18 December 1979) is the Convention on the Elimination of All Forms of Discrimination against Women, bringing women's and girls' issues to the forefront.",4
