question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to this unit, is it correct to equate the system unit with the CPU?","Yes, they are identical terms",No -- the CPU is only one component within the system unit,The system unit is smaller than the CPU,The CPU contains the system unit,B,"The unit clarifies this is a common novice confusion: the CPU is a component within the system unit, not the whole system unit itself.",2
"Which chip contains data written during manufacturing that tells the CPU what to do when the PC is switched on, and retains this data even when powered off?",RAM chip,ROM chip,Cache memory chip,Sound chip,B,"Read-only memory (ROM) chips have manufacturer-written data that tells the CPU what to do at startup, and this data remains even when the PC is off.",2
"Which type of memory is lost entirely when the PC is switched off, and is used to hold running programs and their data?",ROM,RAM,Hard disk,CD-ROM,B,"RAM (Random Access Memory) holds the program and its data while running, but anything held in RAM is lost when the PC is switched off.",2
"Which component, made of expensive and very fast memory chips, stores data/instructions the CPU will look at next, speeding up work significantly?",Cache memory,Hard disk,ROM,Motherboard,A,"Cache Memory consists of expensive and very fast memory chips that store data or instructions the CPU will look at next, speeding up work considerably.",2
"The computer's most important single component, doing all the 'thinking' and running programs, is called the:",Motherboard,Power Supply Unit,Central Processing Unit (CPU),Expansion slot,C,"The Microprocessor, or Central Processing Unit (CPU), is the computer's most important single item, doing all the thinking and running programs.",2
CPU speed is measured in which unit?,Gigabytes (GB),Megahertz (MHz),Kilobytes (KB),Volts,B,"The speed of a CPU is measured in megahertz (MHz), where one megahertz equals one million clock ticks per second.",2
"According to the CPU generation table in this unit, which CPU generation is associated with the Pentium (1993-95)?",2nd Generation,4th Generation,5th Generation,7th Generation,C,"The 5th Generation CPU table lists the Pentium (1993-95) with roughly 3,100,000 transistors.",2
"According to this unit, all electronic components in a PC are mounted on a piece of fiberglass called the:",CPU,Motherboard,Power supply,RAM chip,B,"All electronic components in a PC are mounted on a piece of fiberglass called the motherboard, which insulates each component while connecting them electrically.",2
The two sizes of floppy disks discussed in this unit are:,5.25 or 3.5 inches,8 or 10 inches,1 or 2 inches,12 or 14 inches,A,Floppy disks come in two sizes: either 5 1/4 or 3 1/2 inches in diameter.,2
Low-capacity floppy disks are generally labeled with which designation?,DS/HD,DS/DD (double sided/double density),SS/LD,HD/SS,B,"Low-capacity disks are generally labeled DS/DD, standing for 'double sided/double density'.",2
The intelligent computer keyboard has four major divisions. Which of the following is one of them?,Function keys,Camera keys,Voice keys,Wireless keys,A,"The intelligent computer keyboard has four major divisions: Function keys, Alphanumeric keys, Numeric keys, and Control keys.",2
"In most software packages, which function key is traditionally used to run the HELP program?",F1,F5,F9,F12,A,"In most software packages, the function key F1 is used to run the HELP program.",2
"Which key, when pressed, activates the capital letters on alphanumeric keys and the upper part of each key?",CapsLock,Shift,Tab,Alt,B,"When the Shift key is pressed, capital letters on the alphanumeric keys are activated, along with the upper-part characters.",2
"Which key combination is used to restart or reboot the computer, according to this unit?","Shift, Tab, Enter","Alt, Ctrl, Del","Ctrl, Shift, Esc only","F1, F2, F3",B,"To restart or reboot the computer, one presses the Alt, Ctrl and Del keys simultaneously.",2
Pressing the Insert key toggles the keyboard between which two modes?,Bold and italic mode,Insert mode and overstrike (typeover) mode,Upper and lower case mode,English and French mode,B,Pressing the Insert key puts the keyboard in insert mode; pressing it again returns to overstrike (typeover) mode.,2
There are three basic types of printers discussed in this unit. Which of the following is one of them?,Laser printers,Holographic printers,3D printers,Thermal fax printers,A,"The three basic types of printers discussed are laser printers, inkjet printers, and dot-matrix printers.",2
Which type of printer combines a magnetic roller with powdered ink called toner to produce high-quality images?,Dot-matrix printer,Inkjet printer,Laser printer,Thermal printer,C,Laser printers combine a magnetic roller with powdered ink called toner to transfer high-quality characters or images onto a page.,2
"Which type of printer is described as the cheapest, hammering small pins against an inked ribbon to create characters out of dots?",Laser printer,Inkjet printer,Dot-matrix printer,Digital printer,C,"Dot-matrix printers, the cheapest printers available, create text and images by hammering several small pins against an inked ribbon.",2
VGA and SVGA are acronyms describing what property of a monitor?,Its resolution (number of pixels displayed),Its price range,Its power consumption,Its manufacturer,A,VGA and SVGA generally refer to how many dots (pixels) in each direction the monitor can display -- this is called the monitor's resolution.,2
"A scanner works by dividing an image into microscopic rows and columns and measuring how much light reflects from each intersection, recording each reflection as a:",Byte,Pixel (picture element),Bit,Sector,B,"Each reflection recorded by a scanner is called a dot, or picture element (pixel).",2
