question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"In a computer instruction, the part that tells the computer what to do (such as add, subtract, multiply, or divide) is called the:",Operand,Operation code,Object code,Source code,B,"The operation code tells the computer what operation to perform, such as add, subtract, multiply, or divide, while the operands tell the computer the data items involved.",4
"The four basic types of computer instructions discussed in the course guide are input-output, arithmetic, logic, and:",Branching instructions,Networking instructions,Sound instructions,Colour instructions,A,"The four basic types of instructions are input-output instructions, arithmetic instructions, branching instructions, and logic instructions.",4
"Machine language, the earliest form of computer programming using binary notation of 1s and 0s, is classified as:",Fourth Generation Language (4GL),First Generation (computer) Language (1GL),Third Generation Language (3GL),Very high level language,B,"Machine language, structured according to binary notation, is described as the First Generation (computer) Language, or 1GL.",4
"In assembly language, operation codes are expressed as combinations of letters, sometimes called:",Mnemonics,Pixels,Bytecodes,Protocols,A,"In assembly language, operation codes are expressed as combinations of letters rather than binary numbers, sometimes called mnemonics, making them easier to remember.",4
"Unlike machine and assembly language, high-level languages are described as machine independent, meaning that:",They can never be translated into machine code,A high-level language program can be run on a variety of different computers,They require no programmer input at all,They are only used for graphic design,B,"High-level languages are machine independent, so a high-level language program can be run on a variety of computers, unlike machine and assembly language, which are machine dependent.",4
"According to the course guide, a good computer program should have several characteristics, including accuracy, reliability, efficiency, and:","Robustness, the ability to cope with invalid data without stopping unexpectedly",The lowest possible number of comments in the code,The shortest possible file name,Compatibility with only one specific printer,A,"Good programming characteristics listed include accuracy, reliability, efficiency, robustness (coping with invalid data), usability, maintainability, and readability.",4
"The preparation of a computer program can be classified into eight major stages, the first of which is:",Problem definition,Program testing,Debugging the program,Documenting all the work,A,"The eight stages of programming begin with problem definition, followed by devising a method of solution, developing it with pseudocode/flowcharts, writing instructions, transcribing, debugging, testing, and documenting.",4
"""Logic errors"" in a computer program are best described as errors that are:",Caused by illegal use of a feature of the programming language,"Caused by faulty logic in the design of the program, meaning the program runs but not as intended",Impossible to occur in any real program,Always detected automatically by the compiler before running,B,"Logic errors are caused by faulty logic in a program's design; the program will run, but not produce the intended result, unlike syntax errors caused by illegal language use.",4
"""Manual walk-through"" as a program testing method involves the programmer:","Tracing the processing steps manually, pretending to be the computer, to check if expected results are produced",Using specialised hardware to physically inspect the computer chips,Deleting the program and starting again from scratch,Asking end users to test the program with no guidance,A,"In a manual walk-through, the programmer traces the processing steps manually, acting as if they were the computer, following each statement to check whether expected results are produced.",4
A flowchart is best described as:,A written narrative with no visual elements,"A graphical representation of the major steps of work in a process, showing information flow with arrows",A type of computer virus,A programming language used only for games,B,"A flowchart is a graphical representation of the major steps of a process, displaying essential steps in boxes and showing the direction of information flow using arrows.",4
"In standard flowchart symbols, a diamond shape is used to represent:",The start or stop of a process,An arithmetic calculation,"Decision making, with lines labeled Yes/No or True/False leaving the box",Input and output instructions only,C,"The diamond shape in flowcharting is used for decision making, with two or more lines leaving the box labeled with results such as Yes, No, True, or False.",4
"The term ""algorithm"" is named after the ninth century scholar:",Euclid,Abu Jafar Muhammad Ibn Musu Al-Khowarizmi,Alan Turing,Charles Babbage,B,The term algorithm is named after the ninth century scholar Abu Jafar Muhammad Ibn Musu Al-Khowarizmi.,4
"According to the course guide, the most famous algorithm in history, dating well before the ancient Greeks, is:",Euclid's algorithm for calculating the greatest common divisor of two integers,The quicksort algorithm,The binary search algorithm,The bubble sort algorithm,A,"The course guide identifies Euclid's algorithm for calculating the greatest common divisor of two integers as the most famous algorithm in history, predating the ancient Greeks.",4
"An algorithm, as characterised in the course guide, must have a finite set of actions, a unique initial action, and:",An infinite number of possible outcomes,"Each action in the sequence having a unique successor, terminating in a solution or a statement that the problem is unresolved",No defined ending point,The ability to change its own rules mid-execution,B,"An algorithm is characterised by a finite sequence of actions with a unique initial action, where each action has a unique successor, and the sequence terminates with a solution or a statement that the problem is unresolved.",4
