question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, Nigeria's first communication satellite, NIGCOMSAT, was launched on May 13, 2007, with assistance from which country?",China,Russia,The United States,The United Kingdom,A,"Nigeria's first communication satellite, NIGCOMSAT, was launched on May 13, 2007, by China, though the earlier NigeriaSat-1 in 2003 had relied on Russia, a dependency the course material describes as ""worrisome"".",4
"According to the course material's information technology timeline, John Logie Baird produced the first real television in 1925, and later demonstrated the first colour television pictures in:",1928,1876,1936,1946,A,"According to the course material's timeline, John Logie Baird produced the first real television in 1925, and demonstrated the first colour television pictures in 1928, ahead of the BBC starting the first public television service in 1936.",4
"According to the course material's technology timeline, the ENIAC (Electronic Numerical Indicator and Calculator), the first modern electrically powered computer, was demonstrated in Pennsylvania, USA, in:",1946,1876,1901,1971,A,"The course material's timeline notes that ENIAC, the first modern electrically powered computer, was demonstrated in Pennsylvania, USA, in 1946, predating the invention of the transistor in 1947.",4
"According to Thomas Jefferson, cited in Abati (2007) in the course material's discussion of media and governance, if forced to choose between a government without newspapers and newspapers without a government, Jefferson stated he would:",Not hesitate a moment to prefer the latter (newspapers without government),Always prefer strong government control over any free press,Refuse to choose either option under any circumstances,Prefer a government-controlled press exclusively,A,"Thomas Jefferson, cited in Abati (2007), famously stated that if it were left to him to decide between a government without newspapers or newspapers without a government, he would not hesitate a moment to prefer the latter.",4
"According to McQuail (2005:234), cited in the course material, ""governance"" describes the overall set of laws, regulations, rules, and conventions which serve the general interest, including that of media industries, referring not only to formal binding rules but also to:","Numerous informal mechanisms by which media are ""steered"" toward multiple objectives",Exclusively military regulations with no civilian application,"A single, universally binding international treaty","Rules that apply only to state-owned media, never private media",A,"McQuail (2005:234) describes governance as the overall set of laws, regulations, rules and conventions serving the general interest, referring not only to formal binding rules but also to numerous informal mechanisms by which media are steered toward objectives.",4
"According to Joseph Pulitzer, cited in Uwakwe (2005:15) in the course material, an able, disinterested, public-spirited press with trained intelligence can preserve the public virtue without which popular government is:","""A sham and a mockery""","""Entirely unnecessary""","""Guaranteed to succeed regardless""","""Identical to military rule""",A,"Joseph Pulitzer, cited in Uwakwe (2005:15), asserted that an able, disinterested, public-spirited press with trained intelligence can preserve the public virtue ""without which popular government is a sham and a mockery"".",4
"According to Duyile (2005:79), cited in the course material's discussion of media ethics, the concept of ethics can be traced to Aristotle's book titled:",Nichomachean Ethics,The Republic,The Communist Manifesto,The Prince,A,"Duyile (2005:79) traces the concept of ethics to Aristotle's book Nichomachean Ethics, in which Aristotle argued happiness can be achieved through contemplative use of the mind and cultivation of the virtues of prudence, temperance, courage, and justice.",4
"According to the Code of Ethics for Nigerian Journalists, cited in the course material, under the principle of ""Privilege/Non-Disclosure"", a journalist should observe the universally accepted principle of confidentiality and should not:",Disclose the source of information obtained in confidence,Ever publish any article without prior government approval,Accept payment of any kind for published work,Interview any government official under any circumstances,A,"Under the Code of Ethics for Nigerian Journalists' ""Privilege/Non-Disclosure"" principle, a journalist should observe the universally accepted principle of confidentiality and should not disclose the source of information obtained in confidence.",4
"According to the Code of Ethics for Nigerian Journalists, cited in the course material, under the principle of ""Decency"", a journalist should refrain from presenting lurid details, either in words or pictures, of violence, sexual acts, or:",Abhorrent or horrid scenes,Any positive news of any kind whatsoever,Sporting events of any kind,Weather forecasts of any kind,A,"Under the Code of Ethics for Nigerian Journalists' ""Decency"" principle, a journalist should refrain from presenting lurid details, in words or pictures, of violence, sexual acts, or abhorrent or horrid scenes.",4
"According to Daramola (2003:33-34), cited in the course material, in the year 2000, media coverage of demonstrations and riots in Kaduna over the introduction of the Sharia legal system illustrates which social effect of the mass media?",Arousing mass revulsion,Complete media silence with no coverage at all,Universal national celebration with no dissent reported,The permanent cancellation of all news broadcasting,A,"Daramola (2003:33-34) cites the 2000 Kaduna riots over the introduction of Sharia legal system, where media coverage aroused fear and revulsion in the minds of people across the country, as an example of ""Arousing Mass Revulsion"".",4
"According to the course material, following the annulment of the June 12, 1993 presidential election, the media induced significant panic in the populace through largely unverified reports that one section of the country was preparing for:",A secessionist war,A national lottery,A public holiday celebration,An international trade agreement,A,"Following the June 12, 1993 election annulment, the media induced panic through largely unverified reports that one section of the country was preparing for a secessionist war, leading many to relocate, resulting in fatal motor accidents.",4
"According to the course material, the case of Yinka Ayefele, a broadcaster with Radio Nigeria Ibadan whose spinal cord was broken in an automobile accident in the late 1990s, is cited as an example of the mass media's ability to:","Induce mass social action, through media appeals for philanthropic assistance",Completely ignore the personal misfortunes of media professionals,Prevent any form of medical treatment from being sought,Discourage all forms of public generosity permanently,A,"The case of Yinka Ayefele, whose spinal cord was broken in a late-1990s automobile accident, is cited as an example of the media inducing mass social action, as print and electronic media appealed for and received philanthropic assistance for him.",4
