question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, in the traditional African system, whether the society is a monarchy or gerontocracy, Elias identifies one common denominator: a constant aspiration towards:",Democratic principles in constitutional governance,"Absolute, unchecked monarchical power",The complete rejection of any form of law,Permanent foreign colonial rule,A,"According to Elias, one common denominator across traditional African systems, whether monarchy or gerontocracy, is a constant aspiration towards democratic principles in constitutional governance.",1
"According to the course material, in the old Oyo empire, as noted by Akin Oyebode, the king makers or subordinate chiefs could demand that a tyrannical Alafin (the Monarch) should:","""Open the calabash"", or in other words, commit suicide",Immediately abdicate the throne in favour of a foreign ruler,Be publicly celebrated regardless of his conduct,Pay a small monetary fine and continue ruling unchanged,A,"Akin Oyebode noted that in the old Oyo empire, king makers or subordinate chiefs could demand that a tyrannical Alafin should ""open the calabash"", meaning commit suicide, illustrating checks on monarchical power.",1
"According to the course material, societies East of the Niger, described as ""chiefless societies"", relied more on synonym bonds, lineage, and kinship, with authority organized along:",Horizontal lines,"Vertical, authoritarian, and despotic lines",No lines of authority whatsoever,Lines determined exclusively by foreign colonial appointment,A,"The East of the Niger was made up of chiefless societies with authority organized along horizontal lines, relying on synonym bonds, lineage, and kinship, in contrast to the vertical, authoritarian northern and western empires.",1
"According to Maine's Ancient Law, cited in the course material, ""Custom is a conception posterior to that of:","Themistes or judgments"", with royal rules predating customs","International treaties"", with treaties predating all law","Statutory codification"", with statutes predating all custom","Religious doctrine"", with doctrine predating all custom",A,"Maine, in his Ancient Law, states ""Custom is a conception posterior to that of themistes or judgments"", arguing that royal rules predate customs.",1
"According to the course material, the Code of Hammurabi, dated to approximately 2000 BC, is cited as archaeological evidence that:","Customary laws were enacted which were antecedent to, and already in force before, the Code",No customary law existed anywhere prior to written codification,Roman law was the sole origin of all subsequent legal systems,Customary law was entirely invented by the Code itself,A,"Archaeological finds show that the Code of Hammurabi (about 2000 BC) enacted customary laws which were antecedent to the Code and were already in force in early Babylon, supporting custom as a source of law.",1
"According to the course material, one of the essential features required for a custom to qualify as customary law is that it must be:",Unwritten (or partly written and partly unwritten),Exclusively written in a formally codified statute,Approved in advance by a foreign colonial authority,Applicable to only a single named individual,A,"Among the fundamental features of customary law listed is that it must be unwritten (or partly written and partly unwritten), alongside being in existence at the material time, flexible, and of universal application in the community.",1
"According to the course material's discussion of proof of customary law, a customary law may be established through expert evidence, evidence of credible witnesses, assessors, writers, or:",Judicial notice,"Anonymous, unsigned letters submitted to the court",A simple majority vote of the general public,"The personal opinion of the presiding judge alone, with no evidence required",A,"A customary law may be proved by strong evidence through expert evidence, credible witnesses, assessors, writers, or judicial notice, as provided under the Evidence Act.",1
"According to the course material, citing the case of Lewis v. Bankole (1908), Osborne C.J. observed that native customary law is always difficult to apply partly because it is:","Unwritten, and the so-called experts are usually forthcoming to bear testimony corresponding to the views of the side on whose behalf they appear","Entirely codified in a single, universally agreed statute",Applied identically and without variation across every part of Nigeria,Never disputed by any of the parties involved in litigation,A,"In Lewis v. Bankole (1908), Osborne C.J. observed that native customary law is difficult to apply because it is unwritten, and experts are usually forthcoming to bear testimony that corresponds exactly with the views of the side on whose behalf they appear.",1
"According to the course material, a court may refuse to enforce an otherwise valid custom if it is repugnant to natural justice, equity and good conscience, incompatible with any law in force, or:",Contrary to public policy or injurious to public interest,Older than fifty years in continuous use,Practiced by more than one ethnic group simultaneously,Recorded in written form by a recognised author,A,"Even where a custom fulfils all specified essentials, a court may refuse to enforce it if it is repugnant to natural justice, equity, and good conscience, incompatible with law in force, contrary to public policy, or injurious to public interest.",1
"According to the course material, Ordinance No. 3 of 1863 formally established, in the Lagos Colony, an English type of court, while Ordinance No. 4 of 1876 expressly empowered courts to execute the common law of England, doctrines of equity, statutes of general application, local enactments, and:","Customary laws not repugnant to natural law, equity, and good conscience",Exclusively Islamic Sharia law across the entire colony,No form of customary law whatsoever,Only laws enacted after Nigerian independence in 1960,A,"Ordinance No. 4 of 1876 empowered courts to execute the common law of England, doctrines of equity, statutes of general application (as at 1874, later 1900), local enactments, and customary laws not repugnant to natural law, equity, and good conscience.",1
"According to the course material, in constituting a plurality of laws in a typically urban Nigerian area, the applicable test for a customary law's application differs by region: the Northern States and Lagos State use the ""Nativity Test"", while the Eastern States use the:","""Nigerian descent test""","""Foreign residency test""","""Religious affiliation test"" exclusively","""Random selection test""",A,"The yardstick for applying customary law differs by region: in the Northern States and Lagos State, the test is the ""Nativity Test""; in the Eastern States, the test is the ""Nigerian descent test""; in the Western States, High Court laws provide expressly.",1
"According to the course material, the sources of Islamic Law include the Holy Qu'ran, Sunnahi Hadith (sayings and deeds of Prophet Mohammed), Ijma (unanimous agreement of learned Islamic scholars), Qiyas (analogical deductions), and:","Istihad (legal presumptions, customs, public interest)",Statute law of general application only,English common law exclusively,Roman civil law exclusively,A,"The sources of Islamic Law include the Holy Qu'ran, Sunnahi Hadith, Ijma (unanimous agreement of scholars), Qiyas (analogical deductions), and Istihad (legal presumptions, customs, and public interest).",1
"According to the course material, under Islamic law, unlike at common law and under the Criminal Code and customary law where it may serve as a partial defence, intoxication is treated as:",A crime per se,An absolute defence with no exception,Entirely irrelevant to criminal liability,Grounds for automatic acquittal in every case,A,"The course material notes that intoxication is a partial defence at common law and under the Criminal Code and customary law, but in Islamic law, intoxication is not a defence; rather it is a crime per se.",1
"According to the course material, certain Huddud crimes under Islamic law, such as brigandage, adultery, fornication, theft, and apostasy, require a high standard of proof, specifically evidence of:",At least three competent male witnesses whose testimonies are similar and corroborative,"A single, anonymous written statement submitted to the court","No witnesses at all, relying solely on the accused's confession",A simple majority vote among the local community,A,"Huddud crimes under Islamic law, including brigandage, adultery, fornication, theft, and apostasy, require a very high standard of proof: at least three competent male witnesses whose testimonies are similar and corroborative.",1
"According to the course material, Fuller (1968), cited in the discussion of customary law's conclusion, notes that customary law expresses itself not in a succession of words, but in a course of conduct, and has no definite authors because:",There is no person or defined human agency one can praise or bless for its being good or bad,"It was written entirely by a single, identifiable colonial administrator",It was codified in full by the Nigerian National Assembly in 1914,It applies exclusively to written contracts between two named parties,A,"Fuller (1968), cited in the course material, notes that customary law expresses itself in a course of conduct rather than words, and has no definite authors, since there is no person or defined human agency one can praise or bless for its being good or bad.",1
"According to the course material, the dominant view on the origin of early societal rules is that they were customary, an expression of the ""volksgeist"", a term associated with the jurist:",Savigny,Austin,Hart,Bentham,A,"The course material notes that the dominant view is that rules and regulations of early societies were customary, an expression of the volksgeist, to use Savigny's terminology, with custom regarded as a material source of law.",1
"According to Dworkin, cited in the course material's discussion of Positivist objections to customary law, the argument that law is a gapless system fails because:","The courts exist to fill the gaps, and judges may overrule past precedents or annul or confirm an enactment",No court in any jurisdiction has ever overruled a past precedent,Statutes can never be modified once they are enacted into law,"Customary law and statute law are, in every respect, identical",A,"Dworkin, cited in the course material, counters the Positivist claim that law is a gapless system by arguing that courts exist to fill the gaps, with judges able to overrule past precedents or annul or confirm an enactment.",1
"According to Aguda, cited in the course material, legislation expected to alter materially the social habits and values of a people can hardly be expected to succeed unless:",The masses are made to see the necessity for it,It is enacted with no public announcement of any kind,It is enforced exclusively through military decree,It applies only to foreign nationals residing in the country,A,"Aguda notes that legislation expected to materially alter social habits and values, even if meant to effect social justice, can hardly succeed unless the masses are made to see the necessity for it, since cultures and traditions die hard.",1
"According to the course material, under Islamic law's tariff system of punishment, Huddud offences carry mandatory sentences; for example, the prescribed sentence for adultery is stoning to death, while the prescribed sentence for theft is:",Loss of limbs,A small monetary fine only,"A formal, written public apology",A short period of community service,A,"Under the Islamic law tariff system, Huddud offences carry mandatory sentences: death for rebellion, stoning to death for adultery, flogging for drinking alcohol, and loss of limbs for theft.",1
