question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"In the circular flow of economic activity described in the course guide, firms are best described as:",The consuming unit,The primary producing unit,Government regulators,Passive market observers,B,"Firms are described as the primary producing unit, transforming allocated resources (input) into output, while households are the consuming unit.",2
An entrepreneur is best defined as:,Anyone who buys goods from a firm,A government official who regulates firms,"A person who manages, organises, coordinates, and takes decisions in a firm",A worker who is paid hourly wages,C,"The entrepreneur manages, organises, coordinates, and takes decisions in a firm, taking on the risk of production.",2
The market in which households supply labour to firms in exchange for wages is called the:,Product market,Labour market,Capital market,Land market,B,The labour market is a type of input/factor market where households supply work to firms in exchange for wage payments.,2
"According to the Law of Demand, all else being equal, a rise in the price of a good will lead to:",A rise in quantity demanded,A fall in quantity demanded,No change in quantity demanded,An increase in supply,B,"The Law of Demand states that a rise in price leads to a fall in quantity demanded, and a fall in price leads to a rise in quantity demanded, ceteris paribus.",2
"The ""income effect"" in demand theory refers to:",The effect of a price change on quantity demanded caused by the resulting change in a consumer's real purchasing power,The effect of an increase in government taxes on income,The effect of substituting one good for another due to price changes,The total income earned by a household in a year,A,Income effect is the effect of a price change on quantity demanded arising because the change makes consumers effectively richer or poorer in real terms.,2
"The ""substitution effect"" refers to consumers:",Switching to alternative or substitute products when a good's price changes,Receiving a pay raise from their employer,Saving more of their income,Buying more of a good regardless of price,A,Substitution effect is the effect of a price change on quantity demanded resulting from consumers switching to or from alternative products.,2
A demand curve is typically drawn as:,A horizontal straight line,An upward-sloping curve,A downward-sloping curve,A vertical straight line,C,"The demand curve slopes downward because a fall in price makes consumption easier, while a rise in price reduces the number of buyers who can afford the good.",2
"Which of the following is NOT listed among the factors that can shift the demand curve, aside from price?",Households' income,Households' preference and taste,The wage paid to factory workers producing the good,Expectation of future price change,C,"The listed factors are households' income, preference and taste, prices of related commodities, number of consumers, and expectation of future price change; wages paid to producers affects supply instead.",2
Bread and butter are given as an example of which type of related goods?,Substitute goods,Complementary goods,Inferior goods,Luxury goods,B,"Complementary goods are consumed together, such as bread and butter, or tables and chairs; a fall in demand for one tends to reduce demand for the other.",2
Margarine and butter are given as an example of which type of related goods?,Complementary goods,Substitute goods,Capital goods,Public goods,B,"Substitute goods can replace one another in consumption; examples given include margarine and butter, or coffee and tea.",2
"A ""movement along"" the demand curve, rather than a shift, occurs when:",Consumer income changes,"Only the price of the good itself changes, other factors held constant",Consumer preferences change,A new competitor enters the market,B,"Movement along the demand curve happens due to a change in the good's own price, holding all other demand-determining factors constant.",2
"In the simple demand function Qd = a – bP, what does P represent?",Profit,Population,Price,Production quantity,C,"In the demand equation Qd = a – bP, Qd is quantity demanded and P is price, based on the ceteris paribus assumption.",2
"According to the Law of Supply, all else being equal, a rise in the price of a good will lead to:",A fall in quantity supplied,A rise in quantity supplied,No change in quantity supplied,A fall in quantity demanded only,B,"The Law of Supply states that the higher the price, the higher the quantity supplied, and the lower the price, the lower the quantity supplied.",2
A supply curve is typically drawn as:,A downward-sloping curve,An upward-sloping curve,A horizontal straight line,A vertical straight line,B,The supply curve slopes upward because firms are willing to produce and supply more only when prices are high enough to justify the additional cost.,2
"Which of the following would most likely cause the supply curve to shift to the left, a decrease in supply?",A fall in the cost of production,An efficient new production technique,"A rise in the cost of factors of production, such as wages and rent",The entry of new firms into the industry,C,"A rise in the cost of factors of production increases overall production costs and reduces the quantity firms are willing to supply, shifting supply left.",2
"In the simple supply function Qs = c – dP, this equation is based on the assumption of:",Perfect competition,"Ceteris paribus, meaning only price changes while other supply-determining factors remain constant",Government price controls,Zero production costs,B,"Like the demand equation, the supply equation Qs = c – dP assumes ceteris paribus: only price varies while other determinants of supply are held constant.",2
"Which of the following is described in the course guide as a factor affecting supply, aside from price?",Households' preference and taste,Number of consumers in the market,Cost of production,Households' income,C,"Factors affecting supply include cost of production, production techniques, price of factors of production, price of alternative goods, price expectations, and number of buyers and sellers.",2
