question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Leslie Wilkins classified crimes into four categories using historical analysis. Which of the following is one of them?,Homicide (murder and manslaughter),Only traffic violations,Only tax offences,Only crimes against animals,A,"Leslie Wilkins classified crimes into: homicide, serious crimes against the person, serious crimes against property, and social disorganisation.",3
Crimes classified as 'mala in se' are:,"Offences universally accepted everywhere and at all times as crime, e.g. murder and robbery",Only crimes specific to one country's laws,Crimes with no real victims,"Only civil, not criminal, matters",A,"Mala in se crimes are offences universally accepted everywhere and at all times as crime, such as murder and robbery.",3
Crimes classified as 'mala prohibita' are:,Universally recognised crimes in all societies,"Offences pronounced illegal because a particular society's laws have declared them so, lacking universality",Only crimes against property,Only crimes committed by minors,B,"Mala prohibita crimes are pronounced illegal because a particular society's laws declare them so; this type lacks universality and is timeless, e.g. gambling.",3
"According to this unit, state organised crimes consist of acts committed by whom, in pursuit of their government roles?",Private citizens acting independently,"State and government officials, e.g. electoral fraud, hired assassination",Only foreign nationals,Only religious leaders,B,"State organised crimes consist of acts defined by law as criminal, committed by state and government officials in pursuit of their jobs, e.g. electoral fraud and hired assassination.",3
"Which criminal justice agency is described in this unit as the 'gate-keeper' of the justice system, deciding who goes into the system?",The prisons,The courts,The police,The legislature,C,"The police are described as the largest and most important subsystem of the criminal justice system, the 'gate-keeper' deciding who goes into the system.",3
"According to Erving Goffman, as cited in this unit, the prison is described as what type of institution?",An open institution with full personal freedom,"A 'total institution' -- locked up physically and psychologically, with the prisoner having no control",A purely voluntary institution,A religious institution only,B,"Erving Goffman described the prison as a 'total institution' -- the prisoner is locked up physically and psychologically, with no control, denied fundamental everyday choices.",3
"Legally, a criminal is defined in this unit as:",Anyone who has ever thought about committing a crime,"A person who has violated the criminal law of the land, been found guilty by a court, and punished accordingly","Only someone who has been arrested, regardless of conviction",A person suspected but never charged,B,"Legally, a criminal is defined as a person who has violated the criminal law, been found guilty by a court of law, and punished accordingly.",3
"According to this unit, which categories of persons are excused from criminal responsibility by the law, despite violating criminal law?",Wealthy business owners,"The insane, imbeciles, and morons",Only foreign tourists,Only elected politicians,B,"The law excuses certain categories of persons from criminal responsibility, such as the insane, imbeciles, and morons.",3
"Which category of persons, according to this unit, has immunity against criminal actions by virtue of their diplomatic or political positions?",Ordinary citizens,"Diplomats serving in foreign countries, Governors, and Heads of State",Only university lecturers,Only military privates,B,"By virtue of their positions, diplomats serving in foreign countries, Governors, and Heads of State have immunity against criminal actions.",3
Kork and McCorkle's term 'offenders-in-fact' refers to persons who:,Have violated criminal law but escaped conviction due to procedural/legal technicalities,Have never violated any law at all,Have been formally convicted and imprisoned,"Only exist in theory, not in practice",A,"'Offenders-in-fact' are persons who have violated criminal law (murder, robbery, arson, car theft) but escaped conviction due to procedural or other legal technicalities.",3
"According to this unit, what does the criminal justice system risk creating between the poor and the rich due to unequal treatment?",Complete equality with no distinctions,"A 'class of criminals' distinction, where elite/white-collar/corporate criminals often escape the same scrutiny as poor offenders",No noticeable difference at all,Only benefits for the poor,B,"The unit argues the criminal justice system has, more or less, created a 'class of criminals' distinction between the poor and rich, since elite/white-collar criminals often evade equal scrutiny.",3
"According to the United Nations Declaration of Basic Principles of Justice for Victims of Crime and Abuse of Power (1985), a victim is defined as a person who has suffered:","Only physical injury, nothing else","Harm including mental injury, emotional suffering, economic loss, or substantial impairment of fundamental rights",Only financial loss,"Only harm from a known, convicted offender",B,"The UN Declaration (1985) defines victims as persons who have suffered harm including mental injury, emotional suffering, economic loss, or substantial impairment of fundamental rights.",3
"Von Hentig, in his book 'The Criminal and His Victim', suggested that certain individuals are:","'Victim-prone', based on characteristics of victim-offender interactions",Always entirely random targets with no pattern,Immune to victimisation by definition,Only victimised by strangers,A,"Von Hentig suggested certain individuals were 'victim-prone', based on the characteristics of interactions between the victim and the offender.",3
Marvin Wolfgang defined 'victim-precipitated offences' as those in which the victim:,Has no role whatsoever in the crime,"Is a direct, positive precipitator in the crime",Is always entirely innocent by legal definition,Is only ever a stranger to the offender,B,"Wolfgang defined victim-precipitated offences as those in which the victim is a direct, positive precipitator in the crime.",3
"Which category of victim in this unit's classification refers to crimes where the victim and offender are the same person, e.g. alcoholism or drug abuse?",Political Victims,Victimless Crimes,Biologically Weak Victims,Precipitative Victims,B,"Victimless Crimes ('crimes without victims') are crimes that victimise the offenders themselves, e.g. alcoholism, drug abuse, prostitution.",3
"According to research cited in this unit, are females generally more or less prone to criminal victimisation than males?",Females are generally less prone to criminal victimisation than males,Females are always more prone than males with no exceptions,There is no difference at all between genders,Only males can be victims of crime,A,"The literature of criminology cited in this unit generally reveals that females are less prone to criminal victimisation than their male counterparts overall, though patterns vary by crime type.",3
"According to this unit, which groups are generally described as the most likely victims of crime, due to physical vulnerability or weaker social position?","The elderly, women, and children",Only wealthy adult men,Only law enforcement officers,Only foreign nationals,A,"In general, the most likely victims of crimes are described as the elderly, women, and children, due to physical vulnerability or weaker social position.",3
"According to this unit, the courts are described as the agency set up by government to:","Define and apply the law, order its enforcement, and settle disputed points",Only collect taxes,Only manage prisons directly,Only conduct elections,A,"A court is defined as the agency set up by government to define and apply the law, order its enforcement, and settle disputed points on which parties disagree.",3
Which of the following is listed among the eleven universal functions of the police identified by the US National Advisory Commission?,Preventing criminal activity,Setting national fiscal policy,Writing national legislation,Conducting foreign diplomacy,A,"Preventing criminal activity is listed among the eleven functions of the police, alongside detecting crime, apprehending offenders, and others.",3
"According to this unit, what is the second broader category used to classify criminal profiles, alongside 'convicted criminals'?",'Innocent criminals' -- those convicted and punished for crimes they did not actually commit,Only 'famous criminals',Only 'foreign criminals',Only 'juvenile criminals',A,The two broader profile categories are convicted criminals (who actually committed and were punished for crimes) and innocent criminals (convicted/punished for crimes they did not commit).,3
"According to this unit, is the definition of who counts as a 'criminal' entirely settled and free of debate among scholars?","Yes, completely settled with no disagreement",No -- there are competing legal and broader perspectives on whether someone must be caught/convicted to be considered a criminal,This question was never discussed in the unit,Only judges are permitted to define the term,B,The unit presents two perspectives: the strict legal definition (must be tried and convicted) versus the broader argument that anyone who violates criminal law is a criminal regardless of apprehension.,3
"According to this unit, corruption (such as bribery and extortion) is itself classified as a form of:",Criminal victimisation,A purely private matter with no victims,An acceptable business practice,A form of political victim only,A,"The unit classifies corrupt practices like bribery and extortion as criminal victimisation, causing serious socio-economic and political problems.",3
"According to this unit, which vulnerable group is described as frequently abused and molested by adults, disadvantaged in terms of age and ability to defend themselves?",Wealthy adult professionals,Children,Elected officials,Foreign diplomats,B,"Children are frequently abused and molested by adults, and like the elderly, are disadvantaged in terms of age and ability to defend themselves.",3
