question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
There are four basic types of computer instructions discussed in this unit. Which of the following is one of them?,Branching instructions,Cooking instructions,Marketing instructions,Filing instructions,A,"The four basic types of instructions are: input-output instructions, arithmetic instructions, branching instructions, and logic instructions.",3
"Computer programming languages can be classified into which of the following categories, according to this unit?","Machine language, Assembly language, High level language, Very high level language",Only machine language and English,Only compiled and interpreted,Fast and slow languages,A,"Programming languages are classified into: Machine language, Assembly language, High level symbolic language, and Very high level symbolic language.",3
Which generation of computer language is machine language classified as?,First Generation Language (1GL),Second Generation Language (2GL),Third Generation Language (3GL),Fourth Generation Language (4GL),A,Machine language is the First Generation (computer) Language (1GL).,3
"In assembly language, the operation code is expressed as a combination of letters, sometimes called:",Binary digits,Mnemonics,Pixels,Bytes,B,"In assembly language, the operation code is expressed as a combination of letters rather than binary numbers, sometimes called mnemonics.",3
Which software program translates an assembly language program into machine language?,Compiler,Interpreter,Assembler,Linker,C,An assembler accepts an assembly language program and produces a machine language program that the computer can execute.,3
"Unlike machine and assembly languages, high level languages are described as:",Machine dependent,Machine independent -- a program can run on a variety of computers,Impossible to translate,Only usable on one specific brand of computer,B,"High level languages are machine independent, meaning a high-level language program can be run on a variety of computers.",3
Which of the following is listed as a popular high-level programming language in this unit?,Fortran,HTML5,SQL,Assembly,A,"Among the popular high level programming languages listed are Fortran, Basic, Cobol, Pascal, Algol, Ada and PL/1.",3
"A Very High Level Language (4GL) is described in this unit as being what kind of language, where users specify what they want rather than how to get it?",A procedural language,A non-procedural language,A binary language,A hardware description language,B,"A 4GL is a non-procedural language -- program flows are designed by the 4GL software itself, not the programmer, based on user requests for results.",3
"According to this unit, which of the following is one of the accepted principles of a good computer program?",Complexity,Accuracy,Slowness,Ambiguity,B,"Accuracy is listed among the principles of good programming: the program must do what it's supposed to do correctly, per its specification.",3
Which principle of good programming refers to the program coping with invalid data without stopping unexpectedly?,Efficiency,Robustness,Readability,Usability,B,Robustness means the program should cope with invalid data and not stop without indicating the cause of the error.,3
How many major stages of programming are identified in this unit?,Four,Six,Eight,Twelve,C,"The preparation of a computer program involves eight major stages, from problem definition through documentation.",3
"Which class of programming error is caused by mistaken coding, such as illegal use of a language feature?",Logic errors,Execution errors,Syntax errors,Hardware errors,C,"Syntax errors are caused by mistaken coding, such as illegal use of a feature of the programming language.",3
"Which class of programming error occurs when the program works as intended, but illegal input or run-time circumstances cause it to stop?",Syntax errors,Logic errors,Execution errors,Compilation errors,C,"Execution errors occur when the program works as intended, but illegal input or other run-time circumstances make the program stop.",3
"The first level of debugging, performed after a program has been coded and entered, is called:",Storage dump,Desk checking or dry running,Manual walk-through,Program compilation,B,"The first level of debugging is called desk checking or dry running, aimed at locating logical and clerical errors before running the program.",3
"The printout of the contents of a computer's storage locations, used to help find the cause of a program halt, is called:",A storage dump,A source code listing,A flowchart,An error message list,A,"A storage dump is a printout of the contents of the computer's storage locations, helping determine the instruction where the program halted.",3
A flowchart is best described in this unit as:,A written narrative with no diagrams,A graphical representation of the major steps of work in a process,A type of computer virus,A programming language,B,"A flowchart is a graphical representation of the major steps of work in process, displaying essential steps in boxes connected by arrows.",3
Which flowchart symbol is used to show the START or STOP point of a process?,The decision diamond,The terminator,The process rectangle,The connector circle,B,"The Terminator symbol is used to show the START or STOP point, and may also show exit to a closed subroutine.",3
"Which flowchart symbol is used for decision-making, having two or more lines leaving it labeled 'Yes'/'No' or 'True'/'False'?",The terminator,The decision diamond,The process rectangle,The input/output parallelogram,B,"The decision symbol (diamond) is used for decision making, with two or more exit lines labeled with different decision results.",3
"According to this unit, an algorithm named after a ninth-century scholar is defined as:",A random guess at a solution,A finite step-by-step procedure to achieve a required result,A type of computer hardware,A programming language syntax error,B,"An algorithm, named after Abu Jafar Muhammad Ibn Musu Al-Khowarizmi, is defined as a finite step-by-step procedure to achieve a required result.",3
"According to this unit, what is the most famous algorithm in history, dating well before the ancient Greeks?",Newton's method,Euclid's algorithm for calculating the greatest common divisor,The bubble sort algorithm,The binary search algorithm,B,The most famous algorithm in history is Euclid's algorithm for calculating the greatest common divisor of two integers.,3
Which program design aid expresses the detailed logic of a program using English-language statements rather than diagrams?,A flowchart,Pseudocode,A decision table,Object code,B,"Pseudocode is a program design aid that expresses program algorithms as English-language statements, serving the function of a flowchart.",3
Which tool sets out the conditions applying to a problem and the actions to be taken for any combination of those conditions?,A flowchart,Pseudocode,A decision table,An assembler,C,Decision tables set out the conditions applying in a problem and the actions to be taken for any combination of those conditions.,3
A decision table comprises four standardized sections. Which of the following is one of them?,Conditions Stub,Marketing Stub,Pricing Stub,History Stub,A,"Decision tables comprise four sections: Conditions Stub, Condition Entry, Action Stub, and Action Entry.",3
