question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, citing Akalugo (2003), the term ""communication"" is derived from the Latin word ""communicare"", meaning to share, and from the French word ""communis"", meaning:",Common,Distant,Silent,Official,A,The term communication is derived from the Latin word communicare (to share) and the French communis (common); thus communication simply means the sharing of meaning.,1
"According to the course material, human communication falls into two broad categories: verbal communication, done through the use of words, and:","Non-verbal communication, carried out without speech","Written communication exclusively, with no other form possible",International communication exclusively,Digital communication exclusively,A,"Human communication falls into two broad categories: verbal communication (done through words, oral or written) and non-verbal communication (carried out without speech, e.g. tactile, sign, object, action, genetic factor communication).",1
"According to Sambe (2004), cited in the course material, mass communication is the process of transmitting information, ideas, attitudes, and values through a communication device to a relatively large, heterogeneous, and:",Anonymous audience simultaneously,Exclusively literate audience only,Government-approved audience only,"Single, identifiable individual",A,"Sambe (2004) defines mass communication as the process of transmitting information, ideas, attitudes, values, and beliefs through a communication device to a relatively large, heterogeneous, and anonymous audience simultaneously.",1
"According to Sambe (2008:4-6), cited in the course material, four factors that influence effective communication by a source are communication skills, knowledge level, attitude, and:",Social cultural context,Physical height,Preferred colour of clothing,Astrological sign,A,"Sambe (2008:4-6) identifies four factors that influence effective communication by a source: communication skills, knowledge level, social cultural context, and attitude.",1
"According to the course material, among the forms of the African traditional communication system, the ""Hornman"" uses the elephant tusk to call people's attention, while the ""town crier"" or ""gong man"" uses:",His iron gong to announce messages to the society,A written newsletter distributed door to door,A modern loudspeaker system powered by electricity,A series of coded flags visible only from a distance,A,"Among the forms of African communication systems, the town crier or gong man is a messenger who goes about with his iron gong to call people and announce messages, while the Hornman uses the elephant tusk (horn).",1
"According to Wilson (1990), cited in the course material, ""Instrumental Mode of Communication"" among traditional African systems includes idiophones, aerophones, membranophones, and:",Symbolography (such as the Nsibidi writing system),Modern satellite transmission technology,Digital encryption codes,Formally printed newspapers,A,"Wilson (1990) identifies the Instrumental Mode of Communication as consisting of idiophones, aerophones, membranophones, and symbolography, the latter including the Nsibidi writing system found among peoples of the Cross River, Akwa Ibom, Imo, and Anambra States.",1
"According to the course material, citing McQuail (2000), the mass media are described as the organized means for communicating openly and at a distance to many receivers within a:",Short space of time,Duration of no less than one calendar year,"Single, private, one-on-one meeting","Fully silent, non-verbal exchange only",A,"McQuail (2000) describes the mass media as the organized means for communicating openly and at a distance to many receivers within a short space of time, reaching virtually everyone in a society to a greater or lesser degree.",1
"According to Murphy (1977), cited in the course material, the societal impact of the media can be summed up in three ways: as oil, as glue, and as:",Dynamite,Water,Sand,Iron,A,"Murphy (1977) sums up the societal impacts of media in three ways: as oil (helping individuals adjust to life's realities), as glue (maintaining social cohesion), and as dynamite (capable of ripping society apart, as with propaganda before the 1917 Russian Revolution).",1
"According to the course material, Nigerian newspapers can be categorized by format into two types: Tabloid, the common format found in Nigeria (such as The Sun and Nigerian Tribune), and:",Standard size (such as This Day),"Digital-only format, with no print equivalent",Pocket-sized format exclusively,Poster-sized format exclusively,A,"Nigerian newspapers can be categorized by format into Tabloid (the common format in Nigeria, such as The Sun and Nigerian Tribune) and Standard size (larger, common in the US/Britain, with This Day as a Nigerian example).",1
"According to Harold Lasswell, cited in Sambe (2004) in the course material, the ""surveillance"" function of the mass media, which corresponds to news handling, is also described as the:","""Watchman function""","""Silent function""","""Passive function""","""Retirement function""",A,"Lasswell describes the surveillance role of the media as the ""watchman function"", involving keeping close watch on the activities of government and correcting uncomplimentary occurrences, corresponding to news handling.",1
"According to the course material, the six recognized normative theories of the mass media include Authoritarian, Libertarian (Free Press), Soviet Communist, Social Responsibility, Development Media Theory, and:",Democratic-Participant Media Theory,Purely Digital Media Theory,Exclusively State-Owned Media Theory,Anonymous Media Theory,A,"The six normative theories of the mass media recognized in the literature are Authoritarian, Libertarian (Free Press), Soviet Communist, Social Responsibility, Democratic-Participant Media Theory, and Development Media Theory.",1
"According to the course material's discussion of the Libertarian (Free Press) theory, the theory is based on the concept of a ""free market place of ideas"", which holds that:",Good ideas would inevitably drive out bad ones if both were guaranteed free expression,The government must approve all ideas before publication,Only ideas that generate profit should be permitted to circulate,No ideas should ever be published without prior religious approval,A,"The Libertarian or Free Press theory is based on the concept of a ""free market place of ideas"", which held that good ideas would inevitably drive out bad ones if both were guaranteed free expression, with its clearest expression found in the First Amendment to the American Constitution.",1
"According to the course material, the Social Responsibility Theory can be aptly described as a child of the industrial revolution, holding that while the press should be free, it must nonetheless be:",Responsible,Government-controlled at all times,Restricted exclusively to entertainment content,Fully anonymous in authorship,A,"The Social Responsibility Theory, described as a child of the industrial revolution, is based on the assumption that while the press should be free, it must nonetheless be responsible, with the main theme being ""In Public Interest"".",1
