question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Michael E. Salla (2000), cited in the course material, conflict resolution as a field of study is best described as:",Simultaneously an ancient and a new field of academic study,A purely modern invention with no historical roots whatsoever,A field exclusively concerned with international diplomacy,A subfield of economics with no connection to psychology,A,"Salla (2000) describes conflict resolution as simultaneously ancient (humans have always sought to regulate conflict through law, agreements, religion, and force) and new (developing theoretical insights into durable settlements without military force).",1
"According to the course material, Morton Deutsche's 1949 article and his later 1973 book, The Resolution of Conflict, developed what came to be known as Deutsche's:","""Crude law of social relations""","""Theory of absolute power""","""Doctrine of perpetual war""","""Law of unlimited resources""",A,"Deutsche developed the ""crude law of social relations"": that the characteristic processes and effects elicited by a given type of social relationship, such as cooperative or competitive, also tend to elicit that same type of relationship in return.",1
"According to Roger Fisher and William Ury's 1981 book Getting to Yes, cited in the course material, the three forms of conflict behaviour are soft positional bargaining, hard positional bargaining, and:",Principled negotiation,Total surrender,Armed confrontation,Silent avoidance,A,"Fisher and Ury identified three conflict behaviours: soft positional bargaining (yielding too much), hard positional bargaining (competitive, adversarial), and principled negotiation (cooperating to identify underlying interests).",1
"According to the course material, John Burton distinguished ""disputes"", which involve negotiable interests, from ""conflicts"", which involve:",Issues relating to ontological human needs that cannot be compromised,"Only trivial, easily resolved disagreements",Purely economic disagreements with no emotional component,Matters that are always resolved through military force,A,"Burton wrote that ""'Disputes' involve negotiable interests, while 'conflicts' are concerned with issues that are not negotiable, issues that relate to ontological human needs that cannot be compromised.""",1
"According to the course material, applying John Dollard's theory, Burton believed that frustrated basic needs, as opposed to unsatisfied interests, were the underlying source of:","Aggressive behaviour, violence, and conflict","Only minor, easily-resolved workplace disagreements",Purely legal disputes with no emotional dimension,"Constructive, healthy competition",A,"Burton, applying Dollard's frustration-aggression theory, believed that frustrated needs led to aggressive behaviour and were the underlying source of all conflict and violence, unlike unsatisfied interests, which need not lead to violence.",1
"According to Fink (1968), cited in the course material, conflict is defined as a situation in which two or more social entities are linked by at least one form of antagonistic:",Psychological relation or antagonistic interaction,Business partnership with no disagreement at all,Religious affiliation exclusively,Geographic proximity with no other connection,A,Fink (1968) defines conflict as any situation or process in which two or more social entities are linked by at least one form of antagonistic psychological relation or at least one form of antagonistic interaction.,1
"According to Lewis Coser (1956), cited in the course material, conflict is defined as a struggle over values and claims to secure status, power and resources, in which the aims of opponents are to:","Neutralize, injure, or eliminate rivals",Always reach a peaceful compromise immediately,Avoid any form of confrontation whatsoever,Strengthen the rival's position at their own expense,A,"Coser (1956:8) defines conflict as ""a struggle over values and claims to secure status, power and resources, a struggle in which the aims of opponents are to neutralize, injure or eliminate rivals.""",1
"According to the course material, the three general categories used to analyse the causes of conflict are Communication, Organizational, and:",Personal,International,Religious,Technological,A,"For purposes of analysis, the causes of conflict may be grouped into three general categories: Communication (semantic difficulties, noise), Organizational (interdependence, resource scarcity), and Personal (personality types, value systems).",1
"According to the course material, which type of conflict occurs when people lack necessary information, are misinformed, or interpret information differently, and typically has a ""data solution""?",Data conflict,Value conflict,Ego conflict,Structural conflict,A,"Data conflicts occur when people lack information necessary to make wise decisions, are misinformed, or interpret information differently; most data conflicts have identifiable ""data solutions"".",1
"According to the course material, ""pseudo conflict"" refers to:",A misunderstanding in which people perceive a conflict exists when it actually does not,A conflict that always escalates into physical violence,The most serious and difficult type of conflict to resolve,A conflict exclusively found in international relations,A,Pseudo conflict refers to misunderstandings in which parties perceive a conflict exists when there is none; the solution lies in listening mindfully and checking perceptions rather than making assumptions.,1
"According to the course material, the five conflict-handling styles include Accommodate, Avoid, Compromise, Compete, and:",Collaborate,Escalate,Litigate,Retaliate,A,"The five conflict-handling styles discussed are Accommodate (I lose, you win), Avoid (I lose, you lose), Compromise (we both win/lose), Compete (I win, you lose), and Collaborate (I win, you win).",1
"According to Speed Leas and Paul Kittlaus, cited in the course material, the three ways conflict is experienced are Intrapersonal, Interpersonal, and:","Substantive conflict (disputes over facts, values, goals, and beliefs)",International conflict exclusively,Purely economic conflict,Religious conflict exclusively,A,"Leas and Kittlaus, in Church Fights, distinguish three ways conflict is experienced: intrapersonal (internal to a person), interpersonal (personality clashes), and substantive (disputes over facts, values, goals, and beliefs).",1
"According to Duffy Robbins, cited in the course material, the four levels of substantive conflict, from easiest to most difficult to resolve, are Facts/Data, Processes/Methods, Goals/Purpose, and:",Values,Territory,Time,Language,A,"The four levels of substantive conflict identified are Facts or Data (easiest to resolve), Processes or Methods, Goals or Purpose, and Values (the deepest and most difficult, since resolution at this level is almost impossible).",1
"According to the course material's discussion of conflict myths, the second myth addressed is that conflicts are the result of clashing personalities, but the material argues instead that:","Personalities do not conflict, behaviours do",Personalities are indeed the sole and only cause of all conflict,Only people with identical personalities can ever experience conflict,Personality clashes can never be resolved under any circumstances,A,"The course material states that personalities do not conflict, behaviours do; differentiating personality from behaviour makes conflict more manageable since behaviours, unlike personalities, can be changed.",1
"According to the four-step negotiation method described in the course material, the first step is to:",Separate the people from the problem,Immediately declare a winner and a loser,Avoid any direct communication between the parties,Involve as many outside parties as possible before discussing the issue,A,"The four-step negotiation method begins with separating the people from the problem, treating one another with respect and focusing on issues rather than character judgments, followed by focusing on issues (not positions) and generating options.",1
