question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, following the Treaty of Cession in 1861, an Ordinance No. 3 was promulgated in 1863, setting up a Consular Court, Equity Court, and:","The Supreme Court, for the colony of Lagos",The Federal Court of Appeal,The Sharia Court of Appeal,The National Assembly Election Tribunal,A,"Following the Treaty of Cession in 1861, Ordinance No. 3 was promulgated in 1863, setting up a Consular Court, Equity Court, and the Supreme Court for the colony of Lagos to regulate trade.",2
"According to the course material, the Protectorate Court Ordinance of 1933 carried out sweeping reforms in the court system, setting up additional courts including the High Court and:",The Magistrate Court,The Sharia Court of Appeal exclusively,The Customary Court of Appeal exclusively,The Judicial Committee of the Privy Council,A,"The Protectorate Court Ordinance, 1933, carried out sweeping reforms by setting up the High Court and the Magistrate Court, with the native courts retaining jurisdiction over land title matters unless transferred by the Governor-in-Council.",2
"According to the course material, at independence in 1960, the Sharia Court of Appeal replaced the Moslem Court of Appeal (which had been set up in 1956); the Sharia Court of Appeal had jurisdiction limited to:","Civil matters only, in cases governed by personal Moslem law",Both civil and criminal matters in every case nationwide,"Criminal matters only, with no civil jurisdiction whatsoever",Matters exclusively involving non-Muslim litigants,A,"At independence in 1960, the Sharia Court of Appeal replaced the Moslem Court of Appeal, but with civil jurisdiction only, limited to cases governed by personal Moslem law, and power to entertain contempt cases.",2
"According to the course material, appeals to the Judicial Committee of the Privy Council in London were abolished with effect from a specific date following Nigeria's independence; a Supreme Court of Nigeria was then reconstituted as the apex court, effective from:",1st October 1963,1st October 1960,1st January 1914,1st January 1900,A,"Appeals to the Judicial Committee of the Privy Council were abolished with effect from 1st October 1963, at which point a Supreme Court of Nigeria was reconstituted as the apex court.",2
"According to the course material, superior courts are courts of records with unlimited jurisdiction and may exercise supervisory jurisdiction over inferior courts by making prerogative orders of certiorari, mandamus, prohibition, and:",Injunction,Amnesty,Deportation,Excommunication,A,"Superior courts, as courts of unlimited jurisdiction, may exercise supervisory jurisdiction over inferior courts through prerogative orders of certiorari, mandamus, prohibition, and injunction.",2
"According to the course material, regarding the finality of the Supreme Court of Nigeria's decisions, the often-cited aphorism holds that the Supreme Court is:",Final not because it is infallible; it is infallible because it is final,Infallible because it has never once made an error in its history,"Not final in any respect, since further appeal is always possible",Only binding on cases decided after the year 2000,A,"The course material notes the aphorism that the Supreme Court is ""final not because it is infallible, it is infallible because it is final"", a commentary on the finality of its determinations under Section 235 of the Constitution.",2
"According to the course material, to qualify for appointment as Chief Justice of Nigeria or a Justice of the Supreme Court, a person must have been qualified to practice as a legal practitioner in Nigeria for a period of not less than:",15 years,5 years,50 years,2 years,A,"To qualify for appointment as Chief Justice of Nigeria or a Justice of the Supreme Court, a person must have been qualified to practice as a legal practitioner in Nigeria for not less than 15 years.",2
"According to the course material, to qualify for appointment as President or a Judge of the Court of Appeal, a person must have been a qualified legal practitioner in Nigeria for not less than:",12 years,20 years,3 years,1 year,A,"To qualify for appointment as President or a Judge of the Court of Appeal, a person must have been a qualified legal practitioner in Nigeria for not less than 12 years.",2
"According to the course material, the office of Attorney-General was introduced to modern Nigeria by the British Colonial Administration, with one R.M. Combe probably first serving as Attorney-General from March 1918 to:",August 1918,August 1960,August 2000,August 1861,A,"The chronology of Attorneys-General of the Federation shows that R.M. Combe probably first served as Attorney-General from March 1918 to August 1918, though the exact origin date of the office before 1900 remains obscure.",2
"According to the course material, the Attorney-General's power to discontinue, at any stage before judgment, any criminal proceedings instituted or undertaken by him or any other authority or person, is exercised by entering a formal declaration known as:",A nolle prosequi,A writ of certiorari,A habeas corpus petition,A subpoena duces tecum,A,"The Attorney-General may, at any stage before judgment, enter a nolle prosequi, stating or informing the court that the State intends the proceedings shall not continue, upon which the accused is discharged in respect of that charge.",2
"According to the course material, the Moslem Court of Appeal, set up in 1956 with both original and appellate criminal and civil jurisdiction, was replaced at independence in 1960 by:",The Sharia Court of Appeal,The Federal High Court,The Customary Court of Appeal exclusively,The Judicial Committee of the Privy Council,A,"The Moslem Court of Appeal, set up in 1956 with original and appellate criminal and civil jurisdiction, was replaced at independence in 1960 by the Sharia Court of Appeal, which had civil jurisdiction only.",2
"According to the course material, a ""Court of Resolution"" was set up in the North on the eve of Nigerian independence for the specific purpose of:",Resolving whatever issue may have arisen between the High Court and the Sharia Court of Appeal,Hearing exclusively international trade disputes,Trying only capital offences committed by foreign nationals,Administering the country's national budget,A,"On the eve of independence, a Court of Resolution was set up in the North to resolve whatever issue may have arisen between the High Court and the Sharia Court of Appeal, determining which cases should go to which court.",2
"According to the course material, the Federal Court of Appeal Act of 1976 established the Court of Appeal, which was formerly known as:",The Federal Court of Appeal,The Supreme Court of the North,The West African Court of Appeal,The Judicial Committee of the Privy Council,A,"The Court of Appeal was formally known as the Federal Court of Appeal, established for the Federation by the Federal Court of Appeal Act of 1976.",2
"According to the course material, judges and magistrates, on appointment, must take the Oath of Allegiance as well as the Judicial Oath, by which they promise to discharge their duties honestly, and to abide by the code of conduct contained in which schedule of the Constitution?",The Fifth Schedule,The First Schedule,The Ninth Schedule,No schedule; the Judicial Oath makes no reference to any schedule,A,"On appointment, judges and magistrates take the Judicial Oath, promising to discharge their duties honestly and to abide by the code of conduct contained in the Fifth Schedule of the Constitution of the Federal Republic of Nigeria.",2
"According to the course material, the Attorney-General of the Federation is, among other roles, a member of the Federal Judicial Service Commission and a member of the:",Council of State,Nigerian Union of Journalists,Nigerian Football Federation,Nigerian Institute of International Affairs exclusively,A,"The Attorney-General of the Federation is a member of the Federal Judicial Service Commission, a public officer for Code of Conduct purposes, and a member of the Council of State, per the 1999 Constitution.",2
