question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, intelligence differs from mere information in that intelligence is refined, analysed, and evaluated information gathered through either overt (open) or:","Clandestine (secret) means, or both",Purely accidental means only,Exclusively public government press releases,Random guesswork with no factual basis,A,"Intelligence is described as a refined, analysed, and evaluated form of information gathered through either overt (open) or clandestine (secret) means, or both, distinguishing it from raw, unrefined information.",4
"According to the course material, intelligence can be interpreted along three dimensions: intelligence as a process, intelligence as a structure, and intelligence as a:",Product,Punishment,Religion,Currency,A,"Intelligence interprets itself in three dimensions: as a process (collection and analysis of information), as a structure (the agencies responsible for intelligence), and as a product (the refined output ready for the consumer).",4
"According to the course material, in the defunct Soviet Union, a single intelligence agency known as the KGB performed all intelligence activities, while in the United States, the agency that performs functions ranging from domestic, paramilitary to foreign intelligence is:",The Central Intelligence Agency (CIA),The Federal Bureau of Investigation (FBI) exclusively,The Department of Homeland Security exclusively,The United States Congress,A,"The course material cites the KGB in the former Soviet Union as an agency performing all intelligence activities, and the Central Intelligence Agency (CIA) in the United States as performing domestic, paramilitary, and foreign intelligence functions.",4
"According to Kent (1965), cited in the course material, ""security intelligence"" can be described as the intelligence behind the police function, the knowledge and activity which defensive police forces must have before they take specific action against:",The individual ill-wisher or ill-doer,Any member of the general public without any distinction,Foreign heads of state exclusively,Only convicted criminals who have already served their sentence,A,"Kent (1965: 209-210) describes security intelligence as the intelligence behind the police function, the knowledge and activity which defensive police forces must have before they take specific action against the individual ill-wisher or ill-doer.",4
"According to the course material, the practice of espionage structures spies in a cell form, in which the individual who recruits his own spies and must demonstrate competence and mentoring potential is known as the:",Case Officer,Diversion Safe,Number Station,One-Way Voice Link,A,"In the cell-form structure of espionage, spies can only know other spies in their own cell or unit; it is the Case Officer who recruits spies and must demonstrate competence, understanding, and mentoring potential.",4
"According to the course material, ""steganography"", a term emanating from the Greek meaning ""covered or hidden"", differs from cryptography in that steganography deals with how information is hidden, while cryptography involves:",Coding the meaning of a message rather than hiding its existence,Physically destroying a message after it has been read,Publicly broadcasting a message with no attempt at concealment,Translating a message into a foreign language with no other alteration,A,"Steganography (from the Greek for ""covered or hidden"") deals with hiding the existence of a message, while cryptography is the art of coding the meaning of a message without hiding that a message exists.",4
"According to the course material's discussion of interrogation methods, ""suggestibility"" is a technique in which the person being interrogated is subjected to sleep deprivation or exposed to:",Continual white sound,A formal written legal contract,A public trial before a jury,An extended period of complete silence with no other stimulus,A,"Suggestibility is an interrogation technique in which the person being interrogated is subjected to sleep deprivation or exposed to continual white sound, aimed at extracting information through psychological pressure.",4
"According to the course material, in Britain, the independent security organization responsible for counter-intelligence functions, having no police powers of its own but collaborating with the ""Special Branch"" law enforcement agency, is known as:",MI-5,Scotland Yard exclusively,The Royal Air Force exclusively,The House of Commons,A,"In Britain, MI-5 (the Security Service) performs counter-intelligence functions and has no police powers of its own, but collaborates with the Special Branch to effect arrests, interrogations, or search warrants on suspected threats.",4
"According to the course material, the four major aspects of counter-intelligence discussed are defensive counter-intelligence, offensive counter-intelligence operations (also known as counter-espionage), counter-intelligence protection of intelligence services, and:",Counterintelligence Force Protection Source Operations (CFSO),Purely diplomatic negotiation with no intelligence component,Complete public disclosure of all intelligence activities,The permanent disbandment of all intelligence agencies,A,"The four major aspects of counter-intelligence discussed are defensive counter-intelligence, offensive counter-intelligence operations (counter-espionage), counter-intelligence protection of intelligence services, and Counterintelligence Force Protection Source Operations (CFSO).",4
"According to the course material, a real case cited to illustrate failures of intelligence analysis in Nigeria involves the Lagos State High Court discharging and acquitting the former Chief Security Officer to the late Head of State, General Sani Abacha, of an allegation of trying to overthrow the government of former President:",Olusegun Obasanjo,Muhammadu Buhari,Goodluck Jonathan,Umaru Musa Yar'Adua,A,"The course material cites the Lagos State High Court's decision to discharge and acquit the former Chief Security Officer to the late General Sani Abacha of an allegation of trying to overthrow President Olusegun Obasanjo's government, due to lack of evidence.",4
