question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Lionel Robbins, economics is best defined as a science which studies:",Human behaviour as a relationship between given ends and scarce means which have alternative uses,The production and distribution of wealth among nations,How governments allocate national budgets,The buying and selling of goods in a market,A,"Robbins' definition, from An Essay on the Nature and Significance of Economic Science, is described as the most widely accepted definition of economics.",1
Which of the following best describes microeconomics?,"The study of the overall functioning of an economy, such as growth, unemployment, or inflation","The study of the decisions of individuals, households, and businesses in specific markets",The study of international trade agreements between countries,The study of government fiscal policy at the national level,B,"Microeconomics studies individual decision-making units in specific markets, while macroeconomics studies the economy as a whole.",1
Opportunity cost is best defined as:,The total monetary price paid for a good,Whatever must be given up to obtain something,The tax charged on a purchased good,The profit earned from selling a good,B,"Opportunity cost is the value of the next best alternative forgone when a choice is made, not just the out-of-pocket cost.",1
"An economic decision is described as ""rational"" when it is:",Made without considering costs,Consistent and influential to achieving a well-defined end,Always the cheapest available option,Made spontaneously without planning,B,Foley (2003) defined rational behaviour as consistent action aimed at achieving a well-defined objective.,1
Which of the following is NOT one of the five basic economic problems discussed in the course guide?,What to produce?,How much to produce?,Who owns the means of production?,For whom to produce?,C,"The five basic economic problems are what, how much, how, for whom, and when to produce.",1
"In a traditional economy, decisions on what to produce are typically based on:",Government five-year plans,"What previous generations produced, using the same methods",Market prices set by demand and supply,A vote among consumers,B,"Traditional economies answer what to produce based on inherited customs, producing what earlier generations produced in the same way.",1
"In a controlled (command) economy, the decision on what and how much to produce is made by:",Private businesses competing for profit,"Government planners, with no private sector initiative",Individual households through demand,A mix of the government and private sector,B,"In a controlled or planned economy, government planners decide production levels, with no private sector role.",1
Which of these is given as an example of a country that historically operated a controlled economy?,The United States of America,The United Kingdom,The former Soviet Union,Nigeria,C,"The course guide names the former Soviet Union, Cuba, and North Korea as examples of controlled economies, while Nigeria, the USA, and UK are described as mixed economies.",1
A defining feature of a free market economy is that:,Government sets all prices for goods and services,Basic economic decisions are made by buyers and sellers through the price mechanism,All resources are owned collectively by the state,Production quotas are fixed by central planners,B,"In a free market economy, decisions on what, how, and for whom to produce are made by buyers and sellers through prices, with no government intervention.",1
A mixed economy is best described as:,An economy with no government involvement at all,An economy where all production is state-owned,A combination of controlled economy and market economy characteristics,An economy that only trades with other countries,C,"Mixed economies combine elements of market and controlled economies; Nigeria, the USA, the UK, Malaysia, and China are cited as examples.",1
"Which of the following best matches the ""how much to produce?"" economic problem?",Deciding whether to sell shoes or shirts,"Determining the required quantity of a good to produce, given demand for comparable goods",Deciding which social class receives the goods,Deciding the timing of production relative to demand,B,How much to produce concerns determining the right quantity of a good given competing demand for similar goods.,1
"The problem of ""for whom to produce"" is shaped mainly by:",The weather conditions in a region,The principles governing how goods are distributed among members of society,The number of factories in a country,The price of imported raw materials,B,For whom to produce concerns the distribution method for goods among a society's members.,1
Which economic problem specifically concerns the timing of when a good becomes available in the market?,What to produce,How to produce,When to produce,For whom to produce,C,When to produce addresses the timing of output availability; goods for future consumption are generally valued lower than those available now.,1
"One stated weakness of a controlled economy, according to the course guide, is that it:",Always produces a perfect match between consumer wants and production,May struggle to match consumer wants and needs with what is produced,Provides too many choices for consumers,Encourages excessive competition between firms,B,"A stated weakness of controlled economies is difficulty matching consumer wants with production, since planners rather than market signals determine output.",1
"According to the course guide, one strength of a free market economy is:",Complete elimination of market power concentration,Strong environmental protection incentives,A good opportunity for innovation and incentive to produce,Guaranteed protection for people without marketable skills,C,"Listed strengths of a free market economy include economic freedom, opportunity for innovation, and a direct link between buyers and sellers via price.",1
