question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
The effective colonialisation of Nigeria by Britain is generally dated to the cession of Lagos to Britain by King Dosunmu in:,1861,1900,1914,1960,A,The effective colonialisation of Nigeria began with the cession of Lagos to Britain by King Dosunmu under the Treaty of Cession in 1861.,4
"In pre-colonial Southern Nigeria, the most talked-about aspect of the justice process, used to determine guilt when an accused denied an offence, was:",Trial by ordeal,Trial by jury of twelve citizens,Written affidavit submission,DNA evidence testing,A,"""Trial by ordeal"" was the most discussed aspect of pre-colonial Southern Nigerian justice, requiring an accused person to undergo an ordeal, such as swallowing poison from the sasswood tree, to determine guilt or innocence.",4
"In pre-colonial Northern Nigeria, the primary source of substantive law under the Sharia legal system was:","The Holy Koran, supplemented by Sunnah, Ijma, Qiyas, and Istihad",Unwritten oral customs with no religious basis,Colonial statutes imported from Britain,The Nigerian Criminal Code of 1990,A,"The basic source of law in the Islamic north was the Holy Koran, supplemented by subsidiary sources including Sunnah (sayings of the Prophet), Ijma (scholarly consensus), Qiyas (analogical deductions), and Istihad.",4
"Under the Sharia classification of offences discussed in the course material, ""Huddud"" offences are those:","Textually designated with fixed penalties in the Quran or Sunna, leaving the judge no discretion",Left entirely to a judge's personal discretion,Punishable only by fines,Applicable only to non-Muslims,A,"Huddud offences, such as adultery, theft, or rebellion, have penalties explicitly prescribed in the Quran or Sunna, and judges have no discretion once the standard of proof and conditions are met.",4
"Under Sharia's classification of offences, ""Qisas"" offences, such as murder or grievous bodily harm, allow the victim or their relatives to opt for:","Retaliation, or alternatively, compensation (""blood money"")",Automatic acquittal of the accused,Immediate exile of the entire community,Compensation is never permitted under any circumstances,A,"For Qisas offences, the victim, or their relatives if deceased, may choose retaliation against the offender, or opt for compensation, commonly known as ""blood money"".",4
"The West African Court of Appeal (WACA), established as an appellate court for the whole region during the colonial period, was based in:",Sierra Leone,London,"Lagos, Nigeria","Accra, Ghana",A,The West African Court of Appeal (WACA) was established in Sierra Leone as an appellate court serving the whole of West Africa during the colonial period.,4
"During the colonial period, the highest court of the land for Nigeria was actually located outside the country. This was the:","Judicial Committee of the Privy Council (JCPC), based in London","International Court of Justice, based in The Hague","Nigerian Federal Supreme Court, based in Lagos","West African Court of Appeal, based in Accra",A,"The Judicial Committee of the Privy Council (JCPC), based in London, remained the highest court of the land for colonial Nigeria, above even the West African Court of Appeal.",4
"The first Nigerian professional lawyer, who qualified around 1889, was:",Christopher Sapara Williams,Ahmadu Bello,Herbert Macaulay,Nnamdi Azikiwe,A,"Christopher Sapara Williams, who qualified around 1889, is identified as the first Nigerian professional lawyer.",4
"The substantive criminal law of colonial and present-day Southern Nigeria, known as the Criminal Code, was borrowed from:","Queensland, Australia",Sudan,India,France,A,"The Criminal Code applied in Southern Nigeria was borrowed from Queensland, Australia, another British colony, and made applicable to Nigeria.",4
"The Penal Code, which governs criminal law in Northern Nigeria, was borrowed from:",Sudan and India,"Queensland, Australia",The United States,France and Germany,A,"The Penal Code operating in Northern Nigeria, adopted to align more closely with Islamic values, was borrowed from Sudan and India.",4
