question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Miller and King (2003), peace is best defined as:",The complete absence of war,"A political condition that ensures justice and social stability through formal and informal institutions, practices and norms",A temporary truce between warring parties,A military victory over an aggressor,B,"Miller and King's (2003) definition emphasizes that true peace requires justice and social stability through institutions and norms, not merely the absence of war.",1
"The idea that ""the absence of war means the presence of peace"" is described in the course material as:",An accurate summary of positive peace,Dangerously misleading,The definition preferred by most scholars,A useful working definition for policymakers,B,"The material explicitly warns that equating absence of war with peace is dangerously misleading; peace requires social justice, not just the absence of conflict.",1
Peace sought outside the premise of social justice is referred to as:,Positive peace,True peace,Negative peace,Structural peace,C,"The course material states that peace sought outside social justice is ""negative"" and not true peace, distinguishing it from positive peace.",1
"""Ahimsa"", a concept associated with Gandhi's philosophy of peace, originated within which religious tradition?",Christianity,Jainism,Islam,Buddhism,B,"Ahimsa originated within Jainism, a reforming sect of Hinduism, and translates roughly as ""non-violence"" or ""non-injury"" to all forms of life.",1
"""Satyagraha"", another principle pushed by Gandhi, is best translated as:","""The pursuit of truth""","""The rejection of war""","""The sharing of resources""","""The end of colonialism""",A,"Satyagraha means ""the pursuit of truth"" or ""insistence on truth"", and Gandhi argued things acquired violently could only be retained through violence.",1
"The Just War theory, derived from Bishop Augustine of Hippo, requires all of the following EXCEPT:","Decisions be made by a legitimate authority, not aggrieved individuals",The decision be based on right intention and just cause,The war be fought using the most advanced weapons available,The envisioned peace be preferable to the situation if war was not fought,C,"The Just War theory's four conditions concern legitimate authority, right intention and just cause, reasonable chance of success, and proportionality, not weapon technology.",1
"According to Kurt Lewin's Field Theory, human behavior is determined by:",Purely biological instincts,"Various fields of force within a person's ""life space""",Random chance,Government policy alone,B,"Lewin (1951) argued human behavior is shaped by various fields of force making up a person's ""life space"", their goals, barriers, and requirements, which is psychological and subjective.",1
"The Verbal Aggressiveness Theory (VAT), proposed by Infante and Wigley, argues that verbal aggression is most linked to:",A person's income level,A person's level of argumentativeness,A person's age,A person's level of education,B,Infante and Wigley (1987) argued verbal aggression depends on one's level of argumentativeness; people with low argumentative traits but high frustration are more likely to turn to aggression.,1
"In Attribution Theory, internal, innate abilities of an individual are referred to as:",Situational factors,Dispositional factors,Structural factors,Contextual factors,B,"Attribution Theory distinguishes dispositional (internal) factors from situational (external) factors like luck or task nature, when analyzing why people act as they do in conflict.",1
"According to the course material, which of the following is one of the four categorized causes of conflict?",Weather patterns,Resources,Population density alone,Distance between parties,B,"The four categorized causes of conflict discussed are resources, psychological needs, values, and management of information.",1
"The conflict in Liberia, according to the UN Secretary General's report cited in the course material, was primarily driven by:",Religious disputes,"Control and exploitation of diamonds, timber, and other raw materials",Border disagreements only,Colonial-era treaties,B,"The UN Secretary General's report identifies control and exploitation of resources like diamonds and timber as the major cause of Liberia's violent conflict, which also sustained the fighting.",1
"The ""Onion"" (or Avocado/Doughnut) conflict analytical tool identifies three layers. Which layer represents ""what we must have""?",Position (outer layer),Interest (middle layer),Needs (inner/core layer),Values (outer layer),C,"In the Onion tool, the outer layer is Position (""what we say we want""), the middle layer is Interest (""what we want""), and the innermost core is Needs (""what we must have"").",1
"Force Field Analysis, used as a conflict analytical tool, was developed by:",Sigmund Freud,Kurt Lewin,John Burton,Johan Galtung,B,"Force Field Analysis was developed by American social psychologist Kurt Lewin (1951), built on the premise that forces are driven by habits, customs, and attitudes.",1
"The ABC Triangle analytical tool identifies conflict as having three underlying elements: Attitude, Behaviour, and:",Context,Culture,Cost,Compromise,A,"The ABC Triangle analyzes conflict through Attitude, Behaviour, and Context (or Content), showing how these three factors affect one another.",1
"According to Pruitt, negotiation is best defined as:",A binding decision imposed by a neutral third party,A form of decision-making in which two or more parties talk to resolve their opposing interests,A court process where a judge rules on the dispute,A unilateral declaration of terms by the stronger party,B,Pruitt (1981) defines negotiation as a form of decision-making where parties talk with one another to resolve opposing interests through a jointly made decision.,1
