question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Waever (1995), cited in the course material, security threat relates to developments that threaten the sovereignty or independence of a state in a rapid or dramatic fashion, and deprive it of the capacity to:",Manage by itself,Increase agricultural output,Host international sporting events,Reduce its overall population,A,"Waever (1995: 54) describes security threat as developments that threaten a state's sovereignty or independence rapidly and dramatically, depriving it of the capacity to manage by itself, undercutting political order.",2
"According to the course material, natural threats to security can be divided into minor and major categories; examples of major natural threats include hurricane, earthquake, drought, and:",Flood,International currency devaluation,Stock market volatility,Diplomatic disagreements,A,"Natural threats can be divided into minor (cold wave, storm, mudslide, thunderstorms) and major categories, with major natural threats including hurricane, earthquake, drought, and flood.",2
"According to the course material, one unique characteristic of earthquakes is that they do not constitute danger to people or animals on their own, but rather their consequences, such as collapse of buildings, electric shock, and:",Fire,Immediate global economic collapse,Permanent ozone layer depletion,Universal internet outages,A,"One unique character of earthquakes is that they do not constitute danger on their own, but their consequences, such as collapse of buildings, electric poles, electric shock, and fire, usually cause harm to people.",2
"According to the course material, the 1906 San Francisco earthquake is cited as an example where the earthquake caused lesser threat compared to its accompanying:",Fire outbreak,Tsunami wave,Volcanic eruption,Landslide,A,"The 1906 San Francisco earthquake is cited as an example where the earthquake itself caused a lesser threat than its accompanying fire outbreak, since sparks from damaged power lines ignited gas or petrol.",2
"According to the course material, among the manmade security threats discussed, the ""Badger Game"" involves setting up an individual by tricking him into a compromising social situation, typically to later use for:",Blackmail,Immediate promotion at work,Public recognition and honour,Tax exemption benefits,A,"The Badger Game involves coercing an individual by tricking him into a compromising situation, which is later used to blackmail him, one of the manmade security threats discussed alongside robbery, theft, arson, and kidnapping.",2
"According to the course material, Onyeozili (2005), cited in the discussion of ethno-religious conflict, alleges that Nigeria police ""brazenly participated in flushing out south-easterners from hiding"" during a specific historical event known as:",The 1966 massacre of Easterners in the North,The 1999 transition to civilian rule,The 1963 Republican Constitution ratification,The 1976 Legal Aid Act implementation,A,"Onyeozili (2005: 41) alleges that Nigeria police ""brazenly participated in flushing out south-easterners from hiding during the military pogrom and the 1966 massacre of Easterners in the north"".",2
"According to the course material, in the event of the usage of nuclear weapons by any state or non-state actor, it is estimated that no less than how many people worldwide would be affected directly or indirectly?",2.5 billion,2.5 thousand,2.5 million,25,A,"The course material states that in the event of nuclear weapon usage, no less than 2.5 billion people worldwide would be affected directly or indirectly, with the ecosystem also suffering severe destructive effects.",2
"According to the French Ministry of Defence, cited in the course material, information warfare exhibits itself in three basic forms: war for information, war against information, and:",War through information,War beyond information,War without information,War despite information,A,"The French Ministry of Defence describes information warfare's three basic forms: war for information (guerre pour l'information), war against information (guerre contre l'information), and war through information (guerre par l'information).",2
"According to the course material, Albert Einstein wrote a letter to American President Roosevelt in 1939 informing him of the need to carry out a project on the development of the atomic bomb; this letter gave birth to which American initiative in September 1942?",The Manhattan Project,The Marshall Plan,The New Deal,The Truman Doctrine,A,"In 1939, Albert Einstein wrote a letter to President Roosevelt about the possibility of developing an atomic bomb, giving birth to the American Manhattan Project in September 1942.",2
"According to former UN Secretary-General Kofi Annan, cited in the course material's discussion of arms proliferation, small arms proliferation is not merely a security issue, but also an issue of human rights and of:",Development,International sporting competition,Religious doctrine,Agricultural production,A,"Kofi Annan, in the UN Millennium Report (2000: 52), stated that ""small arms proliferation is not merely a security issue; it is also an issue of human rights and of development"".",2
"According to the Worldwatch Institute (1997), cited in the course material, more than how many military-style hand-held weapons exist worldwide, enough to arm every 12th human on earth?",500 million,500 thousand,5 billion,500,A,"The Worldwatch Institute (1997) reported that more than 500 million military-style hand-held weapons exist, enough to arm every 12th human on earth, with millions more produced each year.",2
"According to the course material, the incidence of robbery is illustrated as not being limited to human beings, using the example of a group of lions chasing away and robbing a smaller group of hyenas of their recently caught prey, such as an antelope, demonstrating that robbery:",Also exists in the animal kingdom,Is a phenomenon found exclusively among human beings,Cannot be meaningfully compared across species,"Only occurs in captivity, never in the wild",A,The course material uses the example of lions chasing away hyenas to rob them of their catch (such as an antelope) to illustrate that the incidence of robbery is not limited to human beings but also exists in the animal kingdom.,2
"According to the course material, in car-snatching or carjacking cases, if an offender uses a toy gun rather than a real firearm to force a victim out of their car, the offender will still be liable to be charged with:",Armed robbery,"No offence at all, since the weapon was not real",A minor traffic violation only,"Simple, unarmed theft only, with a reduced sentence",A,"The course material notes that even if a car-snatcher uses a toy gun rather than a real firearm, the offender is still liable to be charged with armed robbery, since the intent was to cause fear or intimidation to criminally seize the vehicle.",2
"According to Professor Tunde Adeniran (1982), cited in the course material, war involves common agreement that is distinct from peace, characterized by military activity, high social and political tension, and:",The breakdown of normal relations,Complete and total economic prosperity for all parties,A guaranteed and immediate peaceful resolution,The total absence of any political tension whatsoever,A,"Professor Tunde Adeniran (1982:123) describes war as involving common agreement distinct from peace, characterized by military activity, high social and political tension, and the breakdown of normal relations, affecting all nations irrespective of ideology or development level.",2
"According to the course material, wars vary in intensity between high intensity warfare, fought between two superpowers or powerful countries for political goals, and low intensity warfare, which involves:","Counterinsurgency, guerrilla warfare, and specialized troops fighting revolutionaries",Exclusively diplomatic negotiations with no military component whatsoever,Only trade disputes between neighbouring countries,Purely economic sanctions with no armed conflict at all,A,"The course material distinguishes high intensity warfare (between two superpowers or powerful countries fighting for political goals) from low intensity warfare (involving counterinsurgency, guerrilla warfare, and specialized troops fighting revolutionaries).",2
"According to the course material, the Sierra Leone Civil War, which began in 1991, displaced more than 2 million people, well over one-third of the population, with about 107,000 refugees fleeing the conflict into which neighbouring country within less than five months?",Guinea,Nigeria,Ghana,Senegal,A,"The Sierra Leone Civil War, beginning in 1991, displaced more than 2 million people; in less than five months, the crisis had generated about 107,000 refugees who fled the conflict into Guinea (Adebajo, 2002:90).",2
