module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
2,1,Definitions of Intelligence,Who is credited as the first person to successfully attempt to measure intelligence?,Wilhelm Wundt,Alfred Binet,Lewis Terman,David Wechsler,B,Alfred Binet was asked by the French government to investigate school retardation and developed the first successful intelligence measurement.,basic
2,1,Definitions of Intelligence,The scale Binet developed was later revised and renamed the:,Wechsler Scale,Stanford-Binet Scale,Cattell Scale,Spearman Scale,B,Binet's original scale was later revised and named the Stanford-Binet scale.,basic
2,1,Definitions of Intelligence,IQ is calculated using which formula?,(Chronological Age divided by Mental Age) times 100,(Mental Age divided by Chronological Age) times 100,Mental Age minus Chronological Age,Chronological Age times Mental Age,B,"IQ equals mental age divided by chronological age, multiplied by 100.",basic
2,1,Definitions of Intelligence,"According to the standard IQ classification table, a score of 100 falls into which category?",Very Superior,Average,Borderline,Mentally Retarded,B,"A score of 100 falls in the 90-109 range, classified as Average.",standard
2,1,Definitions of Intelligence,Wechsler defined intelligence as the capacity to:,memorise facts quickly,"act purposefully, think rationally, and deal effectively with the environment",avoid all mistakes,score highly on a single test,B,"Wechsler's definition emphasises purposeful action, rational thought, and effective dealing with the environment.",standard
2,1,Definitions of Intelligence,"According to Piaget, intelligence can be understood as:","a fixed, unchangeable trait",the concept of growth,purely a social class label,identical to creativity,B,Piaget's definition of intelligence centres on the concept of growth.,standard
2,1,Definitions of Intelligence,Environmentalists argue that intelligence is primarily shaped by:,heredity alone,the type of environmental interaction during early childhood,chronological age alone,random chance,B,"Environmentalists claim intelligence is determined by the type of environmental interaction in early childhood, not heredity alone.",standard
2,1,Definitions of Intelligence,"According to the unit, which of these is true about creativity compared to intelligence?",Creative individuals are far more common than intelligent individuals,A creative person is a much rarer individual than an intelligent person,Creativity and intelligence are identical concepts,Creativity cannot be studied scientifically,B,The unit states a creative person is a much rarer individual than an intelligent person; many intelligent people exist for every truly creative one.,advanced
2,1,Definitions of Intelligence,"Freeman (1936) classified descriptions of intelligence into categories including power of adaptation to environment, capacity for learning, and:",ability for abstract thinking,physical strength,musical talent,social class origin,A,"Freeman's classification included power of adaptation, capacity for learning, and ability for abstract thinking.",advanced
2,1,Definitions of Intelligence,Mental age (MA) refers to:,a person's exact birth date,an individual's level of intellectual development,the number of years spent in school,a person's physical age only,B,"Mental age refers to an individual's level of intellectual development, as distinct from chronological age.",basic
2,1,Definitions of Intelligence,"If a child's mental age exceeds their chronological age, this indicates:",a bright child,a dull child,an average child,an error in testing,A,A bright child's mental age is above their chronological age.,standard
2,1,Definitions of Intelligence,Radical sociologists have argued that definitions of intelligence are:,entirely biological,socially and class-based in origin,determined solely by diet,irrelevant to education,B,Some sociologists argue that intelligence definitions reflect social class origins and differential environmental changes tied to class.,advanced
2,2,Individual Differences in Intelligence,"According to Gardner, which of the following is NOT listed as a form of intelligence?",Musical intelligence,Linguistic intelligence,Logical-mathematical intelligence,Culinary intelligence,D,"Gardner's listed forms include musical, linguistic, logical-mathematical, spatial, and interpersonal intelligence; culinary intelligence is not one of them.",standard
2,2,Individual Differences in Intelligence,"A 'converger', as described in the unit, is a person who is:",better at open-ended tests than intelligence tests,substantially better at intelligence tests than open-ended tests,equally good at both types of test,unable to take any test,B,A converger performs substantially better on intelligence tests compared to open-ended tests; a diverger is the reverse.,standard
2,2,Individual Differences in Intelligence,"Mental ability, according to the unit, generally follows which type of distribution?","A flat, uniform distribution","A normal, bell-shaped probability curve",A distribution with no average,An entirely random distribution,B,"Mental ability essentially follows a normal probability curve, or bell-shaped curve.",basic
2,2,Individual Differences in Intelligence,'Deviation IQ' was introduced to replace simple mental-age-based IQ because:,mental age keeps increasing indefinitely while chronological age does not,chronological age stops increasing while mental age does not,deviation IQ is easier to calculate by hand,mental age has no relationship to chronological age,B,"Because mental age plateaus in the late teens/twenties while chronological age keeps rising, deviation IQ scores replaced simple mental-age-based IQ.",advanced
