question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Tait (1995) defines students' support as:,Only the printed course materials,"The range of activities which complement the mass-produced materials in ODL, such as tutoring and counselling",Only examination administration,Only the university's marketing activities,B,"Tait (1995) defines student support as the range of activities complementing mass-produced materials, including tutoring, counselling, and study centre organization.",4
Simpson (2002) distinguishes between academic and non-academic support. Which of the following is an example of non-academic support?,Explaining course concepts,Advocacy -- making a case for funding or writing a reference,Developing learning skills such as numeracy,Formal assessment feedback,B,"Simpson (2002) lists advocacy (making a case for funding, writing a reference) as an example of non-academic support, distinct from academic support like explaining concepts.",4
"According to Tait (2000), the learners' support function that facilitates learning through mediation of standard course materials for individual settings is called the:",Cognitive function,Affective function,Systematic function,Administrative function,A,"Cognitive support facilitates learning through mediation of the standard and uniform elements of course materials for individual settings (Tait, 2000).",4
"Which learners' support function is concerned with providing an environment that supports students, builds community, and enhances self-esteem?",Cognitive function,Affective function,Systematic function,Physical function,B,"Affective services provide an environment that supports students, creates communities, and enhances self-esteem (Tait, 2000).",4
"According to Rumajogee (2002) and Nonyongo (2002), learners' support services are usually classified into three classes. Which of the following is one of them?",Teaching and learning services,Financial investment services,Marketing services,Legal services,A,"The three classes are: teaching and learning, social and personal, and access and information.",4
"Which type of support service includes activities like peer support/study groups, career guidance, and disabilities support?",Teaching and learning services,Social and Personal Support Services,Information Support Services,Administrative Support only,B,"Social and Personal Support Services includes peer support/study groups, career guidance, disabilities support, and multicultural education coordination.",4
"The monitoring of efficient operation of delivery media and offering of technical assistance to learners is defined (Abate, 1999) as:",Library Support,Counselling Support,Technical Support,Administrative Support,C,Technical Support is defined by Abate (1999) as monitoring the efficient operation of delivery media and offering technical assistance.,4
"Which support function involves admissions, registrations, course scheduling, student records, and financial transactions?",Academic support,Counselling support,Administrative support,Technical support,C,"Administrative support involves functions such as admissions, registrations, course scheduling, student records, and financial transactions (Lee, 2003).",4
"According to this unit, which fee is required before a student's Tutor-Marked Assignments (TMAs) become available to them?",Compulsory fees only,Course registration fees only,Examination fees,No fee is required,C,"Until a student pays the examination fees, tutor-marked assignments would not be made available to the student.",4
What is the minimum number of students registered for a course at a study centre required for facilitation to take place?,10 students,50 students,100 students,200 students,B,Facilitation of any particular course takes place if there is a minimum of 50 students registered for the course at the study centre.,4
"How many hours of facilitation is a 2-unit course allocated, per this unit?",4 hours,8 hours,12 hours,16 hours,B,"A 2-unit course is allocated 8 hours of facilitation, a 3-unit course 12 hours, and a 4-unit course 16 hours.",4
"Which office at NOUN is responsible for issuance of admission letters, introductory letters, certificates, and transcripts?",The Study Centre,The Registry,The Directorate of ICT,The Library,B,"The Registry handles administrative support services including issuance of admission letters, introductory letters, certificates, and transcripts.",4
