question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"""Excess demand"", or shortage, exists in a market when:",Quantity supplied exceeds quantity demanded at the current price,Quantity demanded exceeds quantity supplied at the current price,Price is fixed by the government,There are no buyers in the market,B,"Excess demand is a market condition where quantity demanded exceeds quantity supplied at the current market price, typically leading to a rise in price.",3
"""Excess supply"", or surplus, exists in a market when:",Quantity supplied exceeds quantity demanded at the current price,Quantity demanded exceeds quantity supplied at the current price,Firms refuse to sell their goods,Government sets a price floor,A,"Excess supply is a market condition where quantity supplied exceeds quantity demanded at the current price, which typically pushes the price down.",3
The market equilibrium point is defined as the point where:,Price is at its highest possible level,The government has fixed the price,"Quantity demanded equals quantity supplied, with no natural tendency for further adjustment",Supply always exceeds demand,C,Equilibrium is the point where demand and supply curves intersect; there is neither shortage nor surplus at this point.,3
A price ceiling is best described as:,A minimum price set by government below which a good cannot be sold,A maximum price set by government above which a good cannot be sold,The price at which supply equals demand naturally,A tax imposed on imported goods,B,"A price ceiling, or upper price limit, occurs when government sets a maximum price that can be legally charged for a product.",3
A price floor is best described as:,A maximum price set by government,A minimum price set by government below which a good cannot legally be sold,The equilibrium price determined by free market forces,A subsidy paid to producers,B,"A price floor, or lower price limit, occurs when government sets a minimum price that can be charged for a product or service.",3
A price ceiling has no real effect on the market when:,It is set exactly at the equilibrium price,It is set above the equilibrium price,It is set below the equilibrium price,It is announced but never enforced,B,"If the price ceiling is above the equilibrium price, the market is already operating below the ceiling, so the ceiling has no binding effect.",3
Price elasticity of demand is defined as:,The absolute change in price of a good,The proportional or percentage change in quantity demanded resulting from a percentage change in price,The total revenue earned by a firm,The number of substitutes available for a good,B,Price elasticity of demand measures how responsive quantity demanded is to a percentage change in price.,3
A good is said to have perfectly inelastic demand when:,Its elasticity value is exactly -1,Quantity demanded does not respond at all to a change in price,Its demand curve is horizontal,Small price changes cause quantity demanded to drop to zero,B,"Perfectly inelastic, or zero elasticity, demand means quantity demanded stays the same no matter how price changes; the demand curve is a vertical line.",3
A commodity has unitary elastic demand when:,Its elasticity value is exactly 0,The percentage change in quantity demanded equals the percentage change in price,Demand does not respond to price at all,A tiny price change causes demand to drop to zero,B,"Unitary elasticity occurs when the percentage change in quantity demanded equals, in absolute value, the percentage change in price; its value is always -1.",3
"Demand is described as ""elastic"" when:",The absolute value of percentage change in quantity demanded is smaller than percentage change in price,The absolute value of percentage change in quantity demanded is larger than percentage change in price,Quantity demanded never changes,The demand curve is vertical,B,Elastic demand occurs when quantity demanded is more responsive to price than the price change itself; elasticity value is typically greater than 1.,3
Perfectly elastic demand is represented graphically by:,A vertical line,An upward-sloping curve,A horizontal line,A downward-sloping curve of unit slope,C,"Perfectly elastic demand occurs when quantity demanded drops to zero with even a tiny price increase, shown as a horizontal demand curve.",3
Which of the following is described as a determinant of demand elasticity?,The number of employees a firm has,Availability of close substitutes for the commodity,The firm's advertising budget only,The number of competitors' factories,B,"Availability of substitutes is a key determinant; the closer and more available the substitutes, the more elastic the demand for a commodity.",3
"According to the course guide, goods that consumers are addicted to or buy out of strong habit, such as cigarettes, tend to have:",Highly elastic demand,Inelastic demand,Perfectly elastic demand,Zero relationship with price,B,"Addictive or habitual consumption tends to make demand inelastic, since consumers continue buying despite price increases.",3
Price elasticity of supply is defined as:,The percentage change in quantity supplied divided by the percentage change in price,The total profit earned from selling a good,The number of firms in an industry,The difference between demand and supply at equilibrium,A,Price elasticity of supply measures the proportionate change in quantity supplied that results from a proportionate change in price.,3
"Unlike price elasticity of demand, price elasticity of supply is typically:",Always negative,Always zero,"Positive, since price and quantity supplied move in the same direction",Impossible to calculate,C,"Because price and quantity supplied generally move in the same direction under the Law of Supply, elasticity of supply is normally positive.",3
Which of the following is listed as a determinant of supply elasticity?,Consumer's income level,Spare production capacity available to the firm,Household preference and taste,The price of a complementary good,B,Spare capacity is a determinant of supply elasticity; a firm with more extra capacity can respond to a price rise by increasing supply quickly.,3
