question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Daramola (2006:78), cited in the course material, the Nigerian press had its debut in Rev. Henry Townsend's newspaper, ""Iwe Irohin fun awon are Egba ati Yoruba"", which began publication in:",1859,1914,1921,1992,A,"Daramola (2006:78) notes that the Nigerian press had its debut in Rev. Henry Townsend's newspaper, Iwe Irohin fun awon are Egba ati Yoruba, which began publication in 1859, established chiefly to propagate the gospel.",2
"According to the course material, during the pre-independence era, indigenous newspapers such as the Nigerian Pioneer, established in 1914 by Kitoyi Ajasa, and the African Messenger, established in 1921 by:",Ernest Ikoli,Rev. Henry Townsend,Ralph Akinfeleye,General Ibrahim Babangida,A,"During the pre-independence era, indigenous newspapers included the Nigerian Pioneer (1914, established by Kitoyi Ajasa) and the African Messenger (1921, established by Ernest Ikoli), both waging campaigns against colonial injustices.",2
"According to Ralph Akinfeleye (2007), cited in the course material, while there were only 15 accredited journalism institutions in Nigeria in 1999, his 2007 research found this number had grown to:",58 institutions,5 institutions,580 institutions,"15 institutions, with no change at all",A,"Akinfeleye (2007) found that while there were only 15 accredited journalism institutions in Nigeria in 1999, by 2007 there were 58, alongside 350 radio and television stations serving a population of over 140 million.",2
"According to the course material, Nigeria liberalized its broadcast industry in 1992, allowing private individuals to own radio and television stations for the first time, under the administration of:",General Ibrahim Badamosi Babangida,General Sani Abacha,Rev. Henry Townsend,Kitoyi Ajasa,A,"The course material notes that in Nigeria, private broadcasting stations were licensed for the first time in 1992 under the administration of General Ibrahim Badamosi Babangida, marking a new era in broadcast media ownership.",2
"According to the course material, the five patterns of media ownership discussed are Government Ownership, Private Ownership, Joint Government and Private Ownership, Public Ownership, and:",User Ownership,Foreign Ownership Exclusively,Religious Ownership Exclusively,Military Ownership Exclusively,A,"The five patterns of media ownership discussed are Government Ownership, Private Ownership, Joint Government and Private Ownership, Public Ownership (e.g. the BBC), and User Ownership (e.g. fan-club-run stations, common in America).",2
"According to the course material, during the regime of General Sani Abacha, Nigeria was given a pariah status with an indefinite suspension by the Commonwealth of Nations following the execution of Ken Saro-Wiwa and:",Eight other Ogonis,The entire membership of the Nigerian Press Council,All state governors simultaneously,No one else; Saro-Wiwa was executed alone,A,"During General Sani Abacha's regime, Nigeria was given pariah status with indefinite suspension from the Commonwealth of Nations after the execution of Ken Saro-Wiwa and eight other Ogonis, illustrating a method of exercising political control that affected the country's media structure.",2
"According to the course material, the Nigerian Press Council was established as an autonomous body in 1992 by Decree No. 85, and was inaugurated on December 29, 1992 with how many members?",17 members,7 members,170 members,1 member,A,"The Nigerian Press Council was established as an autonomous body in 1992 by Decree No. 85 and inaugurated on December 29, 1992 with 17 members, comprising the chairman and representatives from NUJ, NPAN, NGE, BON, and the public.",2
"According to Duyile (2005:80), cited in the course material, press councils are described as journalists':","""Court of honour""","""Court of last resort"" exclusively","""Private social club""","""Government ministry""",A,"Duyile (2005:80) describes press councils as journalists' ""court of honour"", self-regulatory bodies which enforce moral sanctions in the practice of the journalism profession.",2
"According to the course material's discussion of the Nigerian Press Council, the Council works through four Committees: the Complaint Committee, the Research and Documentation Committee, the Registration and Disciplinary Committee, and:",The Rights and Privileges Committee,The Foreign Affairs Committee,The Military Liaison Committee,The Agricultural Development Committee,A,"The Nigerian Press Council works through four committees: the Complaint Committee, Research and Documentation Committee, Registration and Disciplinary Committee, and the Rights and Privileges Committee.",2
"According to Littlejohn (1972), cited in the course material, ""social structure"" or social stratification is the name under which sociologists study inequality in society, that is, the unequal distribution of goods and services, rights and obligations, power, and:",Prestige,International trade agreements,Weather patterns,Digital access exclusively,A,"Littlejohn (1972:9) defines social structure or social stratification as the name under which sociologists study inequality in society: the unequal distribution of goods and services, rights and obligations, power, and prestige.",2
"According to the course material's discussion of contemporary class structure in Nigeria, the classes, from top to bottom, are the bourgeoisie, petty-bourgeoisie, proletariat, peasantry, and:",The lumpens,The aristocracy exclusively,The clergy exclusively,The military exclusively,A,"The contemporary class structure of Nigeria, as discussed in the course material, has the bourgeoisie on top of the ladder, followed by the petty bourgeoisie, the proletariat, the peasantry, and the lumpens at the lower ebb.",2
"According to the course material, Section 39 of the 1999 Constitution of Nigeria, guaranteeing press freedom, traces its lineage to Section 24 of the 1960 Constitution, which became Section 25 of the Republican Constitution of:",1963,1976,1999,1914,A,"According to Momoh (2004:62), Section 24 of the 1960 Constitution became Section 25 of the Republican Constitution of 1963, and formed the basis of Section 38 of the 1989 Constitution and eventually Section 39 of the 1999 Constitution.",2
"According to the course material, Section 39(2) of the 1999 Constitution entitles every person to own, establish and operate any medium for the dissemination of information, with a key exception restricting who may own or operate:",A television or wireless broadcasting station,A printed newspaper of any kind,A privately owned magazine,"A personal, non-commercial blog",A,"Section 39(2) of the 1999 Constitution entitles every person to own, establish and operate a medium for disseminating information, except that only the Federal or State Government, or persons authorized by the President, may own or operate a television or wireless broadcasting station.",2
"According to the course material, Sunday (2006:115), cited in the discussion of press freedom limits, argues that press freedom in Nigeria is limited in the overall interest of society by the constitution, the legislature, the courts, and:",The government,Only foreign international organisations,Only religious institutions,No other body; these three are exhaustive,A,"Sunday (2006:115) argues that press freedom is limited in the overall interest of society by the constitution, the legislature, the courts, and the government.",2
"According to the course material, Section 88A of the Nigerian Criminal Code, dealing with offences against public order, specifically addresses:",Provoking breach of the peace by offensive publication,The regulation of international trade tariffs,The registration of new political parties,The licensing of medical practitioners,A,"Section 88A of the Criminal Code, within the chapter on unlawful assemblies, deals with provoking breach of the peace by offensive publication, one of several provisions limiting press freedom in the interest of public order.",2
