question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to this unit, literacy today is defined not only by reading and writing ability, but also by:",The ability to use and communicate with the aid of a computer,Only the ability to speak multiple languages,Only formal university education,The ability to memorise long texts,A,"Literacy today includes not only reading/writing ability, but also the ability to use and communicate with the aid of a computer.",6
"According to this unit, what role does the teacher play when self-tutor computer instruction packages are used in education?",The teacher's role becomes entirely obsolete,"The teacher acts as a guide, helping students think logically and gain meaningful experience","The teacher only grades exams, nothing else",The teacher becomes a purely administrative role,B,"The role of the teacher becomes that of a guide, so students can think more logically and gain meaningful experience through structured situations.",6
"According to this unit, a computer-based on-line public access catalogue system in a library manages a search for materials using which of the following indices?",Only the book's price,"Author's name, book title, subject, and classmark",Only the publication year,Only the publisher's name,B,"A computer-based on-line public access catalogue system manages a search using indices such as author's name, book title, subject, and classmark.",6
"According to this unit, payroll preparation is described as demanding which qualities from the process?","Speed, accuracy, carefulness, and honesty",Only low cost,"Only speed, nothing else",Complexity and slowness,A,"Payroll preparation is a work schedule which demands speed, accuracy, carefulness, and honesty.",6
"A computerized system of data processing procedures integrated in an organisation to provide accurate, timely data for management decision making is called:",A Point of Sale system,A Management Information System (MIS),A payroll system only,An inventory-only system,B,"A Management Information System (MIS) involves a computerized system of data processing procedures providing accurate, complete, concise, timely data for management decision making.",6
"Which readers are used to scan Universal Product Codes on items at checkout points in supermarkets to provide fast, efficient point-of-sale service?",Optical Character Readers only,Magnetic Character Readers,Barcode-only scanners with no magnetic component,None -- prices are entered manually,B,"Magnetic Character Readers are used to scan Universal Product Codes on items to provide fast, efficient point-of-sale service.",6
Which support systems within a Management Information System deal with day-to-day decisions involving routine processing and transaction procedures?,Strategic support systems,Tactical support systems,Controlling and operational planning support systems,External support systems,C,Controlling and operational planning support systems deal with day-to-day decisions involving routine processing and transaction procedures.,6
"According to this unit, computer-aided critical path study is used to monitor the optimum use of which resources in project execution?","Time, money, material, and human resources",Only time,Only money,Only human resources,A,"Computer aided critical path study monitors the optimum and efficient use of time, money, material and human resources in project execution.",6
"In health care, according to this unit, computers are used to monitor which patient parameters and raise an alarm when abnormal?",Only patient weight,"Temperature, blood pressure, heart beat, and other parameters",Only patient age,Only insurance status,B,"Computers monitor the temperature, blood pressure, heart beat, and a host of other parameters of patients, raising an alarm when an abnormal situation is about to occur.",6
"According to this unit, computer application in traffic control in cities is achieved through:","Manual traffic police only, with no computer involvement",Computer controlled traffic switching systems that control traffic flows,Random light changes with no monitoring,Satellite-only monitoring with no ground control,B,Traffic congestion in cities is monitored by computer controlled traffic switching systems which control traffic flows.,6
"According to this unit, computers are used in government primarily to assist with which functions?","Planning, decision making, policy formulating, and monitoring/control of operations",Only tax collection,Only military defense,Only issuing passports,A,"Computers can assist government business with planning, decision making, policy formulating, and monitoring and control of operations.",6
"This unit lists several types of computer games under Recreation, Amusement and Gaming. Which of the following is one of them?",Adventure games,Only card games,Only sports simulations,Only educational quizzes,A,"The unit lists different kinds of games including adventure games, business games, war games, traditional games, and simulation games.",6
"According to this unit, computers assist in education by helping produce which of the following, beyond just teaching?",Only sporting equipment,Administrative records such as student registration and result processing,Only agricultural produce,Only military equipment,B,"Beyond teaching and learning, computers assist education administratively, including student registration and results processing.",6
"According to this unit, inventory control using computers primarily helps a business to:",Track stock levels accurately and avoid over- or under-stocking,Eliminate the need for warehouses entirely,Replace all sales staff,Increase prices automatically,A,"Computerised inventory control helps a business track stock levels accurately, helping avoid the costs of over-stocking or under-stocking.",6
"According to this unit, computer application in the military includes which of the following uses?",Missile guidance and tracking systems,Only paperwork filing,Only uniform design,Only music for parades,A,"Military applications of computers include missile guidance and tracking systems, among other defense-related uses.",6
