module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
3,1,Impression Formation,Impression formation refers to the process by which we:,memorise a person's exact words,combine available information about a person into an overall judgment of what kind of person they are,calculate a person's IQ score,avoid forming any opinion of strangers,B,Impression formation is the process of combining information into an overall coherent judgment of another person's character.,basic
3,1,Impression Formation,Research on impression formation shows that people typically form fairly stable impressions of strangers:,only after months of interaction,within the first few seconds of an encounter,only after reading a written report about them,"never, since first impressions are meaningless",B,"Research shows people form fairly stable impressions within the first few seconds of meeting someone, well before substantial conversation.",standard
3,1,Impression Formation,The 'primacy effect' in impression formation refers to:,the tendency for later information to outweigh earlier information,the tendency for information received early in an encounter to have a disproportionately large influence on overall impression,the idea that all information is weighted equally,the tendency to forget first impressions quickly,B,The primacy effect describes how early information disproportionately shapes our overall impression compared to later information.,standard
3,1,Impression Formation,"In Asch's (1946) classic study, presenting positive adjectives first followed by negative ones led participants to form:",a more favourable overall impression than the reverse order,a less favourable impression than the reverse order,no impression at all,an impression based only on the last adjective heard,A,"Asch found that positive-then-negative adjective order produced a more favourable overall impression than negative-then-positive order, demonstrating the primacy effect.",advanced
3,1,Impression Formation,"A 'central trait', as described by Asch, is one that:",has almost no effect on overall impression,"has a wide-ranging influence on the overall impression, colouring interpretation of other qualities",only applies to physical appearance,is always negative,B,"A central trait has broad influence on overall impression, shaping how other qualities are interpreted; a peripheral trait has much less influence.",standard
3,1,Impression Formation,"In Asch's research, which trait pair proved to be a particularly powerful central trait?",Polite versus blunt,Warm versus cold,Tall versus short,Left-handed versus right-handed,B,"Asch found 'warm' versus 'cold' to be a powerful central trait, strongly shaping inferences about other unrelated qualities.",advanced
3,1,Impression Formation,The 'halo effect' refers to the tendency to:,"judge unrelated qualities based on one salient characteristic, such as physical attractiveness",always judge attractive people negatively,ignore first impressions entirely,form impressions only from written reports,A,"The halo effect describes how one salient trait, often attractiveness, casts a positive glow over judgments of unrelated qualities like intelligence or trustworthiness.",standard
3,1,Impression Formation,"The opposite of the halo effect, where one negative characteristic leads to unfairly negative judgments of unrelated qualities, is sometimes called the:",reverse halo or horn effect,primacy effect,central trait effect,actor-observer effect,A,This is sometimes called the 'horn effect' or reverse halo effect.,advanced
3,1,Impression Formation,"Why do primacy and halo effects matter particularly in policing, according to the unit?",They have no relevance to policing at all,"They can influence which witnesses are seen as credible or which suspects are treated as likely guilty, based on superficial factors","They only affect courtroom judges, never police officers",They apply only to female officers,B,These biases can shape decisions about witness credibility or suspect treatment based on superficial factors unrelated to actual evidence.,advanced
3,1,Impression Formation,Structured interview procedures and checklists are recommended in policing partly to:,eliminate the need for any human judgment,"reduce the influence of biased impression formation, such as halo effects, on operational decisions",increase reliance on first impressions,replace all officers with computers,B,"Structured, evidence-based procedures reduce the scope for bias, including halo effects, to influence important decisions.",standard
3,2,Factors in Person Perception,"According to the unit, person perception is shaped by three broad categories of factors: characteristics of the perceiver, characteristics of the situation, and:",characteristics of the person being perceived,the weather,the time of year,the perceiver's blood type,A,"The three broad categories are: perceiver characteristics, characteristics of the person perceived, and situational characteristics.",basic
3,2,Factors in Person Perception,A perceiver's own past experiences and current mood are examples of:,characteristics of the situation,characteristics of the perceiver,characteristics of the person being perceived,"random, unrelated noise",B,"Past experiences, values, and current mood are all characteristics of the perceiver that shape how they interpret a social encounter.",standard
3,2,Factors in Person Perception,"Which of the following is described as a commonly, though not always accurately, used cue to honesty or guilt?",Hair colour,Eye contact or its absence,Shoe size,Blood pressure,B,"Eye contact, or its absence, is commonly though not always accurately used as a cue to honesty or deception.",standard
3,2,Factors in Person Perception,"The same behaviour, such as running quickly along a street, may be perceived very differently depending on:","the situation in which it occurs, such as near a bank at night versus on a running track in daylight",the perceiver's shoe size,the exact time zone,"nothing, since context never matters",A,"Situational context strongly shapes how identical behaviour is interpreted, e.g. running near a bank at night versus on a running track.",basic
3,2,Factors in Person Perception,Stereotyping is best defined as:,carefully evaluating each individual on their own merits,attributing a fixed set of characteristics to all members of a group based on limited or superficial cues,a scientifically validated method of assessment,a technique used only in laboratory research,B,"Stereotyping is attributing fixed characteristics to all members of a group, based on limited cues like ethnicity or appearance, rather than individual evidence.",basic
3,2,Factors in Person Perception,Stereotyping persists partly because it functions as a kind of:,random error with no purpose,mental shortcut allowing rapid judgments without processing each individual case,completely accurate assessment tool,form of physical exercise,B,"Stereotyping acts as a mental shortcut, letting people feel confident in judgments quickly, without the effort of individualised evaluation.",standard
