question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"The violent clash between Christian and Muslim students at Kafanchan, Kaduna State, which escalated into wider inter-ethnic conflict, occurred in:",1977,1980,March 1987,2000,C,"The Kafanchan clash occurred on 6th March 1987, developing from a religious dispute into a broader inter-ethnic conflict between the Hausa community and other local ethnic groups.",3
"The Maitasine riots, cited as an example of an intra-religious (not inter-religious) conflict, broke out in Kano in:",1977,1980,1987,2000,B,"The Maitasine riots broke out in Kano in 1980 and are cited as an example of an intra-religion conflict, occurring between a particular sect of Muslims and others who did not belong to it.",3
"According to the course material's analysis, many conflicts in Nigeria that are labeled ""religious conflicts"" are, on closer examination, actually:",Purely theological disputes over scripture,Socio-economic and political conflicts presented in religious tones,Conflicts with no identifiable cause,Foreign-imported disputes with no local basis,B,"The course material concludes that many so-called religious conflicts in Nigeria are not caused by contradictions in religious texts, but are socio-economic and political conflicts expressed through religious identity.",3
"Peace education, as described in the course material, is grounded in Article 26 of which UN document?",The UN Charter,The Universal Declaration of Human Rights,The Geneva Convention,The Treaty of Versailles,B,"Article 26 of the Universal Declaration of Human Rights is cited as promoting understanding, tolerance, and friendship among nations, forming a basis for peace education.",3
"In the ""Peace Promoting Culture"" framework, moving away from ""cultures of militarism"" leads toward:",Cultures of isolation,Cultures of Peace,Cultures of competition,Cultures of silence,B,"The peace-promoting culture framework contrasts cultures of militarism with cultures of peace, alongside other shifts like authoritarian to democratic education.",3
"The African indigenous conflict-resolution system known as ""House of Palaver"" or ""moot"", involving an ad hoc committee of kinsmen and neighbours, is associated with which people?",The Oromo of East Africa,The Kpelle people of Liberia,The Arusha people of Tanzania,The Toubou society of Chad,B,"Among the Kpelle people of Liberia, the traditional conflict-resolution gathering is called ""House of Palaver"" or ""moot"".",3
"The Southern African concept ""Ubuntu"", meaning ""collective personhood"", is captured in the Nguni proverb:","""United we stand, divided we fall""","""I am because we are""","""Actions speak louder than words""","""Where there is a will, there is a way""",B,"Ubuntu, meaning collective personhood or ""member of the human family"", is captured in the Nguni proverb ""I am because we are"".",3
"Among the Oromo people of East Africa, the traditional institution set up to prevent violent conflict was known as the:",Gada system,Adzo system,Cofono system,Golib Festival,A,"The Oromo people of East Africa had the ""Gada"" system, institutions established to prevent violent conflicts and restore social harmony where they broke out.",3
Which of the following is listed as a key quality of small arms and light weapons that makes their proliferation particularly difficult to control?,High cost and limited availability,"Portability, concealability, and low cost",Complex maintenance requirements,Restriction to military use only,B,"Small arms are simple, portable, easy to conceal, require little maintenance, and are widely available at low cost, all factors that make their proliferation especially difficult to control.",3
The ECOWAS Moratorium on Small Arms and Light Weapons was adopted in:,1989,1998,2002,2005,B,"ECOWAS adopted a Moratorium on Small Arms and Light Weapons in 1998, aimed at combating the proliferation of these weapons in the region.",3
"According to the course material, estimates suggest the Liberian civil war produced approximately how many child soldiers?","2,000","5,000","20,000","100,000",C,"Records cited in the course material estimate the Liberian war produced around 20,000 child soldiers, while Sierra Leone's conflict produced around 10,000.",3
"According to Ball (2003), post-conflict environments are typically characterized by weak political institutions, damaged economic infrastructure, and:",Reduced defense budgets,An overabundance of small arms,Complete absence of security forces,Strong legal accountability,B,"Ball's (2003) framework identifies overabundance of small arms as a key security characteristic of post-conflict environments, alongside institutional and economic/social challenges.",3
"In the negotiated peace process framework, the ""Cessation of Conflict"" stage includes negotiations and:",Continuing deepening reform processes,Cessation of hostilities,Long-term economic revitalization,Permanent power-sharing agreements,B,"The ""Cessation of Conflict"" stage covers negotiations and cessation of hostilities, while ""Peace Building"" (the second stage) covers transition and consolidation.",3
"According to the course material, Peace Agreements often fail to address:",Timetables for transition governments,The root causes of the conflict,The names of the disputing parties,The date of signing,B,"The material notes that most Peace Agreements do not address the root causes of conflict, focusing instead on the compromise needed to get all stakeholders to sign.",3
"According to Chinkin (2004), the concepts of ""reconstruction"" and ""rehabilitation"" may be misleading for women in post-conflict settings because these terms assume:",Women want increased leadership roles,An element of going back to a position that previously existed,Complete gender equality has already been achieved,Women played no role during the conflict,B,"Chinkin (2004) argues that ""reconstruction"" and ""rehabilitation"" assume a return to a prior position, which is not necessarily what women who gained new roles during conflict actually seek.",3
"Which of the following is one of the ""questions"" identified as necessary for controlling harm done to children during conflict, according to the course material?","Whether ""human"" in human rights violations includes children",The exact market price of small arms,The nationality of arms manufacturers,The average age of combatants,A,"The material raises the question of whether the word ""human"" in human rights violations is understood to include children, as part of clarifying the scope of protection needed.",3
"The traditional Beti society conflict resolution process, known as ""Adzo"", involves how many main stages?",Two,Three,Five,Seven,B,"The Beti ""Adzo"" (meaning ""to say"" or ""to talk"") process involves three stages: persuading parties to bring their case forward, the hearing stage, and the elders retiring to deliberate before delivering a verdict.",3
"According to Thomas Aquinas, as cited in the course material's discussion of peace education and justice, justice is defined as:",The absence of conflict,The constant and perpetual will to render to everyone what is due him,A legal system enforced by the state,Equal distribution of wealth,B,"Thomas Aquinas defined justice as ""the constant and perpetual will to render to everyone what is due him"", a definition cited in the course's discussion of social justice education.",3
