question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Dahl (1976), cited in the course material, a political system is best defined as:","Any persistent pattern of human relationships that involves, to a significant extent, control, influence, power, or authority",A physical building where laws are made,"A synonym for the word ""state""",A temporary alliance between two rival nations,A,"Dahl (1976) defines a political system as any persistent pattern of human relationships that involves, to a significant extent, control, influence, power, or authority, distinct from the concept of a state.",1
"According to the course material, the word ""sovereignty"" is derived from the Latin word ""superamus"", which means:",Supremacy,Territory,Obedience,Justice,A,"Sovereignty is derived from the Latin word ""superamus"", meaning supremacy, referring to the absolute and perpetual power of the state over all persons and things within its territory.",1
"According to the course material, Nigeria's compliance with the International Court of Justice's decision to cede the Bakassi Peninsula to Cameroon is explained as:","The country abiding by the regulations of an international organisation as a member state, which does not limit its sovereignty",A complete loss of Nigeria's sovereignty as a nation,An illegal act that Nigeria was forced into against international law,Evidence that Nigeria is not a sovereign state at all,A,"The course material explains that Nigeria's compliance with the ICJ decision on Bakassi reflects abiding by international organisation regulations as a member state, which does not in any way limit the country's sovereignty.",1
"According to the course material, one of the key features of a state, alongside sovereignty and effective governmental authority, is that the government possesses:",A monopoly over the legitimate use of force,Complete immunity from all forms of criticism,The exclusive right to control global trade,No connection whatsoever to its population,A,"One key feature of a state is the government's monopoly over the legitimate use of force, meaning the people believe the structures, procedures, and decisions of government possess the quality of ""rightness"" or moral goodness.",1
"According to the course material, ""political sovereignty"" refers to the power of a state to control its own political institutions, while ""economic sovereignty"" or ""economic independence"" refers to:",The power to control the economy of a state,The power to declare war on other nations,The power to appoint judges without any process,The power to print unlimited currency,A,"Political sovereignty refers to a state's power to control its own political institutions, while economic sovereignty or independence refers to the power to control the economy of a state, with the two often interlinked.",1
"According to the ""Theory of Divine Origin"" discussed in the course material, this theory is also known as:",The theory of the divine right of kings,The theory of natural selection,The theory of social contract,The theory of class struggle,A,"The Theory of Divine Origin is also known as the theory of the divine right of kings, holding that the State was established by an ordinance of God and its rulers are divinely appointed and accountable only to God.",1
"According to the course material, David Hume's justification for the ""Theory of Force"" holds that the first ascendency of one man over multitudes began during:","A state of war, where courage and genius are most visibly displayed",A time of religious pilgrimage,The signing of a formal written contract,A period of complete peace and prosperity,A,"Hume argued that the first ascendency of one man over multitudes began during a state of war, where superiority of courage and genius is most visible and unanimity is most sensibly felt, leading to a habituation to submission.",1
"According to the course material, the ""Patriarchal Theory"" of the origin of the state is chiefly associated with:",Sir Henry Maine,Karl Marx,John Locke,Thomas Hobbes,A,"The greatest supporter of the Patriarchal Theory is Sir Henry Maine (1822-88), who derived his evidence from contemporary observers, ancient historical records, and ancient law such as Roman and Hindu law.",1
"According to the course material, the ""Matriarchal Theory"", as illustrated by Jenks' account of primitive Australian society, holds that the primitive group's real social unit was not the ""tribe"" but the:",Totem group,Nuclear family,Political party,Military regiment,A,"According to Jenks, the real social unit of the Australians was not the ""tribe"" but the totem group, a body of persons distinguished by the sign of a natural object, who could not intermarry with one another.",1
"According to the course material, the ""Historical/Evolutionary Theory"" of the origin of the state, associated with J.W. Burgess, identifies kinship, common worship, war and migration, and which fourth influence?",Political consciousness,Industrial revolution,International trade,Modern technology,A,"J.W. Burgess's evolutionary theory identifies four key influences on the origin of government: kingship, common worship, war and migration, and political consciousness, the last citing Aristotle's view that ""man is by nature a political animal"".",1
"According to the course material, Thomas Hobbes, in his work Leviathan (1651), described the condition of men in the state of nature, without a common power, as a state of ""Warre"" characterised by life being:","""Solitary, poor, nasty, brutish and short""","Peaceful, harmonious, and free of conflict",Governed entirely by written laws,Focused exclusively on economic trade,A,"Hobbes described the state of nature as a ""Warre"" of every man against every man, where life, in the absence of law and justice, could be summed up as ""solitary, poor, nasty, brutish and short"".",1
"According to the course material, John Locke's theory of social contract, developed in his Two Treatises of Government (1690), conceives government as being in the nature of:","A trust, which can be dissolved by the people if it acts contrary to that trust",An absolute and unquestionable authority with no limits,A private business enterprise owned by the monarch,A religious institution answerable only to God,A,"Locke conceives government as being in the nature of a trust; if the government acts contrary to the trust reposed in it by the people, the power of the community manifests itself in the right to replace that government.",1
"According to the course material, Jean-Jacques Rousseau's social contract theory, developed in Contrat Social (1762), is considered the springboard of the theory of:",Popular sovereignty,Divine right of kings,Class struggle,Absolute monarchy,A,"Rousseau's social contract theory is significant because it inspired the French Revolution of 1789 and served as the springboard of the theory of popular sovereignty, where sovereignty rests with the community as a whole.",1
