question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"The 1910 Land and Native Rights Proclamation, which vested control of native land in the colonial government, formed the historical foundation for later legislation, including the:",Land Use Act of 1978,Nigerian Independence Act of 1960,1999 Constitution,Criminal Code of Southern Nigeria,A,"The 1910 Land and Native Rights Proclamation formed the foundation for the 1916 Land and Native Ordinance, the Land Tenure Law of 1962, and ultimately the Land Use Act of 1978.",5
"The formal Nigeria Police Force was established in 1930, largely formed from remnants of the West African Frontier Force and the:","Hausa constabulary, known as ""Dogorai"", in the north",Royal Navy,French Foreign Legion,United Nations Peacekeeping Force,A,"The 1930 Nigeria Police Force was formed largely from remnants of the West African Frontier Force (WAFF) and the Hausa constabulary known as ""Dogorai"" in the north.",5
"According to the course material, females were not recruited into the Nigeria Police Force until:",1955,1930,1900,1999,A,"The Nigeria Police Force, formed in 1930, was exclusively male, and females were not recruited into the force until 1955.",5
"Nigeria's independence on 1st October 1960 has been described by some scholars as a ""flag and file"" independence, meaning that:","Independence was granted through documentation without economic self-sufficiency, leaving the country economically dependent",Nigeria fought a lengthy war of independence,Nigeria became completely economically self-sufficient overnight,The transition involved no legal or political process whatsoever,A,"The description ""flag and file"" independence suggests that Nigeria's independence was primarily political and documentary, leaving the country still economically dependent on former colonial powers, unlike countries that fought wars of independence.",5
"The Nigerian Enterprises Promotion Decree of 1972, later amended in 1977, was primarily aimed at:",Reducing foreign control of Nigeria's economy and increasing indigenous ownership of businesses,Increasing foreign investment with no restrictions,Abolishing all forms of private business ownership,Nationalizing all religious institutions,A,"The Nigerian Enterprises Promotion Decree of 1972 aimed to reduce the stranglehold of foreigners on Nigeria's economy, reserving certain businesses for Nigerians and mandating minimum equity participation of Nigerian citizens.",5
The Land Use Decree (Land Use Act) of 1978 had the significant effect of:,"Vesting ownership of all land in the country in the government, making everyone effectively a tenant",Returning all land ownership entirely to traditional/customary authorities,Abolishing the concept of land ownership altogether,Giving foreign investors exclusive rights to Nigerian land,A,"The 1978 Land Use Act vested ownership of all land in the government, meaning that, overnight, everyone in Nigeria effectively became a tenant of the state regarding land.",5
The Universal Declaration of Human Rights was adopted by the U.N. General Assembly on 10th December 1948:,Without a single dissenting vote,By a narrow majority with many objections,Only after decades of failed negotiations,With significant opposition from most member states,A,"The Universal Declaration of Human Rights was adopted by the U.N. General Assembly on 10th December 1948 without a single dissenting vote, though it later became increasingly binding in practice.",5
"Nigeria acceded to the International Covenant on Civil and Political Rights (ICCPR) and International Covenant on Economic, Social and Cultural Rights (ICESCR), both of which came into force in 1976, in the year:",1993,1948,1960,1999,A,"Although both covenants came into force internationally in 1976, Nigeria formally acceded to them in 1993.",5
Nigeria ratified the International Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) in:,1985,1948,1960,1999,A,"Nigeria ratified the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) in 1985, part of global influence on Nigeria's gender policies.",5
Section 42 of the 1999 Nigerian Constitution gives legal backing to:,"Non-discrimination, including on the basis of sex, as part of fundamental rights",The complete abolition of customary law,Unlimited presidential power,The exclusive rights of foreign corporations,A,"Section 42 of the 1999 Constitution gives legal backing to non-discrimination, including on the basis of sex, reflecting Nigeria's international commitments under conventions like CEDAW.",5
"According to Oloruntimehin (1984), cited in the course material, the emergent Nigerian legal system has been described as a:","""Miniature English legal system""","""Purely indigenous, unbroken tradition""","""Completely Islamic legal order""","""Modeled entirely on French civil law""",A,"Oloruntimehin (1984) described the emergent Nigerian legal system as a ""miniature English legal system"", reflecting the deep and lasting imprint of British colonial rule.",5
"According to the course material, Nigeria's civilian governments ruled for how many of the 42 years between 1960 and 2002?",14 years,28 years,42 years,5 years,A,"Of the 42 years between 1960 and 2002, civilians ruled for only 14 years (1960-1966, 1979-1983, and 1999 onward), with the military ruling for the remaining 28 years.",5
"According to the course material, military regimes have been ""bolder"" than civilian regimes in using law to effect change primarily because:",They are not hampered by the rigorous legal/constitutional requirements that constrain civilian governments,Military laws require unanimous public approval before enactment,Civilians have more legal authority than military leaders,The military must always seek United Nations approval for any decree,A,"Military regimes have been bolder in using law for change because, unlike civilian administrations, they are not hampered by the rigorous requirements of legality and constitutional process, allowing swift decree-based changes.",5
"The number of states in Nigeria grew from 12, created by Gowon, through several military-led exercises to the current number of 36, plus the Federal Capital Territory, under:",General Sani Abacha,King Dosunmu,Othman Danfodio,Queen Elizabeth II,A,"Nigeria's states grew from 12 under Gowon, to 19 under Murtala/Obasanjo, to 21 then 30 under Babangida, and finally to 36 plus the FCT under General Sani Abacha.",5
"According to the course material's discussion of the ""emergent legal structure"", a significant problem with Nigeria's legal system relates to language, since:","Legal language remains highly technical, even though a large percentage of the population is illiterate","All Nigerian laws are written exclusively in local languages, confusing foreign investors",There is no written law anywhere in the Nigerian system,All Nigerian citizens are legally trained,A,"A significant problem is that legal language remains highly technical, creating a barrier even for literate non-lawyers, in a country where a large percentage of the population is illiterate, yet ignorance of the law is no defence in court.",5
"The sudden demise of General Sani Abacha's military regime in 1998, and subsequent revelations, thrust which issue to the forefront of Nigerian national discussion?",Human rights,International trade policy,Agricultural subsidies,Environmental conservation,A,The end of General Sani Abacha's regime in 1998 and the revelations of human rights violations that followed brought human rights issues sharply to the forefront of Nigerian national discussion.,5
