module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
4,1,The Problem of Deception,Deception may be defined as:,"only outright verbal lying, nothing else","a deliberate attempt to create a false belief in another person, including lying, concealment, and exaggeration",an accidental misstatement of fact,a legal term with no psychological meaning,B,"Deception includes not just outright lying, but also concealment, exaggeration, evasion, and deliberately creating a false impression.",basic
4,1,The Problem of Deception,"According to DePaulo et al. (1996), most everyday deceptions reported by ordinary people are:",extremely serious and criminal in nature,"minor and socially motivated, such as pretending to like an unwanted gift",always detected immediately,never actually told,B,"DePaulo's research found most everyday deceptions are minor and socially motivated, unlike the more serious deceptions relevant to policing.",standard
4,1,The Problem of Deception,Which of the following is NOT listed as a common motive for deception?,Self-protection from punishment or blame,Material gain through fraud,"Protection of others, such as an accomplice",Involuntary muscle spasms,D,"Involuntary muscle spasms are not a motive for deception; self-protection, material gain, and protecting others all are.",basic
4,1,The Problem of Deception,"Research by Vrij (2008) found that popularly believed behavioural cues to lying, such as avoiding eye contact, are:",completely reliable indicators of deception,only weakly and inconsistently related to actual deception,only found in guilty suspects,proof of guilt in a court of law,B,Vrij's research review found no single reliable 'Pinocchio's nose' — popular cues like eye contact avoidance are only weakly and inconsistently related to actual lying.,standard
4,1,The Problem of Deception,The 'Othello error' refers to the danger of:,mistaking an innocent but anxious person's nervous behaviour as evidence of guilt,always believing every suspect is guilty,never suspecting anyone of lying,a specific lie-detection machine malfunctioning,A,"The Othello error describes wrongly interpreting an innocent, anxious person's fearful behaviour, often due to fear of not being believed, as a sign of guilt.",standard
4,1,The Problem of Deception,Why might a truthful person display the same nervous behaviours as a person who is genuinely lying?,Because truthful people never feel anxious,Because anxiety about being disbelieved can produce identical nervous behaviours to those of a liar,Because truthful people are always guilty of something else,Because nervous behaviour proves innocence,B,An innocent person's anxiety about not being believed can produce behaviours indistinguishable from a liar's nervousness — this is the basis of the Othello error.,advanced
4,1,The Problem of Deception,"Verbal content analysis, as a deception-detection technique, focuses on:",only nonverbal body language,the level of contextual detail and consistency in a person's account across retellings,a suspect's physical appearance,the suspect's criminal record,B,"Verbal content analysis examines the richness of detail and consistency of an account, since truthful accounts tend to contain more idiosyncratic detail.",advanced
4,1,The Problem of Deception,Asking a suspect to recount events in reverse chronological order is an example of a technique designed to:,relax the suspect completely,"increase cognitive load, which tends to disrupt fabricated accounts more than truthful ones",reduce the suspect's anxiety,test the suspect's memory of unrelated facts,B,"Reverse-order recall increases cognitive load, which disproportionately disrupts fabricated (rather than genuinely remembered) accounts.",advanced
4,1,The Problem of Deception,"According to the unit, the polygraph primarily measures:",deception directly,"physiological arousal, such as heart rate and perspiration, not deception itself",a suspect's honesty score,brain activity related to memory,B,"The polygraph measures physiological arousal, not deception directly — innocent but anxious people can show similar arousal to guilty, deceptive ones.",standard
4,1,The Problem of Deception,"Why is the polygraph generally not accepted as conclusive proof of guilt or innocence in most courts, including in Nigeria?",Because it is too expensive to use,Because physiological arousal is not reliably distinguishable between innocent anxiety and guilty deception,Because it has never been tested scientifically,Because all suspects always pass it,B,"Since innocent, anxious individuals can show arousal similar to deceptive individuals, and practised deceivers can sometimes control their responses, polygraph results are not considered scientifically conclusive.",advanced
