question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
A common misconception addressed in the course guide is that the system unit is the same as the:,Monitor,CPU,Keyboard,Printer,B,"The system unit has been confused by novices with the CPU, but the CPU (or processor) is just one component within the system unit, not the entire unit itself.",2
Read-Only Memory (ROM) chips are different from RAM chips in that ROM:,Loses its data the moment the PC is switched off,Has data written on it during manufacturing that remains even when the PC is switched off,Can only be used for sound processing,Requires a separate power source at all times,B,"ROM chips have data written on them during manufacturing that tells the CPU what to do at startup; this data remains even when the PC is switched off, unlike RAM.",2
"Cache memory, as described in the course guide, consists of:","Slow, cheap memory chips rarely used in modern PCs",Expensive and very fast memory chips that store data or instructions the CPU will look at next,A type of printer ink cartridge,An external storage device only,B,"Cache memory consists of expensive, very fast memory chips that store data or instructions the CPU is expected to need next, which can speed up the computer enormously.",2
The motherboard is described as being made of fiberglass because fiberglass:,Conducts electricity efficiently,"Cannot conduct electricity, so each component is insulated from the others",Is the cheapest material available,Is required for wireless connectivity,B,"Fiberglass cannot conduct electricity, so mounting components on it insulates each one from the others, with thin metal lines forming the electrical circuits.",2
"Unlike RAM, the hard disk drive is described in the course guide as the computer's:",Temporary scratch memory only,"Main permanent storage unit, unaffected when the PC is turned off",Least important component,Only source of processing power,B,"The hard disk is the computer's main permanent storage unit; unlike RAM, information on it is not lost when the PC is turned off.",2
"According to the course guide, the earliest PCs were equipped with an Intel CPU called the:",Pentium,80486,8088,80286,C,"The earliest PCs were equipped with the Intel 8088 CPU; later generations used the 80286 (""PC/AT""), then 80386, 80486, and eventually the Pentium series.",2
"An intelligent computer keyboard has four major divisions: Function keys, Alphanumeric keys, Numeric keys, and:",Control keys,Voice keys,Wireless keys,Graphic keys,A,"The intelligent computer keyboard has four major divisions: Function keys, Alphanumeric keys, Numeric keys, and Control keys.",2
"To restart or reboot a computer using a specific key combination, the course guide states you should press:","Shift, Tab and Enter","Alt, Ctrl and Del keys simultaneously",F1 and F2 together,Esc and Enter together,B,"The course guide notes that to restart or reboot a computer, one presses the Alt, Ctrl and Del keys simultaneously.",2
Dot-matrix printers create characters by:,Spraying liquid ink onto the page,"Hammering several small pins against an inked ribbon, in configurations like 9-pin or 24-pin",Using a laser beam to fuse toner to paper,Projecting an image using light only,B,"Dot-matrix printers use a print head to hammer small pins against an inked ribbon, creating characters out of dots; 24-pin printers give better quality but are slower than 9-pin.",2
"VGA and SVGA, common monitor display standards, mainly differ in terms of:",Screen colour only,"Resolution, the number of dots (pixels) the monitor can display in each direction",The physical size of the monitor only,The type of power cable used,B,"VGA (640x480) and SVGA (800x600) refer to the monitor's resolution, meaning how many pixels it can display in each direction; more pixels generally means better image quality.",2
"Flatbed scanners are best suited for a wide variety of scanning needs, but are a poor choice for:",Scanning pages from a book without damaging the original,"Scanning multi-page text documents quickly, since only one page can be scanned at a time",Scanning objects of different shapes and sizes,Any type of scanning task,B,"Flatbed scanners are versatile for varied shapes and sizes, including book pages, but scanning multi-page documents is slow and tedious since only one page can be scanned at a time.",2
The Uninterruptible Power Supply System (UPS) is capable of all of the following EXCEPT:,"Converting the public electricity raw line into a conditioned, fine line",Storing electrical energy when the public electricity line is live,Releasing stored electrical energy to the computer when the public electricity line is dead,Permanently increasing a computer's processing speed,D,"The UPS conditions incoming voltage, stores electrical energy while power is live, and releases that stored energy when power goes out; it has no effect on a computer's processing speed.",2
A line voltage transformer is a device meant to:,Store data permanently,"Step up or step down a voltage as needed, such as converting 240V to 110V",Replace the need for a keyboard,Increase a computer's storage capacity,B,"A voltage transformer steps up or steps down voltage as needed; for example, in Nigeria a 110V computer requires a transformer to step down the local 240V supply.",2
Air conditioners are needed in a computing environment mainly to condition the temperature and to:,"Prevent dust, since dust is metallic in nature and can bridge electronic circuits",Improve internet connectivity,Increase the volume of speaker output,Charge the computer's battery,A,"Air conditioners are needed to condition temperature and prevent dust, which is metallic in nature and, if allowed to settle on circuits, can bridge two circuits and cause serious damage.",2
