question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Nitko and Brookhart (2007) described assessment as:,A punishment for poor performance,"A process for obtaining information used for making decisions about students, curricula, and educational policy",A one-time final examination only,A synonym for evaluation with no distinction,B,"Nitko and Brookhart (2007) described assessment as a process for obtaining information used for making decisions about students, curricula, programme, schools, and educational policy.",3
Classroom assessment is generally divided into three types in this unit. Which of the following is one of them?,Assessment for learning (formative),Assessment for punishment,Assessment for ranking only,Assessment for entertainment,A,"The three types are: assessment for learning (formative), assessment of learning (summative), and assessment as learning.",3
"Assessment that is cumulative in nature, confirming what students already know at the end of a unit or session, is called:",Assessment for learning (formative),Assessment of learning (summative),Assessment as learning,Diagnostic assessment,B,"Assessment of learning (summative assessment) is cumulative, confirming what students know at the end of one or more units of study.",3
Which term refers to the process of making a value judgement about the worth of a student's product or performance?,Assessment,Evaluation,Certification,Placement,B,Evaluation is the process of making a value judgement about the worth of a student's product or performance.,3
"The purpose of assessment concerned with assigning learners to different levels of the same general instruction, with no one rejected, is called:",Selection,Placement,Classification,Credentialing,B,"Placement assigns people to different levels of the same general type of instruction, education, or work -- no one is rejected.",3
The purpose of assessment concerned with confirming that a learner has met minimum competency to receive a certificate is called:,Selection,Guidance and Counselling,Credentialing and Certification,Classification,C,Credentialing and Certification involves assessment used to ascertain whether a learner has met minimum competency to be given a certificate.,3
"In NOUN, how many computer-marked assignments (CMAs) does each student take per course, per the figures given in this unit?","Two, of 40 items each","Four, of 20 items each","One, of 80 items","Eight, of 10 items each",B,"Each student takes four computer-marked assignments of eighty (80) multiple-choice items total, broken into 20 items per assignment.",3
Assignments submitted to an instructor who scores and grades them based on set criteria are called:,Computer-marked assignments (CMA),Tutor-marked assignments (TMA),Self-assessments,In-text assessments,B,Tutor-marked assignment (TMA) is given to learners and submitted to the instructor/facilitator who scores and grades it based on set criteria.,3
"According to this unit, why is self-assessment described as having little meaning without transparent, understood learning goals?",Because students cannot effectively evaluate performance without knowing what the targets are,Because self-assessment is always inaccurate,Because only tutors can assess performance,Because self-assessment is banned in ODL,A,"Without knowing what the learning targets are, a student could not effectively evaluate their performance -- transparency of goals is essential.",3
"In NOUN, which levels take the Pen-on-Paper (PoP) examination, as described in this unit?",100 and 200 level undergraduates only,"300, 400, 500 level undergraduates and postgraduates (plus Faculty of Law)",Only postgraduate students,All levels equally,B,"PoP examinations are for undergraduates in 300, 400, 500 levels, Faculty of Law students, and all postgraduate students.",3
Which levels of undergraduate students (excluding Faculty of Law) take electronic examinations (e-exams) in NOUN?,300 and 400 level,100 and 200 level,500 level only,All levels,B,"Electronic examination (e-exam) is for undergraduates in 100 and 200 levels, except those from the Faculty of Law.",3
"According to Northedge (2010), which of the following is something to AVOID when writing an examination?",Answering the question directly,Not answering the question due to failing to recognise key terms,Managing time well,Using material from the course,B,"Not answering the question -- failing to recognise the key terms and issues -- is listed as a mistake to avoid, per Northedge (2010).",3
Examination is described in this unit as serving which functions in distance learning institutions?,Only entertainment,"Certification, selection, and accountability",Only punishment for weak students,Only fundraising,B,"Examination in distance learning institutions serves functions such as certification, selection, and accountability.",3
"How many chapters are typically included in the final report of a research project or thesis, per the format given in this unit?",Three,Five,Seven,Ten,B,"The final research project/thesis report has five chapters: Introduction, Review of Related Literature, Methodology, Data Analysis, and Summary/Conclusion/Recommendations.",3
SIWES stands for and is a programme designed to:,Give students industrial skills and experience to supplement theoretical learning,Replace university education entirely,Only apply to postgraduate students,Fund overseas study only,A,SIWES (Students Industrial Work Experience Scheme) is designed to give students industrial skills and experience that supplement theoretical learning.,3
"What is the minimum duration for a SIWES attachment for ITF funding, as stated in this unit?",6 weeks,12 weeks,24 weeks (6 months),52 weeks (1 year),C,The minimum duration for SIWES should normally be 24 weeks (6 months) at a stretch for ITF funding eligibility.,3
"According to this unit, how does a practicum differ from an internship?","A practicum is full-time, an internship is part-time",A practicum is typically part-time field observation with limited task performance; internships are usually full-time,They are entirely identical with no differences,Only internships offer academic credit,B,"Practicums are field experiences (typically part-time, 2-3 times weekly) allowing observation and limited task participation, while internships are usually full-time.",3
"According to Falayajo (2004), assessment is likely to result in improvement of learning only when certain conditions are met. Which of the following is one such condition?",The outcomes tested must be recognised and accepted as important objectives of the instructional programme,Assessment must never be planned in advance,Only summative assessment should ever be used,Assessment results should never be shared with students,A,"Falayajo (2004) states outcomes being tested must be recognised and accepted as important objectives of the instructional programme, among other conditions.",3
"Which purpose of assessment involves using results such as interviews, questionnaires, and aptitude tests to help students explore and prepare for a career?",Instructional Management,Guidance and Counselling,Classification,Credentialing and Certification,B,"Guidance and Counselling uses assessment (interviews, questionnaires, aptitude tests) to assist students in exploring, choosing, and preparing for careers.",3
