question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Malinowski, culture is:","Partly human, partly spiritual, and partly materialistic","Purely a biological, inherited trait",Identical across all human societies,Unrelated to environmental adaptation,A,"Malinowski described culture as partly human, partly spiritual and partly materialistic, referring to the ways of thinking, feeling and doing things that humans develop in dealing with their environments.",2
"According to Goodenough's (1957) widely quoted definition, a society's culture consists of:",Whatever it is one has to know or believe to operate in a manner acceptable to its members,Only the material artifacts a society produces,Exclusively religious beliefs and practices,Government policies and legal codes only,A,"Goodenough (1957) defined a society's culture as whatever one has to know or believe in order to operate in a manner acceptable to its members, in any role members accept for themselves.",2
"The course material distinguishes between ""ideal"" and ""real"" culture, illustrating this with the example of marriage in Nigeria, where:",The ideal pattern of monogamy under the Marriage Act often diverges from actual polygamous customary practice,There is never any difference between stated ideals and actual behavior,Only customary marriage exists in Nigeria,The Marriage Act permits unlimited wives,A,"The course material uses Oke's example: marriage under the Act is monogamous, the ideal, while marriage under customary law is potentially polygamous, and non-conformity to the Act illustrates a gap between real and ideal culture.",2
"A ""culture area"", as defined in the course material, refers to:",A geographical area occupied by groups whose lifestyles show significant similarity to each other and dissimilarity to others,A single village with no external relations,An area with no ethnic diversity whatsoever,A purely political administrative boundary,A,"A culture area denotes a geographical area occupied by ethnic groups whose lifestyles exhibit significant similarity with each other and dissimilarity with other cultures, demarcated by traits like environment, religion, and language.",2
"According to the course material, the term ""tribe"" fell out of favor among anthropologists in Africa mainly because:","It lacked precise definition and carried a negative, pejorative connotation from the colonial era","It was found to be scientifically more accurate than ""ethnic group""",African governments legally banned its use in the 1990s,"It was replaced entirely by the term ""nation""",A,"The term ""tribe"" fell out of favor because it lacked a precise definition and portrayed a negative, pejorative connotation toward colonized native populations, leading many anthropologists to substitute it with ""ethnic group"".",2
"""Ethnocentrism"", as defined in the course material, is the belief that:","One's own culture is the only true and good one, leading to judging other cultures by one's own standards",All cultures are equally valid and should never be compared,Only written cultures deserve academic study,Culture has no influence on individual behavior,A,"Ethnocentrism is the belief that one's own culture is the only true and good one, and the tendency to judge other cultures by one's own cultural standards, assuming other ways of doing things are abnormal or immoral.",2
"""Cultural relativism"", in contrast to ethnocentrism, involves:","An effort to understand the world as seen by members of other societies, evaluating their customs within their own cultural context",Insisting that only one's own culture's standards are valid,The complete rejection of the concept of culture,Judging all societies by identical religious criteria,A,"Cultural relativism holds that a society's customs and ideas should be viewed within the context of that society's own culture, replacing narrow value judgments with an appreciation of other cultures' values.",2
"According to the course material, an ethnic group can be identified through four key attributes: culture, language, common tradition, and:",Political organisation and territory,Religious conversion status,Level of formal education,Type of currency used,A,"The four ways used to identify an ethnic group are culture, language, common tradition/political organisation, and territory; these attributes are acquired by birth, not chosen.",2
"In kinship terminology, ""classificatory"" terms are those which:","Apply to lineal relatives and are extended to collateral relatives, such as calling a father's brother ""father""","Are used exclusively for step-relatives, like stepfather or half-brother",Have no connection to family relationships at all,Only apply to matrilineal descent systems,A,"Classificatory kinship terms apply to lineal relatives (father, mother, son) and are extended to collateral relatives as well, such as calling a father's brother ""father"" and his sons ""brothers"".",2
"Under ""unilineal"" descent rules, relationships are restricted parentally to either males only (patrilineal) or females only, which is called:",Matrilineal,Cognatic,Bilateral,Double descent,A,"Unilineal descent rules restrict reckoning of descent to either exclusively males (patrilineal) or exclusively females (matrilineal), unlike cognatic descent, which uses both parental lines evenly.",2
