question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"Which Italian legal theorist and humanist sought reform of the judiciary and penal system, focusing on the abolition of torture and capital punishment?",Cesare Lombroso,Cesare Beccaria,Enrico Ferri,Raffaele Garofalo,B,"Cesare Beccaria (1738-1794), an Italian legal theorist and humanist, sought reform of the judiciary and penal system, focusing on abolishing torture and capital punishment.",2
The classical school believed human beings are naturally pleasure-loving and use free-will (liberty) to choose acts that bring pleasure. This is known as:,Determinism,Hedonism,Atavism,Positivism,B,The classicists believed in hedonism -- that human beings naturally use free-will to choose acts that bring pleasure over pain.,2
Jeremy Bentham's Utilitarian Principle held that laws should be made for:,The exclusive benefit of the ruling class,The greatest happiness for the greatest number in the society,Only the punishment of the poor,Religious observance above all else,B,Bentham's Utilitarian Principle held that laws should have a 'spirit' of utilitarianism -- the greatest happiness for the greatest number in society.,2
"According to Bentham's theory of punishment, what was his stance on capital punishment and secret trials?",He strongly supported both,"He was against capital punishment and secret trials, viewing the English legal system as barbaric",He had no opinion on either,He supported secret trials only,B,"Bentham was against capital punishment and secret trials, believing the English legal system was barbaric and ineffective.",2
"According to Bentham's assumptions about punishment, should indeterminate sentences be abolished?","No, indeterminate sentences should always be used","Yes -- particular crimes merit particular punishments, and offenders should know what they would get",This was not addressed by Bentham,"Only for misdemeanors, not felonies",B,Bentham held that indeterminate sentences should be abolished; particular crimes merit particular punishments and offenders should know what to expect.,2
"According to the neo-classical school (Vanden Haag and R. Bayer), which group of people cannot be held fully responsible for crimes due to defective mental ability?",Wealthy business owners,"Children, the insane, imbeciles, and morons",Only foreigners,Only the elderly,B,"The neo-classical school argued that children, the insane, imbeciles, and morons cannot be said to exercise free-will rationally due to defective mental ability, so should not be punished the same as normal adult offenders.",2
Who is associated with the term 'positivism' and is regarded as the father of sociology?,Cesare Beccaria,Auguste Comte,Karl Marx,Emile Durkheim,B,"Auguste Comte (1798-1857), the father of sociology, is associated with the term 'positivism' -- the use of observation and experimentation to understand phenomena.",2
"Positivist criminology, unlike the classical school, focuses its explanation of crime on:",The criminal law itself,"The criminal (the individual), not the criminal law",Only economic policy,Only religious institutions,B,"The positivist school concentrated upon the criminal rather than the crime, seeing the offender as strongly influenced by an innate constitution.",2
"In Cesare Lombroso's 1876 book 'L'Uomo Delinquente' (The Delinquent Man), he concluded that criminals are:",Rational actors making free choices,"'Atavists' or genetic remnants, accounting for their inability to become law-abiding",Products purely of poor education,Not identifiable through any physical characteristics,B,"In L'Uomo Delinquente (1876), Lombroso concluded criminals are 'atavists' or genetic remnants of primitive humanity, accounting for a 'criminal type'.",2
Positivist criminology identified 'criminaloids' as which type of offender?,Born-criminals with no free will at all,"Law-abiding citizens who break the law under conditions beyond their control, implying environmental factors",Only wealthy business executives,Only children under seven,B,"Criminaloids are law-abiding citizens who break the law under conditions beyond their control, implying sociological and environmental determinants play a role.",2
William Sheldon (1949) posited a link between crime and which physical factor?,Eye colour,"Body structure/type -- delinquency occurred most frequently among boys with muscular, athletic builds",Height alone,Hair colour,B,"William Sheldon (1949) studied body type, concluding delinquency occurred most frequently among boys with muscular, athletic (mesomorphic) builds.",2
Enrico Ferri attributed crime causation to three combined factors. Which of the following is one of them?,"Biological (anthropological), physical, and social",Only religious factors,Only political party affiliation,Only weather patterns,A,"Enrico Ferri attributed crimes to three combined factors: the biological (anthropological), physical, and social -- rejecting the idea that any one factor alone could cause crime.",2
Critical criminology (also called radical or new criminology) was heavily influenced by the works of which two theorists?,Cesare Beccaria and Jeremy Bentham,Karl Marx and Friedrich Engels,Sigmund Freud and Carl Jung,Auguste Comte and Herbert Spencer,B,"Critical criminology was influenced by the works of Karl Marx and Friedrich Engels, deriving strength from conflict sociology.",2
