question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Visual Basic is described in the course guide as an event-driven language which has some features of:,Object Oriented Programming (OOP),Machine language programming only,Batch processing only,Manual data processing,A,"Visual Basic is an event-driven language with some features of Object Oriented Programming (OOP), where actions are tied to the occurrence of events like a mouse click.",5
"In Visual Basic, a ""project"" is best described as:",A single standalone file with no other components,A collection of files that make up your application,A type of printer,A physical hardware device,B,"A project is a collection of files that make up an application; a single application might consist of several files, which together form the project.",5
The Visual Basic Toolbox is best described as:,A physical storage cabinet,A collection of tools that act as a repository of controls you can place on a form,A type of compiler,A hardware diagnostic utility,B,"The Toolbox is a window containing a collection of tools that act as a repository of controls (such as labels, buttons, and text boxes) that can be placed on a form.",5
"Visual Basic has a total of four toolbars: Debug, Edit, Standard, and:",Form Editor,Network,Security,Audio,A,"The four Visual Basic toolbars are Debug (for tracing and correcting problems), Edit (aids code editing), Form Editor (adjusts objects on forms), and Standard (the default toolbar).",5
"When a control is selected on a Visual Basic form, the Properties window:",Disappears completely,Changes to list every property related to that selected control,"Only shows properties for the entire project, not individual controls",Can only be used to delete the control,B,"When you select a control, the Properties window changes to list every property related to that specific control, allowing you to modify its values.",5
"In the Visual Basic Project window, related components are listed in a tree-structured format that can include Forms, Modules, and:",Class modules,Printer drivers,Email attachments,Video files,A,"The Project window lists components in a tree-structured listing, including Projects, Forms, Modules, Class modules, User controls, User documents, and Property pages.",5
"To display the Menu Editor from the Form window in Visual Basic, you press:",Ctrl+E,Alt+F4,Shift+Tab,F12,A,"From the Form window, you can press Ctrl+E to display the Menu Editor, which helps design menus for Visual Basic applications.",5
"In a Visual Basic menu caption, an ampersand (&) placed before a letter indicates:",That the letter will be hidden from the user entirely,"The underscored accelerator key letter, allowing the option to be selected with Alt plus that letter",A syntax error in the program,That the menu item cannot be clicked,B,"The ampersand next to a letter indicates the accelerator key; for example, ""&New"" means the option appears as ""New"" and can be selected by pressing Alt+N.",5
"The Visual Basic Code window contains several sections, including the declarations section, general-purpose procedures, and:","Event procedures, which execute after actions like a mouse click or form load",Hardware diagnostics,Printer queue management,Network configuration settings,A,"The Code window's sections include the declarations section, general-purpose procedures (which perform any kind of function), and event procedures (executed after events like clicking or loading a form).",5
"When saving a Visual Basic project, the project description file is saved with the filename extension:",VBP,DOCX,EXE,TXT,A,"Selecting File, Save Project saves every file inside the project as well as a project description file with the filename extension VBP.",5
