question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
A computer is basically defined as a tool or machine used for:,Storing electricity for the office,Processing data to give required information,Printing documents only,Connecting to the internet only,B,"A computer is defined as a tool or machine used for processing data to give required information, following the input, processing, and output cycle.",1
"In computing terms, the difference between ""data"" and ""information"" is that information is:","Raw, unprocessed facts","Processed data, or a meaningful statement",Always numeric,Only found in printed reports,B,"Data refers to raw facts (name, age, height, etc.), while information is processed data or a meaningful statement, such as an examination result.",1
Which of the following is NOT one of the three major methods of data processing discussed in the course guide?,The Manual method,The Mechanical method,The Computer method,The Wireless method,D,"The three major methods of data processing are the Manual method, the Mechanical method, and the Computer method.",1
"A key weakness of the manual method of data processing, according to the course guide, is that it:",Is too fast for most businesses,"Is likely to be affected by human errors and cannot process large volumes of data on a regular, timely basis",Requires no human involvement at all,Cannot be used for any business purpose,B,"The manual method is described as cumbersome, tiresome, and prone to human errors, and does not allow for processing large volumes of data on a regular and timely basis.",1
"Computer memory capacity is measured in units built up in ""K"" (Kilo) modules, where K equals:",100 memory locations,1000 memory locations,1024 memory locations,"10,000 memory locations",C,The course guide states that memory is built up in K (Kilo) modules where K equals 1024 memory locations.,1
"The computing system, as described in the course guide, is made up of the computer system, the users, and:",The internet connection,The computing environment,The software license,The manufacturer's warranty,B,"The computing system comprises the computer system (hardware and software), the users, and the computing environment (building, furniture, auxiliary devices).",1
"The earliest known attempt to build an electronic computer was made by J. V. Atanasoff, a professor at Iowa State, beginning in:",1937,1943,1953,1972,A,"Atanasoff began his attempt to build an electronic computer in 1937, aiming to help his graduate students solve systems of partial differential equations.",1
"ENIAC, the first general-purpose programmable electronic computer, was built by J. Presper Eckert and John V. Mauchly, with funding from:","The Army Ordinance Department, to compute ballistics during World War II",A private technology company,The United Nations,A university research grant with no military purpose,A,"ENIAC was built by Eckert and Mauchly at the University of Pennsylvania, funded by the Army Ordinance Department, which needed a way to compute ballistics during World War II.",1
"The main contribution of the EDVAC project, which followed ENIAC, was the notion of:",A stored program,Wireless networking,Touchscreen input,Solar-powered computing,A,"EDVAC's main contribution was the notion of a stored program, allowing instructions and data to be held in the same memory, unlike ENIAC's external switches and dials.",1
"In 1952, the UNIVAC computer, developed by Eckert and Mauchly, became famous for:",Being the first computer connected to the internet,Correctly predicting Eisenhower's landslide victory over Stevenson shortly after polls closed,Being the first computer used in a classroom,Introducing the mouse as an input device,B,"In 1952, 45 minutes after polls closed with only 7% of the vote counted, UNIVAC predicted Eisenhower would defeat Stevenson with 438 electoral votes; he ended up with 442.",1
The Third Generation of computers (1963-1972) brought major gains through the use of:,Vacuum tubes,Integrated circuits (ICs),Punch cards exclusively,Mechanical relays only,B,"The third generation was defined by innovations including integrated circuits (ICs), semiconductor memories, microprogramming, and the introduction of operating systems and time-sharing.",1
"Seymour Cray's CDC 6600, developed in 1964, was notable for being the first architecture to use:","Functional parallelism, using 10 separate functional units operating simultaneously",A graphical user interface,Wireless data transfer,A built-in word processor,A,"The CDC 6600 was the first architecture to use functional parallelism, employing 10 separate functional units and 32 independent memory banks to reach 1 million floating point operations per second.",1
"The C programming language and the UNIX operating system, two landmark developments in computing history, were both created at:",Bell Labs,IBM,Microsoft,Stanford University,A,"In 1972, Dennis Ritchie developed the C language at Bell Labs, and Thompson and Ritchie then used C to write a version of UNIX.",1
"Based on signal type, computers are classified into three types: Digital, Analog, and:",Hybrid,Wireless,Mechanical,Portable,A,"The three types of computers based on signal type are Digital (representing variables as digits), Analog (measuring rather than counting), and Hybrid (combining both).",1
"A special-purpose computer, as described in the course guide, is one that is:",Designed to handle a wide range of problems,"Designed to solve a restricted class of problems, sometimes only one job",Always more expensive than a general-purpose computer,Never used in military applications,B,"A special-purpose computer is designed to solve a restricted class of problems, and may even be built to handle only one specific job; most military computers fall into this class.",1
"According to the course guide's classification by capacity, the three main categories of computers are microcomputers, medium/mini/small computers, and:",Large computers/mainframes,Wearable computers,Cloud computers,Handheld calculators,A,"Computers are ranked by capacity (memory size and cost) into three main categories: microcomputers, medium/mini/small computers, and large computers/mainframes.",1
