question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Isaiah Berlin (1961), cited in the course material, an individual's freedom can be limited not only by other people but also by:","Poverty, ignorance, and other restraints that are indirect results of social arrangements",The complete absence of any government whatsoever,Excessive rainfall in a given region,The presence of too many political parties,A,"Berlin (1961) argued that freedom can be limited or hindered by poverty, ignorance, and other restraints which are themselves indirect results of deliberately imposed and remediable social arrangements, not just by other people.",3
"According to the course material, ""negative freedom"" refers to freedom from coercion and interference by others, while ""positive freedom"" implies:","""Freedom to"" engage in specific activities, such as speech, worship, or movement",The complete absence of any freedom whatsoever,Freedom that only applies to government officials,A form of freedom exclusive to wealthy individuals,A,"Negative freedom is the absence of coercion or interference (freedom from), while positive freedom implies ""freedom to"" engage in specific activities like speech, worship, and movement.",3
"According to the 1999 Nigerian Constitution, cited in the course material, citizenship can be acquired through three basic processes: by birth, by registration, and:",By naturalization,By military conscription only,By purchasing a special government license,By winning a national lottery,A,"According to Chapter 3 of the 1999 Nigerian Constitution, citizenship can be acquired through three basic processes: by birth, by registration, and by naturalization.",3
"According to Marshall, Brubaker, and Davis, cited in the course material, the range of resources that citizenship is expected to confer equal access to include Civil, Social, Political, and:",Economic Resources,Religious Resources exclusively,Only resources related to sports and recreation,Resources available exclusively to non-citizens,A,"The four types of citizenship resources identified are Civil Resources (legal protection), Social Resources (welfare, education, health), Political Resources (voting, representation), and Economic Resources (land, water, right of abode).",3
"According to the course material, Section 39 of the 1999 Nigerian Constitution provides that a citizen shall not, by reason of community, place of origin, sex, religion, or political opinion, be subjected to:",Disabilities or restrictions not applied to citizens of other communities,Mandatory military service exclusively,An automatic right to run for the presidency,Exclusion from all forms of taxation,A,"Section 39 of the 1999 Constitution provides that a citizen shall not be subjected to disabilities or restrictions, or accorded privileges not accorded to citizens of other communities, based on origin, sex, religion, or political opinion.",3
"According to the course material, ""statism"" as a concept describes the tendency of Nigerian states to reserve public services exclusively for:","Their own indigenes, treating non-indigenes as ""strangers""",Foreign investors and expatriates exclusively,Only members of the ruling political party,Individuals with a specific religious affiliation only,A,"Statism describes the presumed tendency of states to reserve public services exclusively for their own indigenes, formally distinguishing indigenes from ""non-indigenes"" who are treated as strangers, even if they are Nigerian citizens.",3
"According to the course material, the ""federal character"" principle in Section 14(3&4) of the 1999 Constitution was intended to ensure that government composition reflects national diversity, but has ironically become:",Discriminatory in its segregation of citizens into indigenes and non-indigenes across states,A perfectly effective tool with no criticism from any quarter,Entirely irrelevant to modern Nigerian governance,"A principle applied only to private businesses, not government",A,"Though intended to promote national unity through inclusive participation, the federal character principle has ironically become discriminatory, segregating Nigerian citizens into indigenes and non-indigenes across the federation.",3
"According to Gayle Rubin's 1975 essay cited in the course material, the phrase ""sex/gender system"" was introduced to describe:",A set of arrangements that condemn women to a secondary position in human relations,A purely biological classification with no social implications,A legal framework found only in Nigerian law,A concept entirely unrelated to citizenship or rights,A,"Gayle Rubin's 1975 essay, ""The Traffic in Women"", introduced the phrase ""sex/gender system"" to describe a set of arrangements that condemn women to a secondary position in human relations.",3
"According to the course material, ""gender"", as distinguished from ""sex"", is best described as:",A social construct asserting that expectations and responsibilities of men and women are not always biologically determined,An exclusively biological and physiological concept,A term with no connection to socialisation processes,"Identical in meaning to ""sex"" with no distinction at all",A,"Gender is defined as a social construct asserting that the expectations and responsibilities of men and women are not always biologically determined, distinguishing it from sex, which is purely biological.",3
"According to the course material, John Locke, considered the first exponent of natural individual rights in his Two Treatises on Government (1689), held that these rights are connected to human nature in:","""The state of nature"", a hypothetical situation where state institutions do not exist",A specific written legal document issued by Parliament,A situation that can only exist under a monarchy,Conditions that require prior state approval to exist,A,"Locke held that natural rights are connected to human nature in ""the state of nature"", a hypothetical situation where state institutions do not exist, and that these rights are more fundamental than existing laws.",3
