"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"Which form of government does the source identify as the first and earliest?","Monarchy","Aristocracy","Theocracy","Democracy","A","The source states that the first and earliest form of government is monarchy, a form of government headed by an individual who is not subject to legal limitations.","3"
"The essence of monarchy, according to the source, is which of the following?","The personification of the majesty and sovereignty of the state in an individual","The equal distribution of political power among the nobility","The subordination of the ruler to a written constitution","The election of a ruler by popular vote","A","The source states that the essence of monarchy is the personification of the majesty and sovereignty of the state in an individual.","3"
"Broadly, the source identifies which two types of monarchy?","Absolute and constitutional","Ancient and modern","Secular and religious","Hereditary and elective","D","The source states that broadly there are two types of monarchy -- hereditary and elective -- adding that hereditary monarchy is the normal type but elective forms do exist.","3"
"Which type of monarchy is described in the source as the normal type?","Hereditary monarchy","Elective monarchy","Ceremonial monarchy","Constitutional monarchy","A","The source notes that hereditary monarchy is the normal type, though elective forms do exist also.","3"
"An absolute monarchy is best described as one in which which of the following is true?","The monarch is bound to respect the spirit of the constitution","There is no established constitutional authority to check the king's power, and the king rules as head of government and head of state","The monarch assents only to laws passed by an elected parliament","The monarch is chosen by an assembly of nobles","B","The source defines absolute monarchy as occurring when there is no established constitutional authority to check the king's power, with the king ruling as head of government and head of state.","3"
"Which country is given in the source as the example of an absolute monarchy, in contradistinction to the United Kingdom?","The Vatican City","Iran","The Kingdom of Saudi Arabia","Japan","C","The source contrasts the constitutional monarchy of the United Kingdom, which is subject to legal limitations, with the absolute monarchy of Saudi Arabia.","3"
"Under a constitutional monarchy, the monarch may promulgate which laws?","Any law he or she considers necessary for the state","Only laws recommended by the judiciary","Only laws relating to the royal household","Only those laws agreed upon by the resolution of the elected parliament","D","The source states that the power of a constitutional monarch is regulated by the constitution and that the monarch can promulgate only those laws agreed upon by the resolution of the elected parliament, as in Britain.","3"
"Which Nigerian traditional rulers are cited in the source as having been regarded as personifications of the state under hereditary monarchy?","The Obi of Onitsha and the Obong of Calabar","The Emir of Kano and the Ooni of Ife","The Tor Tiv and the Etsu Nupe","The Alaafin of Oyo and the Sultan of Sokoto","D","The source states that hereditary monarchy can be found in the old Oyo Empire, where the Alaafin of Oyo, and the Hausa Fulani Empire, where the Sultan of Sokoto, were regarded as the personifications of the state.","3"
"In an aristocracy, the quality that marks out the aristocrat from others is which of the following?","Inherited wealth","Virtue -- moral and intellectual superiority","Military rank","Religious devotion","B","The source states that aristocracy is government led by the best citizens, and the quality which marks out the aristocrat from others is virtue: moral and intellectual superiority.","3"
"According to the source, how does the aristocrat establish his claim to leadership?","Through periodic election by the citizens","By demonstrating superior wealth to the assembly","By securing the endorsement of a religious authority","His deeds, not his words, attest to his pre-eminence -- he need not explain or justify his claims","D","The source states that because the aristocrat possesses these qualities in abundance he simply assumes leadership, needing neither to explain nor justify his claims to superiority -- in short, his deeds, not his words, attest to his pre-eminence.","3"
"The term 'theocracy' was invented by which figure, and for what purpose?","Aristotle, to describe the constitutions of the Greek city-states","Jean Bodin, to describe the authority of the French crown","Robert C. Fried, to describe modern religious dictatorships","Josephus, to describe the ancient Hebrew constitution and the role of Mosaic Law","D","The source states that theocracy means literally 'the rule of God' and that the term was invented by Josephus (AD 38-c.100) to describe the ancient Hebrew constitution and the role of Mosaic Law.","3"
"Which of the following is given in the source as an example of a theocratic state?","The Vatican City in Rome, headed by the Pope","The United Kingdom under the Church of England","Italy under Mussolini","The old Oyo Empire","A","The source gives the Vatican City in Rome, headed by the Pope, as a theocratic state, together with Saudi Arabia and Iran as other contemporary examples.","3"
"Which period is said in the source to have marked the end of theocracy?","The Renaissance","The Industrial Revolution","The Reformation","The era of Enlightenment","D","The source states that theocratic rule was typical of early civilizations, however the era of Enlightenment marked the end of theocracy.","3"
"In theocracies, the religiously revealed laws or policies are described in the source as which of the following?","Subject to amendment by a two-thirds majority","Unchallengeable, even by a popular majority or by an inherited monarch","Advisory rather than binding on citizens","Reviewable by an independent judiciary","B","The source states that in theocracies the religiously revealed laws or policies are unchallengeable, even by a popular majority or by an inherited monarch -- though such regimes do not claim divine ordination for all their laws.","3"
"According to Robert C. Fried (1966), what single characteristic distinguishes totalitarianism from dictatorship?","Total control of social life, which the dictatorship does not possess","Complete control over government, which the dictatorship lacks","Complete autonomy from outside, which the dictatorship lacks","The presence of a hereditary ruler","A","The source records Fried's point that both share complete control over government and complete autonomy from outside, but the dictatorship does not possess control over social life -- which totalitarianism does.","3"
"Which of the following is listed in the source as an additional characteristic implied by totalitarianism?","A free press subject only to the law of libel","An official ideology which members of the society must adhere to, covering all aspects of life","Regular multi-party elections at fixed intervals","An independent judiciary with powers of review","B","The source states that totalitarianism implies an official ideology which members of the society must adhere to and which covers all aspects of life, a system of terroristic police control directed against the enemies of the state, and central control and direction of the entire economy.","3"
"In a totalitarian state, what is the relationship between the state and society?","Society is protected from the state by constitutional guarantees","The state and society compete for the loyalty of citizens","There is no distinction between the state and society","Society is entirely independent of the state","C","The source concludes that in a totalitarian state all groups -- youth, labour unions, cultural associations, the educational system -- are organized to serve the interest of the state and its rulers, and indeed there is no distinction between the state and society.","3"
"The term democracy comes from the Greek word for which of the following?","The rule of law","The rule of the people","The rule of the best","The rule of God","B","The source states that the term democracy comes from the Greek word for 'rule of the people'.","3"
"The Greek system of democratic government is described in the source as the model of which kind of democracy?","Liberal representative democracy","Constitutional democracy","'Pure' or consensus democracy","Social democracy","C","The source states that the Greek system of democratic government is the model of 'pure' or consensus democracy, based on the full participation of all people in every aspect of government -- though Greek pure democracy did not last long.","3"
"For Emile Durkheim, the basic hallmark of democracy is which of the following?","The existence of competing political parties","The separation of powers between the branches of government","The holding of elections at fixed intervals","The citizens' capacity to participate in the state's judgment","D","The source states that for Emile Durkheim the basic hallmark of democracy is the citizens' capacity to participate in the state's judgment, the state's legitimacy springing from its collective conscience.","3"
"Durkheim argued that a viable democracy requires which of the following?","A written constitution","A strong and independent judiciary","A vibrant public sphere","A two-party system","C","The source records Durkheim's view that if we want to have a viable democracy then we must have a vibrant public sphere, since citizens should be able to contribute to the natural reasoning and deliberations of the society.","3"
"Why is the participatory democracy implied by Abraham Lincoln's popular definition no longer practicable, according to the source?","Because of the size of sovereign states today, the world having advanced beyond the Greek city-states","Because citizens are no longer interested in politics","Because political parties have replaced individual participation","Because modern constitutions forbid direct participation","A","The source states that Lincoln's definition gives the impression that all citizens have opportunities of participating in government, but this is no longer possible in the modern world because of the size of sovereign states today -- hence the necessity for indirect or representative democracy.","3"
"The democratic process is defined in the source as the institutional arrangements for arriving at political decisions in which individuals acquire and retain the power to rule by which means?","The endorsement of traditional rulers","Appointment by an electoral college of elders","A competitive struggle for the people's vote","Demonstrated administrative competence","C","The source defines the democratic process as the institutional arrangements for arriving at political decisions in which an individual acquires and retains the power to rule by means of a competitive struggle for the people's vote.","3"
"According to the source, a democratic political system will be stable if which conditions are met?","The country is economically prosperous and militarily strong","The process of leadership recruitment is legitimate and the majority of citizens accept the electoral system as fair and just","There are no more than two political parties","The constitution is rigid and difficult to amend","B","The source states that a democratic political system will be stable if the process of leadership recruitment is legitimate and the majority of the citizens accept the electoral system as fair and just.","3"
"The source identifies which three key words as central to democratic governance?","Liberty, equality and fraternity","Order, security and prosperity","Sovereignty, legitimacy and authority","Participation, transparency and accountability","D","The source states that democracy goes beyond merely putting political structures in place and also involves meaningful participation of the people, so that the key words are participation, transparency and accountability.","3"
"Samuel P. Huntington (1991) argued that democracy has advanced in which pattern?","In a single continuous progression since the French Revolution","Only after the end of the Second World War","Through violent revolution in every case","In waves since the early nineteenth century, each wave giving way to partial reversals followed by new gains","D","The source cites Huntington's argument that democracy has advanced in waves since the early nineteenth century, with each wave giving way to partial reversals followed by new gains.","3"
"According to Huntington, when did the current, third wave of democracy commence?","In the early nineteenth century","Immediately after the First World War","At the end of the Cold War in 1991","In the mid-seventies","D","The source records Huntington's view that the current wave, which is the third one, commenced in the mid-seventies.","3"
"Which principle is described in the source as a cardinal element of democracy, associated with Dicey?","The separation of powers","Parliamentary sovereignty","Judicial review","The rule of law","D","The source states that the Rule of Law is a cardinal element of democracy (Dicey), alongside equality before the law, impartiality in the dispensation of justice, and periodic elections.","3"
"Political parties are described in the source as which of the following?","The fulcrum of democracy, indispensable to the successful operation of a democratic society","An optional feature of democratic governance","A hindrance to the direct expression of the general will","Institutions that should be limited to two per country","A","The source states that despite their limitations or weaknesses, political parties are indispensable to the successful operation of a democratic society, which is why they are regarded as the fulcrum of democracy.","3"
"Joseph Schumpeter criticised democracy on which ground?","That it is too slow to respond to national emergencies","That it always degenerates into a one-party state","That it is incompatible with a written constitution","That liberty and equality are not part of democracy, since the franchise is often qualified in ways that exclude significant sections of the population","D","The source records Schumpeter's argument that liberty and equality are not part of democracy, and that in all democratic systems there are limitations on the qualifications and circumstances of voters, the franchise often being qualified so as to exclude significant sections of the population.","3"
"The criticism of democracy that derives from elite theories is best associated with which theorists?","Hobbes and Locke","Mosca and Pareto","Almond and Verba","Dicey and Laski","B","The source states that another criticism of democracy derives from elite theories best associated with Mosca and Pareto, who held that in most societies there is a distinction between the ruler and the ruled.","3"
