question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
LAN stands for and refers to:,Local Area Network -- a network set up in one building,Long Area Network -- a network spanning countries,Linked Application Node -- a type of software,Live Access Network -- a wireless-only network,A,LAN stands for Local Area Network and refers to a network set up in one building.,5
MAN stands for Metropolitan Area Network and refers to:,A single computer network,Two LANs linked between two buildings in the same metropolis,A worldwide network,A network used only by government,B,MAN is a Metropolitan Area Network and refers to two LANs linked between two buildings in the same metropolis.,5
This unit describes three typical network topologies (layouts). Which of the following is one of them?,Star topology,Square topology,Triangle topology,Spiral topology,A,"The three typical network topologies are star, ring, and bus shapes.",5
"In a star network topology, how do outlying stations communicate?",Directly with each other with no central device,Through a central hub device,Only via the internet,Via satellite only,B,"In the star shape (the most common topology), outlying stations communicate through a central hub device.",5
"Which device converts electronic signals into sound pulses suitable for transmission over telephone lines, enabling WAN connections?",A router,A modem (Modulator-Demodulator),A hub,A file server,B,A Modem (Modulator-Demodulator) converts electronic signals into pulses of sound that can be sent along telephone lines.,5
URL stands for:,Universal Resource Locator,United Resource Link,Uniform Router Location,Unique Registered Link,A,"URL stands for Universal (Uniform) Resource Locator, simply another word for a web address.",5
"According to this unit, who controls access to the web, requiring users to sign on before getting internet access?",The government,An Internet Service Provider (ISP),The user's employer only,No one controls access,B,"An Internet Service Provider (ISP) controls access to the web; a person has to sign on with an ISP before getting onto the Internet, normally for a monthly fee.",5
"Which term describes multimedia files (text, graphics, sound, video) that are attached to an email?",Downloads,Attachments,Hyperlinks,Bookmarks,B,"Attachments are multimedia files 'attached' to an email; they can be text, graphics, sound, video, spreadsheet, database, or an entire application.",5
"Which term describes software that gives a graphical interactive interface for searching, finding, viewing, and managing information over a network?",A browser,A firewall,A server,A client,A,"A browser is application software that gives a graphical interactive interface for searching, finding, viewing, and managing information over a network.",5
"According to this unit, what is a Newsgroup best described as?","A private, one-on-one email chain",An electronic bulletin board where messages are left for others to see and respond to,A type of computer virus,A paid subscription video service,B,"A Newsgroup is basically an electronic bulletin board where messages are left for others to see and respond to, enabling two-way communication.",5
The area on the Internet that comprises thousands of newsgroups is known as:,The Web,The Usenet,The Cloud,The Intranet,B,The area on the Internet that comprises thousands of newsgroups is known as the Usenet.,5
Newsgroup messages are stored on Internet servers called:,Web servers,News Servers,File servers,Proxy servers,B,"Newsgroup messages are stored on Internet servers called News Servers, located throughout the world; each ISP supplies one for its subscribers.",5
"According to this unit, does the recipient of an email need to be actively connected to the network at the moment a message is sent?","Yes, always",No -- the message is stored in the email database until the recipient connects,Only if using Microsoft Outlook,Email cannot be sent unless both parties are online,B,"If a person is not attached to the network when a message is sent, the message is stored in the email database until they attach to the network.",5
"In the New Message window described in this unit, which box is used to give a message a subject heading?",The To... box,The Cc... box,The Subject: box,The Message detail box,C,"The Subject: box is for giving the message a subject heading, which is also used as the message title in the title bar.",5
"In the New Message window, which box is used if you want to send the same message to another person, in addition to the primary recipient?",The To... box,The Cc... box,The Subject box,The Attachments box,B,"The Cc... box is used if you want to send the same message to another person, in addition to the primary recipient in the To... box.",5
"In a ring network topology, how are computers connected to one another?",Through a central hub only,"In a closed loop, with each computer connected to two others","Randomly, with no fixed pattern",Only via satellite,B,"In a ring topology, computers are connected in a closed loop, with each computer connected to two neighbouring computers, forming a ring.",5
WAN stands for Wide Area Network and is best described as:,A network confined to a single room,"A network that spans a large geographic area, potentially across countries",A network with no computers at all,A synonym for LAN,B,"A Wide Area Network (WAN) spans a large geographic area, potentially connecting computers across cities or countries.",5
"According to this unit, what does 'http' at the beginning of a web address stand for?",Hyper Text Transfer Protocol,High Traffic Transport Path,Home Type Text Protocol,Host Terminal Transfer Program,A,"HTTP stands for Hyper Text Transfer Protocol, the protocol used for transferring web pages over the internet.",5
"According to this unit, can anyone read and respond to messages posted in a public newsgroup?","No, only the original poster can see it",Yes -- newsgroups enable two-way communication where anyone can read and respond,Only paid subscribers can respond,Newsgroups do not allow responses at all,B,Newsgroups enable two-way communication -- anyone accessing the newsgroup can read a posted message and respond to it.,5
