question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Friedrich Glasl, cited in the course material, conflict escalation unfolds through how many stages, from ""Calcification"" to ""Together into the abyss""?",Nine stages,Three stages,Twenty stages,Five stages,A,"Friedrich Glasl defines nine stages of conflict escalation, from Calcification (stage 1, positions still mobile) through to ""Together into the abyss"" (stage 9, total confrontation with no way back).",2
"According to the course material, the escalation of violence is often described as a ""security dilemma"", which occurs when:","Both sides attempt to pre-empt aggression by the other, with defensive actions perceived as offensive",Only one side is ever aware that a conflict exists,Neither side possesses any weapons or means of self-defence,The conflict has already been fully and permanently resolved,A,"The security dilemma occurs when both sides attempt to pre-empt aggression by the other; due to information failures, defensive actions taken by one side are perceived as offensive by the other, leading to an escalating spiral.",2
"According to Daniel Druckman, cited in the course material, four frameworks dominate research on negotiation, including game and decision theory, negotiation as a bargaining game, organization theory, and:","International relations, which views negotiation as diplomatic politics",Agricultural economics,Evolutionary biology,Astrophysics,A,"Druckman identifies four frameworks: game/decision theory (treating negotiation as puzzle-solving), the bargaining game view, organization theory (complex multi-party communication), and international relations (diplomatic politics).",2
"According to Jacob Bercovitch, cited in the course material, mediation is defined as a process of conflict management in which conflicting parties seek the assistance of an outsider to change their perceptions or behaviour, done without resorting to:",Physical force or invoking the authority of law,Any form of verbal communication whatsoever,The involvement of any neutral third party,Written agreements of any kind,A,"Bercovitch defines mediation as a process where conflicting parties seek assistance from an outsider to change perceptions or behaviour, achieved without resorting to physical force or invoking the authority of law.",2
"According to Herbert Kelman, cited in the course material, social psychology's first thesis about international conflict is that conflict is driven primarily by:","People's collective fears and needs, not solely by rational calculations of interest","Purely rational, unemotional cost-benefit calculations by state leaders",Random chance with no identifiable underlying cause,"Economic factors exclusively, with no psychological dimension",A,"Kelman's first thesis holds that conflict is driven by people's collective fears and needs (issues of identity and security), not solely by rational calculations of interest; threats to these needs generate existential fear that inhibits resolution.",2
"According to the course material, Ronald J. Fisher's ""Interactive Conflict Resolution"" (ICR) involves problem-solving discussions between:",Unofficial representatives of groups or states engaged in violent protracted conflict,"Only official heads of state, with no other participants permitted",Exclusively military commanders on opposing sides,Judges presiding over a formal court case,A,"Fisher defines ICR as involving problem-solving discussions between unofficial representatives of groups or states engaged in violent, protracted conflict, with the ultimate goals being deep understanding and improved relationships.",2
"According to the course material, the ten methods of conflict analysis include initial mapping, systematic questioning, circular questions/changes in perspective, mapping (visualizing conflicts), and:","Working with case studies, among others",Ignoring all documentary evidence entirely,Relying solely on unverified rumours,Ending all communication between conflicting parties,A,"Among the ten methods of conflict analysis listed are initial mapping, systematic questioning (from Wasmuth and the Media Peace Centre), circular questions/changes in perspective, mapping to visualize conflicts, and working with case studies.",2
"According to Kriesberg and Thorson, cited in the course material, the ""Conflict Progression Cycle"" illustrates that a conflict emerges, manifests, escalates, de-escalates, and terminates, with the outcome:",Potentially becoming the starting point for another circle of renewed conflict,Always permanently and completely ending any possibility of future conflict,Never having any bearing on subsequent events,Occurring in a perfectly identical sequence in every single conflict,A,"The Conflict Progression Cycle shows a conflict moving through emergence, manifestation, escalation, de-escalation, and termination, with the outcome potentially becoming the starting point for a renewed cycle of conflict.",2
"According to Charles Spielberger, PhD, cited in the course material, anger is defined as an emotional state that varies in intensity from mild irritation to:",Intense fury and rage,Complete indifference and calm,"Permanent, unchangeable numbness",Total and immediate forgiveness,A,"Spielberger defines anger as ""an emotional state that varies in intensity from mild irritation to intense fury and rage,"" accompanied by physiological changes like increased heart rate and blood pressure.",2
"According to the course material, the three main approaches people use to deal with angry feelings are expressing, calming, and:",Suppressing,Ignoring entirely with no internal effect,Amplifying without limit,Sharing publicly with strangers only,A,"The three main approaches to dealing with anger are expressing (assertively, the healthiest way), suppressing (holding it in and redirecting focus, which risks turning anger inward), and calming (self-soothing techniques).",2
