"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"According to the source, which are the main components most commonly studied in any political system?","Political institutions, elites, masses and political culture","Inputs, conversion process, outputs and feedback","The executive, the legislature, the judiciary and the bureaucracy","Parties, pressure groups, the electorate and the media","A","The source gives a checklist of the main elements and themes most commonly studied in any political system as political institutions, elites, masses and political culture, with political linkage treated as a further component.","4"
"Which of the following does the source list among the formal institutions of government that form the most visible foundations of the political system?","Trade unions and professional associations","Constitutions, parliaments, courts, bureaucracies and executive structures","Ethnic and kinship networks","Newspapers, radio and television stations","B","The source states that the most important and visible foundations of the political system are the formal institutions of government such as constitutions, parliaments, courts, bureaucracies and executive structures.","4"
"Political institutions serve as the focal points for deciding which question, in Lasswell's formulation?","What is justice and who defines it","Who gets what, when and how","How shall the state be governed","Who shall guard the guardians","B","The source states that political institutions serve as the focal points for deciding 'who gets what, when and how', and also serve as the arena of the political process.","4"
"What does the source identify as one of the most significant contributions of the Behavioural Revolution to political science?","The recognition that institutions alone determine political outcomes","Stressing the importance of the human element over and above institutions, systems and structures","The introduction of the doctrine of the separation of powers","The rejection of all comparative study across countries","B","The source states that one of the most significant contributions of the Behavioural Revolution was to stress the importance of the human element over and above institutions, systems and structure, since no political structure can endure in the absence of corresponding values.","4"
"The source uses Nigeria's First Republic (parliamentary) and Second Republic (presidential) to illustrate which point?","That explanations for the success and failure of political systems are located beyond a system or its structure","That the presidential system is inherently superior to the parliamentary","That constitutions should never be changed once adopted","That military rule is preferable to civilian rule","A","The source uses the character of Nigerian politics in the First Republic under the parliamentary system and the Second under the presidential model to show that explanations for the success and failure of political systems are located beyond a system or its structure.","4"
"In his work Political Elites, Geraint Parry defined elites as which of the following?","All persons who hold elective office in a democracy","Those who own the means of production in a society","The decision makers of the society whose power is not subject to control by any other body in the society","The most highly educated members of a community","C","The source records that Geraint Parry, in his Political Elites, stressed that elites are the decision makers of the society whose power is not subject to control by any other body in the society.","4"
"Why, according to the source, are the American and British political systems described as stable?","Because their masses are more politically active than elsewhere","Because of the high level of consensus among the elites as to the rules of the game","Because both operate written federal constitutions","Because they have abolished elite domination of government","B","The source states that in the view of a significant school of political scientists, the American and British political systems are stable because of the high level of consensus among the elites as to the rules of the game, while chaos in third world politics is attributed to the lack of such consensus among competing elites.","4"
"Robert Michels formulated which famous law in 1942?","The Iron Law of Wages","The Law of Universal Causation","The Law of Parsimony","The Iron Law of Oligarchy","D","The source states that Robert Michels in 1942 formulated the famous 'Iron Law of Oligarchy', summarised as: he who says organization says oligarchy.","4"
"Which of the following is listed in the source as an assumption underlying elite theory?","That the masses take all major political decisions","That in every society there is always a minority of the population which takes major decisions","That elites are eliminated in a mature democracy","That elites and masses have identical interests","B","The source lists the assumptions of elite theory as: that in every society there is always a minority which takes major decisions; that elites include those who occupy political power or seek to influence government decisions; and that there is circulation of elites.","4"
"How does the source describe the influence of the masses upon policy?","Direct, decisive and easily measured","Indirect and difficult to measure, unlike that of the formal institutions or the elites","Exercised solely through the courts","Greater than that of the elites because of their numbers","B","The source states that unlike the formal institutions or the elites, the influence of the masses upon policy is usually indirect and difficult to measure.","4"
"According to Allan Ball, political culture is composed of which of the following?","The formal rules and procedures of government","The attitudes, beliefs, emotions and values of society that relate to the political system and to political issues","The economic conditions that shape political choices","The actual voting behaviour of citizens at elections","B","The source cites Allan Ball's definition of political culture as composed of the attitudes, beliefs, emotions and values of society that relate to the political system and to political issues -- the study of a people's orientation to politics, as distinct from actual political behaviour.","4"
"The degree to which citizens feel they can influence and participate in the decision-making process is referred to as which of the following?","Political socialisation","Political linkage","Political recruitment","Political efficacy","D","The source identifies two critical components of political culture -- the attitude to the political institutions of the state, and the degree to which citizens feel they can influence and participate in decision making, the latter being called the degree or level of political efficacy.","4"
"In which type of political culture are citizens only dimly aware of the existence of a central government?","Participant political culture","Parochial political culture","Subject political culture","Civic culture","B","The source states that in a parochial political culture citizens are dimly aware of the existence of a central government; in a subject political culture citizens see themselves as subjects rather than participants; and in a participant political culture citizens are keenly involved in political activities.","4"
"Which type of political culture does the source say is most likely to ensure political stability in a democratic system?","The civic culture","The parochial political culture","The subject political culture","The deferential political culture","A","The source states that what is relevant to a democratic system is what has been called 'the civic culture', which is most likely to ensure political stability.","4"
"The process by which individuals learn or otherwise acquire their political culture is referred to as which of the following?","Political recruitment","Political socialization","Political mobilisation","Political articulation","B","The source states that the overall assessment of the manner in which the masses perceive and evaluate the political system is referred to as political culture, and the process by which individuals learn or otherwise acquire their political culture is referred to as the process of political socialization.","4"
"Which of the following are identified in the source as linkage mechanisms binding the masses and elites?","The armed forces and the police","Political parties and pressure groups such as labour unions and professional organizations","The courts and the civil service","Foreign embassies and international organisations","B","The source states that the linkage mechanisms that link the masses and elites include political parties and pressure groups such as labour unions and professional organizations, adding that in less developed societies the linkage process often relies on kinship and religious networks.","4"
"The stability of a political system is said in the source to depend on how well its components allow it to perform which four main functions?","Legislation, execution, adjudication and administration","Goal attainment, pattern maintenance, adaptation and integration","Recruitment, socialisation, articulation and aggregation","Taxation, defence, justice and welfare","B","The source states that the stability of every political system depends on how the different components fit together in a manner that the system performs the four main functions of goal attainment, pattern maintenance, adaptation and integration.","4"
"Edmund Burke defined a political party as which of the following?","A formal organization whose primary purpose is to place and maintain persons in public office","A body of men united for promoting by their joint endeavours the national interest upon some political principle in which they are agreed","An organization actively and effectively engaged in competition for elective office","A group of persons seeking benefits from government without contesting office","B","The source quotes Edmund Burke's definition of a political party as a body of men united for promoting by their joint endeavours the national interest upon some political principle in which they are agreed.","4"
"Joseph La Palombara defined a political party as a formal organization whose self-conscious, primary purpose is which of the following?","To educate the electorate on public affairs","To articulate the interests of its members before government","To place and maintain in public office persons who will control, alone or in coalition, the machinery of government","To provide a check on the excesses of the ruling government","C","The source quotes La Palombara's definition of a political party as a formal organization whose self-conscious, primary purpose is to place and maintain in public office persons who will control alone or in coalition the machinery of government.","4"
"According to Joseph Schumpeter, what is the first and foremost aim of each political party?","To represent faithfully the views of its registered members","To promote the national interest above partisan advantage","To ensure that elections are free and fair","To prevail over the others in order to get into power or to stay in it","D","The source quotes Joseph Schumpeter as holding that the first and foremost aim of each political party is to prevail over the others in order to get into power or to stay in it.","4"
"The source distinguishes political parties from interest groups on which basis?","Parties are permanent while interest groups are temporary","Parties are legally registered while interest groups are not","Parties operate nationally while interest groups operate locally","While interest groups are benefit seekers, political parties are office-seekers","D","The source states that political parties, like interest groups, are organizations seeking influence over government, but can be distinguished on the basis of their primary political orientation: while interest groups are benefit seekers, political parties are office-seekers.","4"
"Before liberalisation under the Obasanjo civilian administration, what registration requirement applied to Nigerian political parties from 1979?","They had to field candidates in every local government area","They had to secure at least 25 per cent of votes in two-thirds of the states","They were required to have membership and offices in at least two-thirds of the states in the federation","They needed the endorsement of at least ten registered trade unions","C","The source states that in Nigeria since 1979, until the liberalization of conditions under the Obasanjo civilian administration, political parties were required to have membership and offices in at least two-thirds of the states in the federation before they could qualify for registration.","4"
"Which level of party organisation has been the centrepiece of political activities in Nigeria since the Babangida transition programme?","The national level","The state level","The senatorial district level","The ward level","D","The source states that Nigeria, taking a cue from the United States, has since the Babangida transition programme promoted grassroots politics by making the ward level the centrepiece of political activities through to the national level of party organization.","4"
"A party system is defined in the source as which of the following?","The internal arrangement by which a single party is structured","The constitutional rules governing party registration","A network of relationships through which parties interact and influence the political process","The method by which party candidates are nominated","C","The source defines a party system as a network of relationships through which parties interact and influence the political process, adding that the most popular way of distinguishing types is by reference to the number of parties competing for power.","4"
"Which French political scientist classified parties into single, two-party and multiple party systems in his work Political Parties?","Jean Bodin","Montesquieu","Antoine Destutt de Tracy","Maurice Duverger","D","The source states that the French political scientist Maurice Duverger, in his popular work Political Parties, classified parties into three types: the single or one party system, the two party system and the multiple party systems.","4"
"Which parties are cited in the source as examples of one-party systems in post-independence Africa?","The Action Group in Nigeria and the UNIP in Zambia","The ANC in South Africa and the KANU in Kenya","The Convention Peoples Party in Ghana under Nkrumah and TANU in Tanzania under Nyerere","The NPC in Nigeria and the CPP in Ivory Coast","C","The source cites Ghana under Kwame Nkrumah, where the Convention Peoples Party (CPP) held sway, and Tanzania under Julius Nyerere, where the Tanzanian African National Union (TANU) was the only officially recognised party.","4"
"Which of the following is listed in the source as an advantage claimed for the one-party system?","It promotes unity, since the only recognised party must of necessity cut across ethnic or religious divides","It guarantees the protection of fundamental human rights","It ensures regular alternation of government","It provides a strong and legally recognised opposition","A","The source lists among the claimed advantages of one-party systems that they prevent economic waste, promote unity since the only recognised party must cut across ethnic or religious divides, ensure stability, allow prompt decision-making, and avoid political vendetta.","4"
"What does the source identify as the greatest drawback of the one-party system?","It makes elections too expensive to conduct","It weakens the authority of the central government","It encourages the proliferation of ethnic parties","It may develop into a dictatorship","D","The source states that good as the one-party system appears to be, one of its greatest drawbacks is that it may develop into a dictatorship, with individual rights usually trampled upon.","4"
"Which examples does the source give of human rights abuse under one-party systems?","The annulment of the June 12, 1993 election in Nigeria","The internment policies of wartime Britain","The McCarthy hearings in the United States","The Stalin era in the former Soviet Union, the 1989 Tiananmen Square massacre in China, and Nkrumah's Preventive Detention Act","D","The source cites the human rights abuse under the Joseph Stalin era in the former Soviet Union, the 1989 massacre at Tiananmen Square in China, and Kwame Nkrumah's Preventive Detention Act as vivid examples.","4"
"A two-party system is correctly described as which of the following?","A system in which only two parties are legally permitted to exist","A system in which only two parties have reasonable chances of winning elections and controlling government, though other parties may exist","A system in which two parties must govern together in permanent coalition","A system in which the two parties alternate in office by prior agreement","B","The source states that a two-party system operates where only two parties have reasonable chances of winning elections and forming or controlling the government, which does not suggest that only two parties exist -- among the multitude that participate, only two are strong enough to win.","4"
