"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"The conventional approach to understanding political attitudes arranges which terms along a continuum?","Capitalist, socialist, communist and fascist","Traditional, charismatic, legal-rational and populist","Parochial, subject, participant and civic","Radical, liberal, moderate, conservative and reactionary","D","The source states that the conventional approach is to arrange the terms radical, liberal, moderate, conservative and reactionary along a continuum in order to gain a perspective or understanding of each of them.","5"
"According to the source, which four things are relevant to the understanding of political change?","Cost, benefit, risk and reward","Direction, depth, speed and method","Ideology, party, leadership and finance","Participation, transparency, accountability and legitimacy","B","The source identifies four things relevant to the understanding of political change: the direction the proposed change will carry society, the depth of the proposed change, the speed at which people want change, and the method by which it occurs.","5"
"In assessing the 'depth' of a proposed political change, what question is being asked?","Whether the change is progressive or retrogressive","Whether the desired change amounts to a major or minor adjustment, and whether it would modify or replace an institution fundamental to society","Whether the change will occur peacefully or violently","Whether the change enjoys the support of the majority","B","The source explains that the second criterion is to determine the depth of a proposed change -- whether the desired change would amount to a major or minor adjustment in society, and whether it would modify or replace an institution that is fundamental to the society as it now exists.","5"
"What relationship does the source draw between dissatisfaction and the speed of desired change?","Dissatisfaction has no effect on the speed at which change is demanded","The more dissatisfied people are with the status quo, the more slowly they want change","Only the educated demand rapid change","The more dissatisfied the people are with the status quo, the more impatient they are likely to be, and therefore the more rapidly they want change","D","The source states that the third aspect is the speed at which people want change, and that the more dissatisfied the people are with the status quo, the more impatient they are likely to be and therefore the more rapidly they want to change.","5"
"Which examples does the source give of political change achieved illegally?","Russia in 1917 and China in 1949","Britain in 1215 and America in 1776","Ghana in 1957 and Nigeria in 1960","Iran in 1979 and Afghanistan in 1982","A","The source states that the last factor is the method by which change occurs -- peacefully or violently, legally or extra-legally -- and that political change can be achieved illegally as it was attained in Russia in 1917 or China in 1949.","5"
"Where on the political spectrum is the radical located, and what change does the radical favour?","On the right, favouring a return to former values","In the centre, favouring gradual adjustment","On the extreme right, favouring superficial alterations only","On the extreme left, favouring an immediate and fundamental -- that is, revolutionary -- change in society","D","The source states that a radical is on the extreme left of the spectrum of political attitude, can be impatient with less than extreme proposals, and that all radicals favour an immediate and fundamental change in the society -- in other words, all radicals favour revolutionary change.","5"
"How does the source describe the liberal's position on the continuum?","Furthest from the status quo point, and wholly opposed to existing society","Identical to the conservative position in every respect","Close to the status quo point, significantly less dissatisfied than the radicals, supporting the basic features of society while anxious to reform its weaknesses","Committed to returning society to a previous condition","C","The source states that liberals are close to the status quo point on the continuum, which makes them significantly less dissatisfied with the existing state of affairs than the radicals; they support the basic features of society but are quick to recognize weakness and are anxious to reform the system.","5"
"What does the source identify as one of the most fundamental differences between a radical and a liberal?","Their attitude towards foreign policy","Their attitude towards the law","Their views on the role of religion in society","Their preferred method of taxation","B","The source states that one of the most fundamental differences between a radical and a liberal is the attitude of each toward the law: radicals, being opposed to the political system that governs them, often see the law as one way in which those who dominate society maintain their control, while liberals generally respect the concept of law.","5"
"Moderates are characterised in the source by which position?","They reject all change of any kind","They are fundamentally satisfied with society, but insist that changes be made gradually and that no change be so extreme as to disrupt the society","They favour revolutionary change carried out peacefully","They seek to return society to a former value system","B","The source states that moderates are fundamentally satisfied with the society, although they agree there is room for improvement and recognize specific areas needing modification, but insist that changes should be made gradually and that no change should be so extreme as to disrupt the society.","5"
"Why do conservatives support the status quo, according to the source?","Because they are legally obliged to do so","Because they have never considered any alternative","Because they wish to return to a previous condition of society","Not so much because they like it, but because they believe it is the best that can be achieved now","D","The source states that conservatives support the status quo not so much because they like it, but because they believe that it is the best that can be achieved now, lacking confidence in society's ability to achieve improvements through bold policy initiatives.","5"
