question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material's discussion of mediation, the mediator's role in the outcome of a dispute is best described as facilitating a process where:","The parties determine their own solutions, rather than having a decision imposed on them","The mediator alone decides the final, legally binding outcome",No agreement or resolution is ever possible through mediation,The mediator represents only one of the two disputing parties,A,"In mediation, the parties determine their own solutions; they are empowered to arrive at outcomes themselves, rather than being subject to a decision imposed by a judge, jury, or ""the Law"", which many find more satisfying than other methods.",5
"According to the course material, mediation differs from arbitration in that mediation derives from a win-win model, while arbitration is more akin to a trial, where:",The arbitrator(s) have all decision-making power and find for one party against the other,Both parties always automatically win simultaneously,No third party is ever involved in the process,The outcome is never legally enforceable in any way,A,"Mediation derives from a win-win model in which the mediator facilitates communication toward a mutually agreed contract, while arbitration is akin to a trial where rules of evidence apply and the arbitrator decides for one party over the other.",5
"According to the course material, mediation is generally cheaper and faster than litigation partly because objections based on rules of evidence, such as ""hearsay"" or ""irrelevant"", and lengthy discovery or court proceedings:",Do not apply to mediated discussions,Are required in even greater detail during mediation than in litigation,Apply equally in both mediation and litigation with no difference,Must be repeated multiple times before any mediation can begin,A,"Mediation is cheaper and faster than litigation because objections based on rules of evidence do not apply, there is no lengthy discovery process, and there is no formal appeal process, keeping mediation direct and less costly.",5
"According to the course material, one of the ways mediation provides confidentiality is that parties can meet with the mediator separately in private sessions, during which the mediator:",Is obligated to keep shared information private unless expressly given permission to disclose it,Is required to immediately disclose everything discussed to the opposing party,Must record and publish all private conversations for public review,Is legally required to represent only one party's interests going forward,A,"Mediation provides two layers of confidentiality: the process itself is deemed confidential, and information shared in private sessions with the mediator must be kept private unless the party expressly grants permission to share it.",5
"According to the course material's discussion of Kenyan case studies, the traditional peace-building cultures examined for the Nilotic ethnic groups involved in decade-long ethnic clashes were the Pokot and:",Maasai,Zulu,Ashanti,Berber,A,"The case study of African Traditional Methods in Kenya examined the peace-building cultures of the Pokot and Maasai, two Nilotic-background ethnic groups involved in ethnic clashes for over a decade.",5
"According to the course material, grass is used as a peace symbol among the Maasai and Kalenjin; when a Maasai person picks up grass during a fight, the fighting is expected to stop because they believe:","They all come from one womb, one mother, and share one relationship",Grass has magical powers that physically disarm combatants,"It signals an immediate, unconditional surrender by that person",It is a legal requirement enforced by the national government,A,"When a Maasai person picks up grass during a fight, the fighting stops because of the belief that all people come from one womb, one mother, and one relationship - grass symbolising this shared humanity across ethnic lines.",5
"According to the course material, Boulding (1962), cited in the discussion of managing conflict, identifies three methods of ending conflicts: avoidance, procedural resolution, and:",Conquest,Permanent postponement with no further action,Complete destruction of all record of the conflict,Immediate and unconditional forgiveness with no discussion,A,"Boulding (1962) discusses three methods of ending conflicts: avoidance, conquest (elimination of other viewpoints, rarely applicable in community development), and procedural resolution (reconciliation, compromise, or award).",5
"According to the course material, Saul Alinsky, a major advocate of using conflict to achieve group goals, organised community and neighbourhood groups with the basic strategy of:","Establishing ""a creative tension within the establishment""",Avoiding any form of disagreement or confrontation entirely,Working exclusively through official government channels only,Dissolving all community organisations to prevent conflict,A,"Saul Alinsky's basic strategy was to organise community and neighbourhood groups to ""establish a creative tension within the establishment"", using conflict as a deliberate strategy for achieving social change.",5
"According to Charlotte Raynor and Helge Hoel, cited in the course material, the five most common forms of workplace bullying include threats to professional status, threats to personal standing, isolation, overwork, and:",Destabilisation,Promotion,Overpayment,Excessive praise,A,"Raynor and Hoel identify five common forms of workplace bullying: threats to professional status, threats to personal standing, isolation, overwork, and destabilisation (e.g. failure to credit work, removal of responsibility).",5
"According to the course material, citing the International Labour Organisation (ILO), workplace bullying is estimated to be how much more common than sexual harassment?",Four times more common,Exactly the same frequency,Half as common,Ten times less common,A,The course material states that the International Labour Organisation (ILO) estimates bullying at work to be four times more common than sexual harassment.,5
