question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Which of the following is NOT one of the five basic assumptions of perfect competition listed in the course guide?,Large numbers of buyers and sellers,Homogeneous products,Government sets the market price,Perfect knowledge of market conditions,C,"The five assumptions are large buyers and sellers, homogeneous products, free entry and exit, perfect factor mobility, and perfect knowledge of market conditions.",6
"Under perfect competition, an individual firm is described as a:",Price-maker,Price-taker,Monopolist,Regulator,B,"Because each firm is small relative to the market and sells a homogeneous product, it has no influence on price and must accept the market price.",6
A firm operating under perfect competition maximises profit at the output level where:,Marginal Cost (MC) equals Marginal Revenue (MR),Total Cost equals Total Revenue,Average Cost is at its lowest possible point regardless of output,Fixed Cost equals Variable Cost,A,"The profit-maximising condition under perfect competition is MC = MR, which equals price for a price-taking firm.",6
A perfectly competitive firm should consider shutting down in the short-run when:,Price falls below Average Variable Cost (AVC),Price rises above Average Total Cost,Marginal Cost equals Marginal Revenue,Total Revenue exceeds Total Fixed Cost,A,"If price falls below AVC, the firm cannot even cover its variable costs, making it advisable to shut down rather than continue at a loss.",6
A monopoly market structure exists when:,There are many small firms producing identical goods,There is a single seller in an industry with no close substitute for its product,There are exactly two firms competing,Government sets a price ceiling,B,A monopolist is a single seller producing in an industry with no firm producing a close substitute.,6
"Unlike a firm under perfect competition, a monopolist is described as a:",Price-taker,Price-maker,Non-profit organisation,Regulator of its own industry,B,"Because a monopolist dominates its industry with no close substitutes, it can influence and set the market price, making it a price-maker.",6
"A ""natural monopoly"" occurs when:",Long-run average cost is lower under a single monopolist than if there were multiple competing firms,A firm is granted a monopoly by law,A firm has no barriers to entry at all,Competitors are legally required to enter the market,A,A natural monopoly exists when the long-run average cost of production is lower under one firm than it would be if two or more competitors shared the market.,6
"""Limit pricing"" refers to a monopolist:",Raising prices as high as possible to maximise short-run profit,Setting a price below the short-run profit-maximising level in order to discourage new firms from entering the industry,Refusing to sell any output,Setting the same price as all competitors,B,Limit pricing occurs when a monopolist deliberately prices below the short-run profit-maximising level to protect long-run profit by discouraging new entrants.,6
"Monopolistic competition, as a market structure theory, was developed by:",Adam Smith,Edward Chamberlin,Lionel Robbins,Augustin Cournot,B,American economist Edward Chamberlin developed the theory of monopolistic competition in the 1930s.,6
A defining feature of monopolistic competition is:,"A completely homogeneous, undifferentiated product","Product differentiation, with firms selling close but not identical substitutes",Only one firm in the entire industry,No freedom of entry or exit,B,"Monopolistic competition is characterised by product differentiation, with many firms selling slightly different versions of a product.",6
"In the long run, under monopolistic competition, free entry and exit of firms tends to:",Guarantee permanent supernatural profits for all firms,"Eliminate supernatural (economic) profits, similar to perfect competition",Create a single dominant monopolist,Have no effect on industry profit levels,B,"Just as in perfect competition, free entry and exit under monopolistic competition eventually eliminate supernatural profits or losses.",6
An oligopoly market structure is characterised by:,A very large number of small firms,"A few firms dominating the industry, with strong interdependence between them",A single seller with no substitutes,Free entry with no barriers whatsoever,B,"Oligopoly is a market structure where a few firms dominate the industry, and each firm's decisions are strongly influenced by rivals' actions.",6
"When firms in an oligopoly explicitly agree to fix prices and quantities jointly, this is known as:",Perfect competition,Collusion,Price-taking behaviour,Free entry,B,Collusion occurs when oligopolist firms explicitly fix price and quantity jointly; an explicit agreement of this kind is called a cartel.,6
A group of firms that formally comes together to jointly set price and output decisions is called a:,Duopoly,Cartel,Cooperative,Monopsony,B,A cartel is a group of firms that explicitly agrees to make joint price and output decisions in order to maximise their collective profit.,6
"The Cournot model of oligopoly, also known as duopoly, assumes that:","There are many firms, not just two","There are just two firms, each taking the other's output as given, both maximising profit",One large firm sets prices for all smaller firms to follow,Firms never consider what competitors are doing,B,"The Cournot duopoly model assumes exactly two firms in the industry, each taking the other's output as given, with both firms maximising profit.",6
"Under monopoly, the fact that price is set above marginal cost while the firm deliberately restricts output is referred to as:",Allocative efficiency,Consumer surplus maximisation,Allocative inefficiency,Perfect competition,C,"When a monopolist charges a price above marginal cost while cutting output to protect its higher price, this results in allocative inefficiency.",6
