question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, the four categories of rights in Richard P. Claude's historical-legal development model include personal liberties, civil rights, political rights, and:",Social and economic rights,Only rights related to property ownership,Rights exclusive to government officials,Rights that apply only during wartime,A,"Claude's model identifies four historical stages of rights development: personal liberties (secularised legitimacy), civil rights (French Declaration era), political rights (universal suffrage), and social/economic rights.",4
"According to the course material, the ""first generation"" of human rights, ascribed to the French Enlightenment and late-1700s declarations, includes personal, civil, and:",Political rights,Solidarity rights exclusively,Rights to development only,Environmental rights exclusively,A,"The first generation of human rights includes personal, civil, and political rights, ascribed to the French philosophy of enlightenment and the French and American human rights declarations from the late 1700s.",4
"According to the course material, the ""third generation"" of human rights, described in the 1986 UN Declaration, is often considered the Third World's contribution to international human rights norms and includes the right to a clean environment, the right to peace, and:",The right to development,The right to unlimited private property,The right to bear arms,The right to a specific political ideology,A,"The third generation of human rights, per the 1986 UN Declaration, includes the right to a clean environment, the right to peace, and the right to development, often called ""solidarity rights"".",4
"According to J. Linz (1992), cited in the course material, the historical-comparative method of classifying political regimes identifies four categories: sultanistic, totalitarian, authoritarian, and:",Democratic political systems,Anarchic political systems,Monarchical political systems exclusively,Theocratic political systems exclusively,A,"Linz's historical-comparative method classifies political systems into four categories: sultanistic (personal rulership), totalitarian (political terror, e.g. Hitler's Germany), authoritarian (limited pluralism), and democratic systems.",4
"According to the course material, a ""Sultanistic"" political system, as classified by Linz, is characterised by:","A personal rulership structure premised on loyalty to family, friends, or tribe, with no predictable rule of law",Strict adherence to constitutional rule of law above all else,"Regular, free, and fair competitive elections",A completely decentralised system with no ruler at all,A,"A Sultanistic political system is characterised by personal rulership premised on loyalty of followers, family, friends, or tribes, with the privatisation of state apparatus and no predictable rule of law.",4
"According to Yves Simon, cited in the course material, ""public authority"" can be conceived as:",The everlastingly good principle of social unity in the pursuit of the common good,An entirely illegitimate concept with no basis in political theory,A power that exists only in non-democratic political systems,A concept with no relationship to individual rights whatsoever,A,"Yves Simon conceives public authority as ""the everlastingly good principle of social unity in the pursuit of the common good"", though this must be balanced against individual rights against the state.",4
"According to the course material, citing UNDP (2004), ""governance"" is defined as the system of values, policies, and institutions by which society manages economic, political, and social affairs through interactions within and among the state, civil society, and:",The private sector,Foreign governments exclusively,The military exclusively,Religious institutions exclusively,A,"UNDP (2004) defines governance as the system of values, policies, and institutions by which society manages its affairs through interactions within and among the state, civil society, and the private sector.",4
"According to the course material, a National Bureau of Statistics study cited estimated that approximately how many Nigerians live in poverty, attributed partly to endemic corruption?",About 70 million Nigerians,About 1 million Nigerians,"About 500,000 Nigerians",Virtually no Nigerians live in poverty,A,"A National Bureau of Statistics study cited in the course material estimated that about 70 million Nigerians are poor, roughly two-thirds of the population, attributed in part to endemic corruption.",4
"According to the course material, the core institutions of governance analysed for shortfalls in responsibility include the legislature, the executive, the judiciary, the bureaucracy, and:",The armed forces,Only the private business sector,Foreign embassies exclusively,Traditional religious leaders exclusively,A,"The core institutions of governance identified are the legislature, the executive, the judiciary, the bureaucracy (civil service), and the armed forces, each assessed for shortfalls in citizen-state relations.",4
"According to the course material, citing the United Nations' definition, a state can be described as a ""failed state"" when:",A constituted government no longer performs the core functions required of it to its people,It has more than one political party contesting elections,Its currency experiences any fluctuation in value,It has diplomatic relations with fewer than ten other countries,A,"The UN argument cited holds that a state is failed when a constituted government no longer performs the core functions required of it to its people, a description the course material applies to assess Nigeria's institutions.",4
"According to the Report of Nigeria's Constitutional Drafting Committee (CDC, 1975-76), cited in the course material, the state shall foster a feeling of belonging so that loyalty to the nation shall:",Override sectional loyalties,Be entirely abolished in favour of ethnic loyalty,Apply only to elected government officials,Have no bearing on national integration whatsoever,A,"The CDC report posited that the state shall foster a feeling of belonging among various sections of the country so that loyalty to the nation shall override sectional loyalties, while still permitting community-level loyalty.",4
"According to Claude Ake, cited in the course material, one of the seven indicators used to gauge a country's degree of political integration is the ""Secessionist Demand Score"", which measures:",The numerical strength of groups withdrawing commitment from the existing political system,The total number of political parties registered in a country,The average national literacy rate,The number of foreign embassies located in the capital city,A,"Ake's Secessionist Demand Score measures the numerical strength of a secessionist group's absence or withdrawal of commitment to the existing political system, indicating the degree of political integration.",4
"According to the course material, Ake's ""Extra-Constitutional Behaviour Yardstick"", one of seven indicators of political integration, examines the frequency of actions such as:",Arbitrary arrest of political opponents and the use of terrorism to overthrow elected governments,"Regular, scheduled elections held according to the constitution",Peaceful transitions of power between political parties,Routine parliamentary debate and legislative voting,A,The Extra-Constitutional Behaviour Yardstick examines the frequency of extra-constitutional actions like arbitrary arrest of political opponents and the use of terrorism to overthrow duly elected governments.,4
"According to the course material, rights are broadly categorised into six types: personal, civil/liberal, political, social/economic, cultural/national, and:",Solidarity rights,Only rights available to non-citizens,Rights exclusive to corporations,Rights limited strictly to property owners,A,"The six categories of rights identified are personal rights (protection against torture/imprisonment), civil/liberal rights (speech, press), political rights (voting), social/economic rights, cultural/national rights, and solidarity rights (development, peace, environment).",4
