question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Which of the following is NOT listed as one of the four factors of production?,Land,Labour,Government,Capital,C,"The four factors of production listed are land, labour, capital, and entrepreneur; government is not classified as a factor of production.",5
The reward paid for the use of land as a factor of production is called:,Wages,Rent,Interest,Profit,B,"Land, regarded as a natural resource, earns rent as its reward in the production process.",5
The reward paid to labour as a factor of production is called:,Rent,Interest,Wages,Profit,C,"Labour, the physical and mental human effort input into production, is rewarded with wages.",5
The reward earned by the entrepreneur for taking on the risk of production is called:,Rent,Wages,Interest,Profit,D,"The entrepreneur, who organises, coordinates, and takes on risk in production, is rewarded with profit or loss.",5
"A ""fixed factor"" of production is one that:",Changes constantly with the level of output,Cannot be varied during the production process,Is always labour,Is only used in the long run,B,"Fixed factors, such as buildings, machinery, and land, cannot be varied during production, unlike variable factors like labour and raw materials.",5
"The ""short-run"" in production theory is defined as a period when:",All factors of production can be varied,One or more of the firm's inputs is fixed while variable factors determine output,The firm has zero output,Only labour costs matter,B,"The short-run is a period where at least one input is fixed, and changes in the variable factors determine the firm's output.",5
"The ""long-run"" in production theory is defined as a period when:",All factors of production are fixed,"All factors of production can be varied, with no fixed factor",Only capital can be varied,Output cannot change,B,"In the long-run, all factors of production are variable; increasing output requires increasing all factors, since there is no fixed factor.",5
A production function describes:,The minimum quantity of physical input required to efficiently produce a certain level of output,The total revenue earned by a firm,The tax a firm pays on its profits,The number of competitors in an industry,A,The production function relates inputs to the minimum quantity needed to efficiently produce a given level of output.,5
Total revenue (TR) is calculated as:,Total fixed cost plus total variable cost,Quantity sold multiplied by price (Q x P),Total cost minus profit,Average cost divided by output,B,"Total revenue is the overall sum generated from total product sold, calculated as quantity multiplied by price.",5
Average Fixed Cost (AFC) is calculated as:,Total Fixed Cost divided by Total Output,Total Variable Cost divided by Total Output,Total Cost divided by Total Revenue,Total Output divided by Total Fixed Cost,A,AFC is obtained by dividing Total Fixed Cost (TFC) by Total Output (TO): AFC = TFC / TO.,5
Marginal product (MP) is best described as:,The average output produced by all units of input combined,The additional output resulting from employing one more unit of variable input,The total revenue earned from selling one extra unit,The fixed cost of running a factory,B,"Marginal product is the addition to total output resulting from using one more unit of a variable input, holding other inputs fixed.",5
"The Law of Diminishing Returns states that, as more units of a variable input are added while other inputs remain fixed:",Total output falls immediately from the first unit added,Marginal product will eventually decline as more of the variable input is used,Average product always rises indefinitely,Fixed costs increase proportionately,B,"The law of diminishing returns states that beyond a certain point, adding more of a variable input while other inputs are fixed leads to a declining marginal product.",5
An isoquant is best described as a line showing:,All combinations of two factors of production that produce the same given level of output,All combinations of goods a consumer can afford,The price a firm charges for its output,A firm's total profit over time,A,An isoquant shows all alternative combinations of two factors of production that can produce a given level of output.,5
An isocost line shows:,Combinations of two factors of production that cost the firm the same total amount,Combinations of goods that give equal consumer satisfaction,The firm's total revenue at different output levels,Government-imposed price limits,A,An isocost line shows all combinations of two factors of production that cost the firm the same total amount to employ.,5
"According to the course guide, a firm is said to be experiencing ""economies of scale"" when:",Marginal Cost (MC) is greater than Average Cost (AC),Marginal Cost (MC) is less than Average Cost (AC),Marginal Cost equals zero,Average Cost is constant regardless of output,B,"Economies of scale occur when MC is less than AC; when MC equals AC there are constant economies of scale, and when MC is greater than AC there are diseconomies of scale.",5
What happens to a firm's costs when Marginal Cost (MC) is greater than Average Cost (AC)?,The firm is experiencing economies of scale,The firm is experiencing diseconomies of scale,The firm has zero total cost,The firm's fixed cost has disappeared,B,"When MC is greater than AC, the firm is said to be experiencing diseconomies of scale.",5
